FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 6/7, 2/7, 0.041, 90-95, 0.24**, , ,0.0589
gt81, 7/7, 3/7, 0.022, 90-95, 0.06**, , ,0.00465
gt82, 7/7, 3/7, 0.032, 80-85, 0.13**, , ,0.0265
gt83, 5/7, 3/7, 0.042, 90-95, 0.094**, , ,0.0150
gt84, 6/7, 2/7, 0.04, 90-95, 0.076**, , ,0.00540
gt85, 5/7, 2/7, 0.033, 90-95, 0.067**, , ,0.0232
gt86, 7/7, 1/7, 0.012, 90-95, 0.047**, , ,0.0134
ft75, 4/7, 1/7, 0.023, 90-95, 0.022**, , ,-0.0000502
sb00, 5/7, 2/7, 0.03, 90-95, 0.11**, , ,0.0267
sb01, 5/7, 2/7, 0.031, 90-95, 0.12**, , ,0.0134
sb02, 5/7, 1/7, 0.043, 90-95, 0.12**, , ,0.00348
sb03, 5/7, 1/7, 0.047, 90-95, 0.12**, , ,0.00636
sb04, 5/7, 1/7, 0.056, 90-95, 0.15**, , ,0.00669
ne99, 4/7, 1/7, 0.017, 95-00, 0.066**, , ,-0.00464
ne02, 2/7, 1/7, 0.019, 95-00, 0.097**, , ,-0.0228
bh01, 5/7, 1/7, 0.011, 95-00, 0.0754*, , ,0.0152
bh02, 5/7, 0/7, 0.007, 95-00, 0.0599, , ,0.0159
bh03, 5/7, 0/7, 0.005, 95-00, 0.0565, , ,0.00744
bh04, 4/7, 1/7, 0.012, 95-00, 0.083**, , ,0.0249
frng04, 3/7, 0/7, 0.003, 00-05, 0.0297, , ,0.0214
frsg04, 2/7, 0/7, 0.003, 00-05, 0.0335, , ,0.0363
pri99, 4/7, 1/7, 0.04, 90-95, 0.23**, , ,0.0182
pri04, 4/7, 1/7, 0.018, 90-95, 0.11**, , ,-0.00124
cedp87, 2/7, 1/7, 0.008, 95-00, 0.0152*, , ,-0.00747
cedp88, 2/7, 1/7, 0.007, 95-00, 0.0142*, , ,-0.0114
cedp89, 3/7, 0/7, 0.003, 95-00, 0.00897, , ,0.00528
cedp90, 3/7, 0/7, 0.002, 05-10, 0.00604, , ,0.00604
cedp91, 1/7, 0/7, 0.004, 95-00, 0.00904, , ,-0.00162
cedc87, 4/7, 0/7, 0.009, 75-80, 0.0271, , ,0.00396
cedc88, 3/7, 1/7, 0.037, 95-00, 0.026**, , ,-0.00738
cedc89, 3/7, 1/7, 0.029, 95-00, 0.024**, , ,-0.00420
cedc90, 2/7, 1/7, 0.023, 95-00, 0.022**, , ,-0.00441
cedc91, 4/7, 1/7, 0.018, 95-00, 0.019**, , ,0.000357
cedc92, 2/7, 1/7, 0.02, 95-00, 0.019**, , ,-0.000277
cedc93, 2/7, 1/7, 0.026, 95-00, 0.023**, , ,-0.00157
cedc94, 3/7, 1/7, 0.028, 95-00, 0.023**, , ,-0.00783
cedc95, 2/7, 1/7, 0.034, 95-00, 0.024**, , ,-0.00688
cedc96, 3/7, 1/7, 0.035, 95-00, 0.026**, , ,-0.00683
cedpi88, 4/7, 1/7, 0.011, 95-00, 0.08**, , ,0.0267
cedpi89, 4/7, 1/7, 0.012, 05-10, 0.0392, , ,0.0392
cedpi90, 4/7, 1/7, 0.012, 95-00, 0.046**, , ,0.0281
cedpi91, 4/7, 1/7, 0.014, 95-00, 0.049**, , ,0.0303
cedpi92, 4/7, 1/7, 0.018, 95-00, 0.056**, , ,0.0283
cedpi93, 4/7, 1/7, 0.024, 00-05, 0.078**, , ,0.00881
cedpi94, 4/7, 2/7, 0.026, 00-05, 0.079**, , ,0.0155
cedpi95, 4/7, 2/7, 0.024, 00-05, 0.074**, , ,0.0195
cedpi96, 4/7, 2/7, 0.023, 00-05, 0.072**, , ,0.0181
tf03, 4/7, 3/7, 0.034, 90-95, 0.15**, , ,-0.0464
tf04, 4/7, 1/7, 0.04, 90-95, 0.16**, , ,-0.0511
