FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 4/7, 2/7, 0.017, 90-95, 0.07**, , ,-0.0196
gt81, 4/7, 2/7, 0.012, 95-00, 0.02**, , ,-0.0154
gt82, 4/7, 3/7, 0.01, 95-00, 0.024**, , ,-0.0201
gt83, 3/7, 2/7, 0.011, 90-95, 0.021**, , ,-0.00969
gt84, 3/7, 2/7, 0.018, 90-95, 0.023**, , ,-0.0106
gt85, 4/7, 2/7, 0.017, 90-95, 0.021**, , ,-0.00639
gt86, 4/7, 3/7, 0.015, 90-95, 0.023**, , ,-0.0106
ft75, 3/7, 1/7, 0.018, 95-00, 0.0093**, , ,-0.0081
sb00, 3/7, 0/7, 0.005, 95-00, 0.0217, , ,-0.00366
sb01, 3/7, 1/7, 0.007, 95-00, 0.0269*, , ,-0.0106
sb02, 3/7, 0/7, 0.005, 85-90, 0.0212, , ,-0.0106
sb03, 3/7, 0/7, 0.005, 85-90, 0.0214, , ,-0.00803
sb04, 3/7, 1/7, 0.011, 90-95, 0.031**, , ,-0.00731
ne99, 4/7, 1/7, 0.007, 85-90, 0.0248*, , ,-0.0181
ne02, 5/7, 1/7, 0.011, 85-90, 0.042**, , ,-0.034
bh01, 4/7, 1/7, 0.014, 95-00, 0.043**, , ,-0.0315
bh02, 4/7, 1/7, 0.01, 95-00, 0.036**, , ,-0.0325
bh03, 3/7, 1/7, 0.01, 95-00, 0.039**, , ,-0.0281
bh04, 3/7, 1/7, 0.01, 95-00, 0.037**, , ,-0.0218
frng04, 3/7, 0/7, 0.005, 05-10, 0.025, , ,0.0250
frsg04, 4/7, 1/7, 0.014, 05-10, 0.043**, , ,0.043
pri99, 2/7, 2/7, 0.009, 95-00, 0.0503**, , ,-0.051
pri04, 2/7, 1/7, 0.016, 90-95, 0.047**, , ,-0.04
cedp87, 3/7, 1/7, 0.004, 05-10, 0.00502*, , ,0.00502
cedp88, 5/7, 0/7, 0.003, 75-80, 0.00531, , ,-0.00264
cedp89, 4/7, 1/7, 0.007, 05-10, 0.0069**, , ,0.0069
cedp90, 3/7, 0/7, 0.003, 05-10, 0.00417, , ,0.00417
cedp91, 2/7, 0/7, 0.001, 75-80, 0.00295, , ,0.000565
cedc87, 4/7, 3/7, 0.007, 85-90, 0.0089**, , ,-0.00329
cedc88, 5/7, 1/7, 0.009, 85-90, 0.0073**, , ,-0.00389
cedc89, 5/7, 1/7, 0.01, 85-90, 0.0078**, , ,-0.00206
cedc90, 4/7, 0/7, 0.004, 85-90, 0.00524, , ,-0.00419
cedc91, 3/7, 0/7, 0.002, 85-90, 0.00386, , ,-0.000732
cedc92, 4/7, 0/7, 0.002, 85-90, 0.00349, , ,-0.00306
cedc93, 4/7, 0/7, 0.001, 85-90, 0.00245, , ,-0.00194
cedc94, 3/7, 0/7, 0.004, 90-95, 0.00451, , ,-0.00454
cedc95, 4/7, 0/7, 0.003, 90-95, 0.00368, , ,-0.0062
cedc96, 4/7, 0/7, 0.004, 90-95, 0.00428, , ,-0.00349
cedpi88, 3/7, 0/7, 0.005, 05-10, 0.0263, , ,0.0263
cedpi89, 2/7, 1/7, 0.021, 05-10, 0.027**, , ,0.027
cedpi90, 2/7, 1/7, 0.015, 05-10, 0.024**, , ,0.024
cedpi91, 2/7, 1/7, 0.013, 05-10, 0.0235*, , ,0.0235
cedpi92, 3/7, 1/7, 0.015, 05-10, 0.025**, , ,0.025
cedpi93, 3/7, 0/7, 0.004, 00-05, 0.0206, , ,0.0164
cedpi94, 3/7, 0/7, 0.006, 05-10, 0.0213, , ,0.0213
cedpi95, 3/7, 1/7, 0.009, 05-10, 0.0257*, , ,0.0257
cedpi96, 2/7, 1/7, 0.011, 05-10, 0.0298**, , ,0.0298
tf03, 4/7, 1/7, 0.009, 95-00, 0.036**, , ,-0.059
tf04, 3/7, 2/7, 0.009, 95-00, 0.0358*, , ,-0.063
