FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 6/7, 4/7, 0.039, 95-00, 0.12**, , ,-0.0169
gt81, 6/7, 6/7, 0.036, 95-00, 0.042**, , ,-0.0126
gt82, 6/7, 6/7, 0.033, 95-00, 0.055**, , ,-0.0114
gt83, 7/7, 5/7, 0.032, 90-95, 0.048**, , ,0.000560
gt84, 7/7, 4/7, 0.035, 90-95, 0.042**, , ,0.00291
gt85, 7/7, 4/7, 0.035, 90-95, 0.041**, , ,0.00499
gt86, 6/7, 4/7, 0.03, 85-90, 0.051**, , ,-0.00719
ft75, 4/7, 1/7, 0.007, 95-00, 0.00705*, , ,0.00550
sb00, 5/7, 2/7, 0.066, 85-90, 0.12**, , ,0.0106
sb01, 6/7, 3/7, 0.067, 85-90, 0.12**, , ,0.00433
sb02, 5/7, 3/7, 0.072, 85-90, 0.1**, , ,0.00288
sb03, 6/7, 3/7, 0.07, 85-90, 0.1**, , ,0.00415
sb04, 4/7, 3/7, 0.072, 85-90, 0.12**, , ,-0.00111
ne99, 4/7, 0/7, 0.005, 95-00, 0.0211, , ,0.0186
ne02, 4/7, 0/7, 0.005, 95-00, 0.0302, , ,0.0152
bh01, 4/7, 1/7, 0.023, 95-00, 0.067**, , ,0.00985
bh02, 4/7, 1/7, 0.012, 95-00, 0.049**, , ,0.0119
bh03, 4/7, 1/7, 0.014, 95-00, 0.057*, , ,0.0209
bh04, 4/7, 1/7, 0.019, 95-00, 0.064**, , ,0.0151
frng04, 1/7, 0/7, 0.006, 05-10, 0.0305, , ,0.0305
frsg04, 1/7, 0/7, 0.005, 05-10, 0.0304, , ,0.0304
pri99, 4/7, 3/7, 0.024, 90-95, 0.1**, , ,-0.0399
pri04, 4/7, 2/7, 0.021, 90-95, 0.07**, , ,-0.055
cedp87, 2/7, 1/7, 0.014, 75-80, 0.014, , ,0.00222
cedp88, 1/7, 1/7, 0.016, 75-80, 0.016, , ,-0.00127
cedp89, 2/7, 1/7, 0.023, 75-80, 0.018, , ,0.00607
cedp90, 2/7, 1/7, 0.01, 75-80, 0.012, , ,0.00165
cedp91, 1/7, 0/7, 0.005, 75-80, 0.00701, , ,-0.00326
cedc87, 3/7, 1/7, 0.036, 75-80, 0.025, , ,0.00921
cedc88, 6/7, 1/7, 0.009, 95-00, 0.00807**, , ,0.00248
cedc89, 6/7, 0/7, 0.005, 95-00, 0.0062, , ,0.00425
cedc90, 5/7, 1/7, 0.005, 05-10, 0.00605**, , ,0.00605
cedc91, 4/7, 1/7, 0.008, 05-10, 0.0071**, , ,0.0071
cedc92, 5/7, 1/7, 0.011, 05-10, 0.008**, , ,0.008
cedc93, 5/7, 1/7, 0.009, 05-10, 0.0074**, , ,0.0074
cedc94, 5/7, 0/7, 0.005, 80-85, 0.00726, , ,0.00373
cedc95, 5/7, 0/7, 0.005, 80-85, 0.00696, , ,0.00286
cedc96, 5/7, 2/7, 0.011, 95-00, 0.0088**, , ,0.00292
cedpi88, 2/7, 0/7, 0.001, 05-10, 0.0169, , ,0.0169
cedpi89, 2/7, 0/7, 0.001, 75-80, 0.00875, , ,0.00444
cedpi90, 1/7, 0/7, 0.001, 75-80, 0.00843, , ,-0.000132
cedpi91, 1/7, 0/7, 0.001, 75-80, 0.0117, , ,-0.000365
cedpi92, 2/7, 0/7, 0.005, 75-80, 0.0209, , ,-0.00296
cedpi93, 2/7, 0/7, 0.0, 95-00, 0.00386, , ,0.00620
cedpi94, 1/7, 0/7, 0.0, 05-10, 0.00307, , ,0.00307
cedpi95, 2/7, 0/7, 0.0, 75-80, 0.00331, , ,0.00643
cedpi96, 2/7, 0/7, 0.0, 75-80, 0.00173, , ,0.000470
tf03, 6/7, 4/7, 0.057, 85-90, 0.13**, , ,-0.0361
tf04, 6/7, 4/7, 0.049, 85-90, 0.12**, , ,-0.0344
