FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 2/7, 2/7, 0.016, 90-95, 0.078**, , ,-0.00865
gt81, 5/7, 1/7, 0.007, 90-95, 0.0183**, , ,-0.0138
gt82, 5/7, 2/7, 0.026, 80-85, 0.071**, , ,-0.0166
gt83, 3/7, 2/7, 0.014, 90-95, 0.028**, , ,-0.0102
gt84, 3/7, 1/7, 0.011, 90-95, 0.021**, , ,-0.00461
gt85, 4/7, 1/7, 0.01, 90-95, 0.0196*, , ,0.00330
gt86, 5/7, 0/7, 0.003, 80-85, 0.0206, , ,-0.000782
ft75, 4/7, 1/7, 0.013, 75-80, 0.0159, , ,-0.00225
sb00, 4/7, 2/7, 0.022, 90-95, 0.0533*, , ,-0.0280
sb01, 4/7, 2/7, 0.023, 90-95, 0.0564**, , ,-0.0352
sb02, 4/7, 1/7, 0.033, 90-95, 0.055**, , ,-0.0330
sb03, 4/7, 2/7, 0.036, 90-95, 0.06**, , ,-0.0323
sb04, 4/7, 1/7, 0.046, 90-95, 0.075**, , ,-0.0399
ne99, 3/7, 1/7, 0.012, 95-00, 0.031**, , ,0.0195
ne02, 4/7, 1/7, 0.014, 95-00, 0.047**, , ,0.0217
bh01, 4/7, 1/7, 0.019, 95-00, 0.058**, , ,0.0174
bh02, 5/7, 1/7, 0.01, 95-00, 0.041**, , ,0.0247
bh03, 5/7, 1/7, 0.011, 95-00, 0.047**, , ,0.0166
bh04, 4/7, 2/7, 0.018, 95-00, 0.059**, , ,0.0395
frng04, 4/7, 2/7, 0.021, 05-10, 0.063**, , ,0.063
frsg04, 4/7, 2/7, 0.023, 05-10, 0.071**, , ,0.071
pri99, 4/7, 1/7, 0.021, 90-95, 0.09**, , ,-0.065
pri04, 4/7, 1/7, 0.014, 90-95, 0.051**, , ,-0.045
cedp87, 3/7, 1/7, 0.021, 95-00, 0.013**, , ,0.00494
cedp88, 2/7, 1/7, 0.019, 95-00, 0.013**, , ,0.0000927
cedp89, 3/7, 2/7, 0.015, 95-00, 0.011**, , ,0.012
cedp90, 3/7, 2/7, 0.011, 05-10, 0.01**, , ,0.01
cedp91, 3/7, 1/7, 0.016, 95-00, 0.01**, , ,0.00260
cedc87, 4/7, 2/7, 0.012, 05-10, 0.012**, , ,0.012
cedc88, 4/7, 1/7, 0.028, 95-00, 0.013**, , ,0.000618
cedc89, 4/7, 1/7, 0.025, 95-00, 0.012**, , ,0.00349
cedc90, 2/7, 1/7, 0.017, 95-00, 0.011**, , ,0.00175
cedc91, 2/7, 1/7, 0.015, 95-00, 0.01**, , ,0.00320
cedc92, 3/7, 2/7, 0.014, 95-00, 0.0094**, , ,0.00661
cedc93, 3/7, 1/7, 0.021, 95-00, 0.011**, , ,0.00516
cedc94, 4/7, 1/7, 0.013, 95-00, 0.0091**, , ,0.00380
cedc95, 4/7, 1/7, 0.014, 95-00, 0.0092**, , ,0.00280
cedc96, 4/7, 1/7, 0.019, 95-00, 0.011**, , ,0.00137
cedpi88, 4/7, 2/7, 0.018, 95-00, 0.06**, , ,0.0291
cedpi89, 4/7, 3/7, 0.016, 75-80, 0.0502, , ,0.0306
cedpi90, 4/7, 4/7, 0.022, 75-80, 0.0629, , ,0.0277
cedpi91, 4/7, 1/7, 0.025, 95-00, 0.037**, , ,0.0251
cedpi92, 4/7, 2/7, 0.029, 95-00, 0.041**, , ,0.0165
cedpi93, 4/7, 4/7, 0.016, 75-80, 0.0767, , ,0.0340
cedpi94, 4/7, 4/7, 0.021, 75-80, 0.087, , ,0.0346
cedpi95, 4/7, 4/7, 0.022, 75-80, 0.086, , ,0.0347
cedpi96, 4/7, 3/7, 0.023, 75-80, 0.089, , ,0.0300
tf03, 3/7, 1/7, 0.028, 90-95, 0.072**, , ,-0.073
tf04, 4/7, 1/7, 0.034, 90-95, 0.081**, , ,-0.075
