FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index,positive,significant,best R2,best year,best coeff,After 2005
gt80, 4/7, 0/7, 0.008, 85-90, 0.145, , ,0.0404
gt81, 4/7, 0/7, 0.006, 05-10, 0.0294, , ,0.0294
gt82, 5/7, 1/7, 0.006, 80-85, 0.0609*, , ,0.0295
gt83, 6/7, 0/7, 0.006, 05-10, 0.0337, , ,0.0337
gt84, 4/7, 0/7, 0.012, 85-90, 0.0581*, , ,0.0184
gt85, 6/7, 1/7, 0.015, 85-90, 0.0628, , ,0.0220
gt86, 5/7, 1/7, 0.028, 85-90, 0.097**, , ,0.00771
ft75, 4/7, 0/7, 0.001, 80-85, 0.00793, , ,-0.00489
sb00, 5/7, 1/7, 0.009, 90-95, 0.0685*, , ,0.0555
sb01, 4/7, 2/7, 0.011, 05-10, 0.073**, , ,0.073
sb02, 5/7, 2/7, 0.015, 05-10, 0.068**, , ,0.068
sb03, 5/7, 2/7, 0.018, 05-10, 0.076**, , ,0.076
sb04, 6/7, 2/7, 0.013, 90-95, 0.0827*, , ,0.074
ne99, 5/7, 0/7, 0.004, 00-05, 0.0388, , ,0.0128
ne02, 5/7, 2/7, 0.008, 95-00, 0.068**, , ,-0.00208
bh01, 5/7, 1/7, 0.01, 80-85, 0.11**, , ,0.00177
bh02, 4/7, 1/7, 0.008, 80-85, 0.105*, , ,-0.0252
bh03, 5/7, 0/7, 0.007, 80-85, 0.104, , ,0.0496
bh04, 5/7, 1/7, 0.021, 80-85, 0.17**, , ,-0.0109
frng04, 2/7, 0/7, 0.006, 85-90, 0.0862, , ,-0.0444
frsg04, 4/7, 0/7, 0.001, 85-90, 0.0344, , ,-0.0333
pri99, 5/7, 0/7, 0.003, 90-95, 0.0653, , ,0.0457
pri04, 5/7, 0/7, 0.003, 75-80, 0.0627, , ,0.0144
cedp87, 1/7, 0/7, 0.0, 85-90, 0.00409, , ,-0.0167
cedp88, 1/7, 0/7, 0.002, 75-80, 0.0111, , ,-0.0177
cedp89, 3/7, 0/7, 0.003, 00-05, 0.00967, , ,-0.00272
cedp90, 1/7, 0/7, 0.0, 75-80, 0.00216, , ,-0.00211
cedp91, 3/7, 0/7, 0.001, 95-00, 0.00594, , ,-0.0123
cedc87, 4/7, 2/7, 0.011, 95-00, 0.02**, , ,-0.00907
cedc88, 5/7, 1/7, 0.007, 95-00, 0.013**, , ,-0.00629
cedc89, 4/7, 1/7, 0.007, 95-00, 0.012**, , ,-0.00824
cedc90, 5/7, 1/7, 0.007, 95-00, 0.0137*, , ,0.000649
cedc91, 4/7, 0/7, 0.004, 95-00, 0.0104, , ,0.00168
cedc92, 4/7, 1/7, 0.005, 95-00, 0.0109*, , ,-0.00157
cedc93, 4/7, 0/7, 0.003, 95-00, 0.00893, , ,-0.00218
cedc94, 4/7, 1/7, 0.006, 95-00, 0.012**, , ,-0.00669
cedc95, 4/7, 1/7, 0.007, 95-00, 0.012**, , ,-0.00600
cedc96, 4/7, 1/7, 0.005, 95-00, 0.0111*, , ,-0.00541
cedpi88, 3/7, 0/7, 0.005, 85-90, 0.0808, , ,-0.13
cedpi89, 3/7, 0/7, 0.006, 85-90, 0.0443, , ,-0.0357
cedpi90, 3/7, 0/7, 0.005, 85-90, 0.0423, , ,-0.0399
cedpi91, 3/7, 0/7, 0.001, 85-90, 0.0217, , ,-0.0319
cedpi92, 3/7, 0/7, 0.0, 80-85, 0.00779, , ,-0.0151
cedpi93, 3/7, 1/7, 0.012, 85-90, 0.0997*, , ,-0.1
cedpi94, 4/7, 0/7, 0.009, 85-90, 0.0828, , ,-0.077
cedpi95, 3/7, 0/7, 0.008, 85-90, 0.0773, , ,-0.064
cedpi96, 2/7, 1/7, 0.01, 85-90, 0.0845*, , ,-0.064
tf03, 5/7, 0/7, 0.006, 05-10, 0.063, , ,0.0630
tf04, 5/7, 0/7, 0.007, 05-10, 0.068, , ,0.0680
