
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lnbh02difference",="0.0833",="-0.0212",="0.0253",="-0.0953",="-0.0518",="-0.175",="-0.107",="-0.115"
="",="(1.11)",="(-0.32)",="(0.43)",="(-1.56)",="(-0.35)",="(-1.14)",="(-0.87)",="(-0.91)"

="stpr_fac1",="0.00545",="-0.0354",="-0.0457",="-0.0831*",="-0.182*",="-0.218*",="-0.212**",="-0.169*"
="",="(0.13)",="(-0.96)",="(-1.39)",="(-2.44)",="(-2.17)",="(-2.55)",="(-3.10)",="(-2.39)"

="stpr_fac2",="-0.000794",="0.00369",="-0.0135",="-0.0407",="-0.0892",="-0.101",="-0.0884",="-0.0841"
="",="(-0.02)",="(0.11)",="(-0.46)",="(-1.34)",="(-1.19)",="(-1.33)",="(-1.45)",="(-1.33)"

="stpr_fac3",="-0.0335",="-0.0225",="-0.0437",="-0.0331",="-0.182",="-0.0105",="-0.155",="-0.0000546"
="",="(-0.64)",="(-0.49)",="(-1.05)",="(-0.77)",="(-1.72)",="(-0.10)",="(-1.80)",="(-0.00)"

="stpr_fac4",="0.0230",="-0.0447",="0.0141",="-0.0160",="-0.0976",="-0.0221",="-0.110",="0.0539"
="",="(0.56)",="(-1.23)",="(0.43)",="(-0.47)",="(-1.18)",="(-0.26)",="(-1.63)",="(0.77)"

="stpr_fac5",="-0.0139",="0.00579",="0.0108",="-0.100*",="-0.244*",="-0.329**",="-0.245**",="-0.284***"
="",="(-0.28)",="(0.13)",="(0.28)",="(-2.49)",="(-2.46)",="(-3.25)",="(-3.03)",="(-3.40)"

="stpr_fac6",="0.118",="0.0342",="0.00137",="-0.00515",="-0.138",="-0.147",="-0.150",="-0.167"
="",="(1.70)",="(0.56)",="(0.03)",="(-0.09)",="(-0.99)",="(-1.04)",="(-1.33)",="(-1.43)"

="stpr_fac7",="0.00973",="-0.00616",="-0.0744*",="0.00387",="-0.0742",="-0.133",="-0.0671",="0.0164"
="",="(0.22)",="(-0.16)",="(-2.10)",="(0.11)",="(-0.82)",="(-1.45)",="(-0.91)",="(0.22)"

="stpr_fac8",="0.0399",="-0.0335",="0.0645",="-0.0636",="-0.122",="-0.310**",="-0.169*",="-0.244**"
="",="(0.84)",="(-0.80)",="(1.72)",="(-1.64)",="(-1.28)",="(-3.19)",="(-2.17)",="(-3.03)"

="stpr_fac9",="0.0359",="-0.0322",="-0.0300",="-0.0851**",="-0.0220",="0.0263",="-0.0530",="0.0760"
="",="(0.91)",="(-0.93)",="(-0.96)",="(-2.64)",="(-0.28)",="(0.33)",="(-0.82)",="(1.14)"

="stpr_fac10",="0.0597",="-0.0104",="-0.0808*",="-0.0842*",="0.00849",="-0.0367",="-0.0585",="-0.0217"
="",="(1.29)",="(-0.26)",="(-2.22)",="(-2.23)",="(0.09)",="(-0.39)",="(-0.77)",="(-0.28)"

="stpr_fac11",="0.0774",="0.0110",="0.0178",="-0.0814*",="-0.0674",="-0.179*",="-0.110",="-0.154*"
="",="(1.83)",="(0.30)",="(0.54)",="(-2.37)",="(-0.80)",="(-2.08)",="(-1.59)",="(-2.16)"

="stpr_fac12",="0.0834*",="-0.00867",="0.0427",="-0.00705",="-0.167*",="-0.0896",="-0.185**",="-0.0614"
="",="(2.08)",="(-0.25)",="(1.35)",="(-0.22)",="(-2.09)",="(-1.09)",="(-2.83)",="(-0.91)"

="stpr_fac13",="0.117*",="0.0464",="-0.0722",="-0.169***",="-0.0519",="-0.186",="-0.121",="-0.201*"
="",="(2.24)",="(1.01)",="(-1.76)",="(-3.97)",="(-0.50)",="(-1.75)",="(-1.42)",="(-2.28)"

="stpr_fac14",="0.125*",="-0.0324",="0.0125",="-0.0652",="0.105",="-0.160",="-0.00550",="-0.0629"
="",="(2.14)",="(-0.63)",="(0.27)",="(-1.37)",="(0.89)",="(-1.34)",="(-0.06)",="(-0.64)"

="stpr_fac15",="0.0489",="0.0687",="-0.0361",="-0.0454",="0.189",="0.0611",="0.135",="0.0132"
="",="(0.82)",="(1.31)",="(-0.77)",="(-0.93)",="(1.57)",="(0.50)",="(1.37)",="(0.13)"

="stpr_fac16",="0.0430",="0.0597",="-0.0704*",="-0.0694",="-0.0566",="-0.0487",="-0.0680",="-0.147"
="",="(0.95)",="(1.50)",="(-1.97)",="(-1.87)",="(-0.62)",="(-0.52)",="(-0.91)",="(-1.91)"

="stpr_fac17",="0.127**",="-0.0961*",="0.0474",="-0.0151",="0.0933",="-0.137",="-0.00730",="-0.0388"
="",="(2.70)",="(-2.32)",="(1.28)",="(-0.39)",="(0.99)",="(-1.42)",="(-0.09)",="(-0.49)"

