
="",="(1)",="(2)",="(3)",="(4)"
="",="avwage_predict",="output_predict",="wagebill_predict",="wageemp_predict"

="avwage_backward",="0.0238",="",="",=""
="",="(0.46)",="",="",=""

="lncedc92difference",="0.00117",="0.00112",="-0.00994",="-0.0125*"
="",="(0.45)",="(0.41)",="(-1.93)",="(-2.57)"

="output_backward",="",="-0.0375",="",=""
="",="",="(-0.66)",="",=""

="wagebill_backward",="",="",="0.316***",=""
="",="",="",="(5.49)",=""

="wageemp_backward",="",="",="",="0.302***"
="",="",="",="",="(5.75)"

="_cons",="-0.00278",="-0.00381",="-0.00225",="-0.0000214"
="",="(-0.70)",="(-0.92)",="(-0.31)",="(-0.00)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.001",="0.002",="0.106",="0.094"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
