
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lncedc96difference",="0.0266",="-0.0174",="0.0527*",="0.0200",="0.0709",="0.0517",="0.0399",="0.0217"
="",="(1.21)",="(-0.71)",="(2.56)",="(0.95)",="(1.30)",="(1.00)",="(0.89)",="(0.52)"

="stpr_fac1",="-0.00702",="0.0358",="-0.137***",="-0.0540",="-0.119",="-0.134",="-0.120",="-0.173*"
="",="(-0.20)",="(0.89)",="(-4.07)",="(-1.57)",="(-1.34)",="(-1.60)",="(-1.64)",="(-2.52)"

="stpr_fac2",="-0.0460",="0.0577",="-0.0980**",="-0.0282",="-0.161",="-0.0791",="-0.122",="-0.0889"
="",="(-1.17)",="(1.31)",="(-2.65)",="(-0.75)",="(-1.66)",="(-0.86)",="(-1.53)",="(-1.18)"

="stpr_fac3",="-0.0423",="0.0331",="-0.0745**",="-0.0392",="-0.138",="-0.211**",="-0.119",="-0.216***"
="",="(-1.38)",="(0.97)",="(-2.60)",="(-1.34)",="(-1.83)",="(-2.93)",="(-1.91)",="(-3.71)"

="stpr_fac4",="-0.0402",="0.0240",="-0.0766*",="-0.00642",="-0.124",="-0.0992",="-0.0843",="-0.101"
="",="(-1.11)",="(0.59)",="(-2.25)",="(-0.18)",="(-1.38)",="(-1.16)",="(-1.14)",="(-1.46)"

="stpr_fac5",="0.0134",="0.0118",="0.0570",="0.0494",="-0.215*",="-0.147",="-0.253**",="-0.179*"
="",="(0.33)",="(0.26)",="(1.50)",="(1.27)",="(-2.13)",="(-1.54)",="(-3.06)",="(-2.30)"

="stpr_fac6",="0.0656",="0.224***",="0.0923",="0.00437",="0.00944",="-0.0404",="-0.0279",="-0.109"
="",="(1.15)",="(3.52)",="(1.73)",="(0.08)",="(0.07)",="(-0.30)",="(-0.24)",="(-1.01)"

="stpr_fac7",="-0.0270",="0.0578",="-0.0182",="-0.0542",="0.00183",="-0.00253",="0.0605",="-0.0291"
="",="(-0.73)",="(1.39)",="(-0.52)",="(-1.52)",="(0.02)",="(-0.03)",="(0.80)",="(-0.41)"

="stpr_fac8",="-0.0797",="0.0547",="-0.132**",="0.0317",="-0.286*",="-0.139",="-0.241*",="-0.140"
="",="(-1.56)",="(0.96)",="(-2.75)",="(0.65)",="(-2.25)",="(-1.16)",="(-2.32)",="(-1.44)"

="stpr_fac9",="0.00864",="0.0679",="-0.0993**",="-0.0394",="-0.00846",="-0.0172",="-0.0114",="-0.0667"
="",="(0.26)",="(1.85)",="(-3.22)",="(-1.25)",="(-0.10)",="(-0.22)",="(-0.17)",="(-1.06)"

="stpr_fac10",="-0.116***",="0.116**",="-0.134***",="-0.0762*",="-0.130",="-0.0503",="-0.104",="-0.116"
="",="(-3.33)",="(2.96)",="(-4.07)",="(-2.28)",="(-1.51)",="(-0.61)",="(-1.46)",="(-1.74)"

="stpr_fac11",="-0.0718",="0.0725",="-0.0961**",="-0.00141",="-0.120",="-0.0625",="-0.0709",="-0.0992"
="",="(-1.93)",="(1.74)",="(-2.75)",="(-0.04)",="(-1.30)",="(-0.71)",="(-0.94)",="(-1.39)"

="stpr_fac12",="-0.000720",="0.118**",="-0.0149",="0.0313",="-0.103",="-0.119",="-0.0906",="-0.156*"
="",="(-0.02)",="(3.09)",="(-0.46)",="(0.95)",="(-1.22)",="(-1.48)",="(-1.30)",="(-2.38)"

="stpr_fac13",="-0.0472",="0.106*",="-0.249***",="-0.0842*",="-0.246*",="-0.0716",="-0.163",="-0.0993"
="",="(-1.09)",="(2.18)",="(-6.11)",="(-2.03)",="(-2.29)",="(-0.70)",="(-1.85)",="(-1.20)"

="stpr_fac14",="-0.0574",="0.114*",="-0.123*",="-0.0158",="0.0487",="0.0878",="0.0491",="0.00839"
="",="(-1.11)",="(1.97)",="(-2.54)",="(-0.32)",="(0.38)",="(0.72)",="(0.47)",="(0.09)"

="stpr_fac15",="-0.0764*",="0.115**",="-0.0921**",="-0.0315",="-0.0664",="0.158*",="0.00145",="0.0559"
="",="(-2.43)",="(3.25)",="(-3.12)",="(-1.05)",="(-0.85)",="(2.14)",="(0.02)",="(0.93)"

="stpr_fac16",="-0.131***",="0.0899*",="-0.135***",="-0.0749*",="-0.212*",="-0.0479",="-0.102",="-0.112"
="",="(-3.40)",="(2.09)",="(-3.74)",="(-2.03)",="(-2.22)",="(-0.53)",="(-1.30)",="(-1.52)"

="stpr_fac17",="0.0319",="0.0460",="0.128*",="0.0873",="0.138",="0.239",="0.0858",="0.0698"
="",="(0.49)",="(0.63)",="(2.08)",="(1.39)",="(0.85)",="(1.55)",="(0.64)",="(0.56)"

