
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="aginc_backward",="aginc_predict",="nfincome_backward",="nfincome_predict",="output_backward",="output_predict",="percapinc_backward",="percapinc_predict"

="lncedp89difference",="0.0240",="0.0166",="0.0278*",="0.0108",="0.0243",="0.0264*",="0.0156",="0.0107"
="",="(1.13)",="(0.89)",="(2.05)",="(0.90)",="(1.88)",="(2.55)",="(1.32)",="(1.02)"

="stpr_fac1",="-0.0689",="-0.0759",="-0.108*",="-0.0872*",="-0.0649",="-0.0840*",="-0.0215",="-0.0467"
="",="(-0.97)",="(-1.21)",="(-2.39)",="(-2.18)",="(-1.50)",="(-2.43)",="(-0.54)",="(-1.34)"

="stpr_fac2",="0.0400",="-0.0594",="-0.0140",="-0.0406",="-0.0659",="-0.0803**",="0.00243",="-0.0991***"
="",="(0.67)",="(-1.13)",="(-0.37)",="(-1.21)",="(-1.82)",="(-2.77)",="(0.07)",="(-3.39)"

="stpr_fac3",="-0.0155",="-0.0619",="-0.0194",="-0.0585",="-0.0785*",="-0.124***",="-0.0271",="-0.0483"
="",="(-0.26)",="(-1.15)",="(-0.50)",="(-1.71)",="(-2.12)",="(-4.17)",="(-0.80)",="(-1.62)"

="stpr_fac4",="0.0430",="-0.0863",="0.0538",="-0.0657",="-0.0141",="-0.0698*",="0.00903",="-0.0890**"
="",="(0.62)",="(-1.41)",="(1.21)",="(-1.67)",="(-0.33)",="(-2.06)",="(0.23)",="(-2.60)"

="stpr_fac5",="0.0327",="-0.0737",="-0.0708",="0.0225",="-0.0838",="-0.101*",="0.0842",="-0.0246"
="",="(0.32)",="(-0.82)",="(-1.09)",="(0.39)",="(-1.35)",="(-2.03)",="(1.49)",="(-0.49)"

="stpr_fac6",="0.187",="0.160",="0.173*",="0.112",="-0.0159",="-0.00108",="0.00534",="-0.0626"
="",="(1.55)",="(1.51)",="(2.25)",="(1.65)",="(-0.22)",="(-0.02)",="(0.08)",="(-1.06)"

="stpr_fac7",="-0.119",="-0.0337",="-0.0186",="0.0223",="0.00364",="-0.0893*",="-0.0861*",="-0.0390"
="",="(-1.60)",="(-0.51)",="(-0.39)",="(0.53)",="(0.08)",="(-2.47)",="(-2.08)",="(-1.07)"

="stpr_fac8",="0.0218",="-0.124",="0.131*",="-0.0434",="0.0275",="-0.0616",="0.0158",="-0.0932*"
="",="(0.27)",="(-1.74)",="(2.54)",="(-0.95)",="(0.56)",="(-1.56)",="(0.35)",="(-2.35)"

="stpr_fac9",="0.0391",="-0.0730",="0.0503",="-0.0924*",="-0.0113",="-0.0149",="0.00873",="-0.105***"
="",="(0.61)",="(-1.28)",="(1.22)",="(-2.54)",="(-0.29)",="(-0.48)",="(0.24)",="(-3.32)"

="stpr_fac10",="-0.0771",="-0.141*",="-0.0689",="-0.120**",="-0.157***",="-0.156***",="-0.0899*",="-0.0529"
="",="(-1.11)",="(-2.30)",="(-1.55)",="(-3.06)",="(-3.73)",="(-4.60)",="(-2.32)",="(-1.55)"

="stpr_fac11",="0.0498",="-0.0509",="0.0291",="-0.0607",="-0.0355",="-0.0487",="0.00216",="-0.0751**"
="",="(0.84)",="(-0.97)",="(0.77)",="(-1.81)",="(-0.98)",="(-1.68)",="(0.07)",="(-2.58)"

="stpr_fac12",="0.0225",="-0.0542",="0.0516",="-0.00553",="-0.0759",="-0.0357",="-0.0189",="-0.111***"
="",="(0.33)",="(-0.89)",="(1.18)",="(-0.14)",="(-1.82)",="(-1.07)",="(-0.49)",="(-3.30)"

="stpr_fac13",="-0.128",="-0.199**",="-0.0746",="-0.203***",="-0.0180",="-0.0648",="-0.0850",="-0.0397"
="",="(-1.50)",="(-2.65)",="(-1.37)",="(-4.22)",="(-0.35)",="(-1.56)",="(-1.79)",="(-0.95)"

="stpr_fac14",="0.0164",="0.00267",="-0.00583",="0.0114",="-0.0739",="-0.00695",="-0.0209",="0.0153"
="",="(0.16)",="(0.03)",="(-0.09)",="(0.20)",="(-1.19)",="(-0.14)",="(-0.37)",="(0.30)"

="stpr_fac15",="0.0749",="-0.0451",="0.0990",="-0.126**",="0.0732",="-0.0352",="0.0480",="-0.0912*"
="",="(0.94)",="(-0.64)",="(1.95)",="(-2.80)",="(1.51)",="(-0.91)",="(1.08)",="(-2.33)"

="stpr_fac16",="-0.00583",="0.0112",="0.0519",="-0.0224",="0.0591",="-0.0276",="-0.0612",="-0.0501"
="",="(-0.07)",="(0.15)",="(0.97)",="(-0.48)",="(1.16)",="(-0.68)",="(-1.32)",="(-1.22)"

="stpr_fac17",="-0.0451",="-0.0337",="0.0143",="-0.0216",="-0.127**",="-0.104**",="-0.0439",="-0.0631"
="",="(-0.66)",="(-0.56)",="(0.33)",="(-0.56)",="(-3.07)",="(-3.14)",="(-1.16)",="(-1.89)"

="stpr_fac18",="0.373***",="0.0491",="-0.0268",="-0.000988",="-0.0431",="0.0269",="0.188***",="-0.0483"
="",="(5.37)",="(0.80)",="(-0.60)",="(-0.03)",="(-1.02)",="(0.80)",="(4.86)",="(-1.42)"

="stpr_fac19",="-0.0430",="-0.0165",="0.0846",="0.0245",="-0.00654",="-0.00239",="-0.0710",="-0.0209"
="",="(-0.63)",="(-0.28)",="(1.95)",="(0.64)",="(-0.16)",="(-0.07)",="(-1.88)",="(-0.63)"

="stpr_fac20",="0.183**",="-0.0150",="0.205***",="-0.0104",="0.0805*",="-0.0429",="0.103**",="-0.0298"
="",="(2.75)",="(-0.26)",="(4.82)",="(-0.28)",="(1.99)",="(-1.32)",="(2.78)",="(-0.91)"

="stpr_fac21",="0.277***",="0.0607",="0.163***",="0.0820*",="0.0946*",="0.00837",="0.117**",="-0.0391"
="",="(3.75)",="(0.93)",="(3.46)",="(1.97)",="(2.11)",="(0.23)",="(2.85)",="(-1.08)"

="stpr_fac22",="0.0482",="0.0137",="0.0469",="-0.00872",="0.00221",="-0.0887*",="-0.00956",="-0.0392"
="",="(0.58)",="(0.19)",="(0.88)",="(-0.19)",="(0.04)",="(-2.19)",="(-0.21)",="(-0.96)"

="o.stpr_fac23",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac24",="-0.0511",="-0.000909",="-0.0281",="0.00276",="-0.0868",="-0.0405",="-0.0714",="-0.000572"
="",="(-0.56)",="(-0.01)",="(-0.48)",="(0.05)",="(-1.55)",="(-0.90)",="(-1.40)",="(-0.01)"

="stpr_fac25",="-0.0450",="-0.0487",="-0.0318",="-0.0636",="-0.125**",="-0.103**",="-0.0367",="-0.119**"
="",="(-0.59)",="(-0.73)",="(-0.66)",="(-1.48)",="(-2.72)",="(-2.78)",="(-0.87)",="(-3.19)"

="stpr_fac26",="0.0400",="-0.0335",="0.0515",="-0.0359",="-0.0560",="-0.0589",="0.00825",="-0.0910"
="",="(0.32)",="(-0.31)",="(0.65)",="(-0.51)",="(-0.74)",="(-0.97)",="(0.12)",="(-1.49)"

="stpr_fac27",="-0.0577",="-0.0857",="-0.0252",="-0.102",="-0.163*",="-0.130*",="-0.0590",="-0.149*"
="",="(-0.46)",="(-0.77)",="(-0.31)",="(-1.43)",="(-2.13)",="(-2.11)",="(-0.84)",="(-2.40)"

="stpr_fac28",="0.0923",="-0.106*",="0.101**",="-0.0549",="-0.0384",="-0.0810**",="0.0102",="-0.128***"
="",="(1.52)",="(-1.97)",="(2.60)",="(-1.60)",="(-1.04)",="(-2.73)",="(0.30)",="(-4.28)"

="stpr_fac29",="0.118",="0.104",="0.0730",="0.108*",="-0.0406",="-0.0143",="-0.0167",="0.0513"
="",="(1.54)",="(1.53)",="(1.49)",="(2.49)",="(-0.87)",="(-0.38)",="(-0.39)",="(1.36)"

="stpr_fac30",="-0.0158",="-0.0297",="-0.00267",="-0.0449",="-0.135***",="-0.105***",="-0.0244",="-0.0566"
="",="(-0.27)",="(-0.57)",="(-0.07)",="(-1.34)",="(-3.73)",="(-3.62)",="(-0.74)",="(-1.94)"

="stpr_fac31",="0.0694",="0.0164",="0.0754",="0.0125",="0.0297",="-0.0530",="-0.0414",="-0.0210"
="",="(0.96)",="(0.26)",="(1.64)",="(0.31)",="(0.68)",="(-1.51)",="(-1.04)",="(-0.59)"

