
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="aginc_backward",="aginc_predict",="nfincome_backward",="nfincome_predict",="output_backward",="output_predict",="percapinc_backward",="percapinc_predict"

="lncedpi88difference",="-0.129",="-0.00360",="-0.0636",="-0.0125",="-0.0782",="-0.0485",="-0.0619",="-0.0126"
="",="(-0.87)",="(-0.03)",="(-0.74)",="(-0.17)",="(-0.96)",="(-0.71)",="(-0.75)",="(-0.18)"

="stpr_fac1",="-0.106",="-0.0405",="-0.110",="-0.0709",="0.0110",="-0.0418",="-0.0507",="-0.0129"
="",="(-0.91)",="(-0.43)",="(-1.63)",="(-1.21)",="(0.17)",="(-0.78)",="(-0.78)",="(-0.24)"

="stpr_fac2",="-0.0416",="0.0184",="-0.00669",="-0.0241",="0.0217",="-0.0474",="-0.0333",="-0.0482"
="",="(-0.36)",="(0.20)",="(-0.10)",="(-0.41)",="(0.34)",="(-0.88)",="(-0.51)",="(-0.90)"

="stpr_fac3",="-0.0447",="-0.0210",="0.0187",="-0.0384",="0.0382",="-0.0933",="-0.0259",="-0.0155"
="",="(-0.38)",="(-0.22)",="(0.27)",="(-0.65)",="(0.59)",="(-1.71)",="(-0.40)",="(-0.29)"

="stpr_fac4",="0.0405",="-0.0859",="0.0944",="-0.0709",="0.0819",="-0.0478",="0.0356",="-0.102*"
="",="(0.37)",="(-0.97)",="(1.50)",="(-1.29)",="(1.37)",="(-0.94)",="(0.59)",="(-2.04)"

="stpr_fac5",="0.231",="-0.0732",="0.0153",="-0.00508",="0.0102",="-0.0154",="0.195*",="-0.00483"
="",="(1.57)",="(-0.62)",="(0.18)",="(-0.07)",="(0.13)",="(-0.23)",="(2.38)",="(-0.07)"

="stpr_fac6",="0.213",="0.194",="0.252**",="0.0988",="0.0799",="0.0474",="0.0190",="-0.0605"
="",="(1.47)",="(1.66)",="(3.03)",="(1.36)",="(1.01)",="(0.71)",="(0.24)",="(-0.91)"

="stpr_fac7",="-0.0828",="-0.0131",="0.0214",="0.0832",="0.0666",="0.0127",="-0.0457",="-0.00229"
="",="(-0.69)",="(-0.14)",="(0.31)",="(1.38)",="(1.02)",="(0.23)",="(-0.69)",="(-0.04)"

="stpr_fac8",="0.0148",="-0.0688",="0.171**",="-0.0239",="0.112",="0.00228",="0.0410",="-0.0971"
="",="(0.13)",="(-0.74)",="(2.59)",="(-0.41)",="(1.79)",="(0.04)",="(0.64)",="(-1.84)"

="stpr_fac9",="0.0336",="-0.0621",="0.0391",="-0.0727",="0.0363",="0.00746",="0.0264",="-0.101"
="",="(0.27)",="(-0.63)",="(0.55)",="(-1.18)",="(0.54)",="(0.13)",="(0.39)",="(-1.80)"

="stpr_fac10",="-0.0616",="-0.0496",="-0.0112",="-0.125*",="-0.0599",="-0.117*",="-0.0562",="-0.0251"
="",="(-0.49)",="(-0.49)",="(-0.15)",="(-1.99)",="(-0.88)",="(-2.01)",="(-0.81)",="(-0.44)"

="stpr_fac11",="0.0379",="-0.0307",="0.0681",="-0.0733",="0.0350",="0.000519",="0.0261",="-0.0732"
="",="(0.35)",="(-0.35)",="(1.10)",="(-1.36)",="(0.60)",="(0.01)",="(0.44)",="(-1.49)"

="stpr_fac12",="0.0811",="-0.0716",="0.115",="0.000507",="0.0436",="0.00642",="0.0320",="-0.124*"
="",="(0.75)",="(-0.83)",="(1.85)",="(0.01)",="(0.74)",="(0.13)",="(0.54)",="(-2.52)"

="stpr_fac13",="-0.0928",="-0.208*",="-0.0423",="-0.176**",="0.0420",="-0.0213",="-0.0499",="-0.0534"
="",="(-0.75)",="(-2.10)",="(-0.60)",="(-2.84)",="(0.62)",="(-0.37)",="(-0.73)",="(-0.95)"

="o.stpr_fac14",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac15",="0.0324",="-0.0640",="0.0504",="-0.109**",="0.128**",="-0.0420",="0.0465",="-0.0846*"
="",="(0.43)",="(-1.05)",="(1.16)",="(-2.88)",="(3.11)",="(-1.21)",="(1.11)",="(-2.45)"

="stpr_fac16",="0.00592",="-0.0123",="0.0689",="-0.00901",="0.164**",="-0.0172",="-0.0155",="-0.0740"
="",="(0.06)",="(-0.17)",="(1.31)",="(-0.20)",="(3.29)",="(-0.41)",="(-0.30)",="(-1.77)"

="stpr_fac17",="-0.117",="-0.180*",="0.0742",="-0.0255",="-0.0299",="-0.00625",="-0.104*",="-0.183***"
="",="(-1.27)",="(-2.43)",="(1.40)",="(-0.55)",="(-0.59)",="(-0.15)",="(-2.03)",="(-4.34)"

="stpr_fac18",="0.0107",="0.0654",="0.00480",="-0.0230",="0.0469",="0.0142",="-0.0136",="-0.00532"
="",="(0.11)",="(0.85)",="(0.09)",="(-0.48)",="(0.90)",="(0.32)",="(-0.26)",="(-0.12)"

="stpr_fac19",="-0.0443",="0.0102",="0.121",="0.0132",="0.0997",="-0.00148",="-0.0410",="0.000329"
="",="(-0.37)",="(0.11)",="(1.77)",="(0.22)",="(1.54)",="(-0.03)",="(-0.62)",="(0.01)"

="stpr_fac20",="0.0825",="0.00319",="0.156*",="0.0125",="0.109",="0.0227",="0.0783",="-0.0239"
="",="(0.78)",="(0.04)",="(2.56)",="(0.23)",="(1.88)",="(0.46)",="(1.33)",="(-0.49)"

="stpr_fac21",="0.233*",="0.0570",="0.190**",="0.0753",="0.156**",="0.0321",="0.133*",="-0.0501"
="",="(2.32)",="(0.71)",="(3.30)",="(1.50)",="(2.86)",="(0.69)",="(2.39)",="(-1.09)"

="stpr_fac22",="0.0169",="0.0683",="0.0684",="0.0243",="0.0840",="-0.0374",="-0.0105",="0.00105"
="",="(0.12)",="(0.59)",="(0.83)",="(0.34)",="(1.07)",="(-0.56)",="(-0.13)",="(0.02)"

="stpr_fac23",="0.0350",="0.0333",="0.0703",="0.0254",="0.121",="0.0340",="0.0340",="0.0267"
="",="(0.24)",="(0.28)",="(0.84)",="(0.35)",="(1.52)",="(0.50)",="(0.42)",="(0.40)"

="stpr_fac24",="-0.0595",="0.000299",="-0.00587",="-0.0140",="0.00319",="-0.0349",="-0.0448",="-0.0158"
="",="(-0.42)",="(0.00)",="(-0.07)",="(-0.20)",="(0.04)",="(-0.54)",="(-0.57)",="(-0.24)"

="stpr_fac25",="-0.145",="0.0234",="-0.00957",="-0.0113",="-0.0467",="-0.0286",="-0.0956",="-0.0450"
="",="(-1.18)",="(0.24)",="(-0.14)",="(-0.18)",="(-0.70)",="(-0.50)",="(-1.40)",="(-0.80)"

="stpr_fac26",="0.0767",="0.0347",="0.105",="0.0266",="0.0492",="0.0373",="0.0252",="-0.0134"
="",="(0.54)",="(0.31)",="(1.29)",="(0.38)",="(0.64)",="(0.57)",="(0.32)",="(-0.21)"

="stpr_fac27",="-0.0248",="-0.0250",="0.0261",="-0.0300",="-0.0455",="-0.0510",="-0.0340",="-0.0734"
="",="(-0.16)",="(-0.20)",="(0.29)",="(-0.39)",="(-0.54)",="(-0.71)",="(-0.40)",="(-1.04)"

="stpr_fac28",="0.0552",="-0.0497",="0.113",="-0.0445",="0.0555",="-0.0451",="0.0134",="-0.0946"
="",="(0.50)",="(-0.56)",="(1.78)",="(-0.80)",="(0.92)",="(-0.88)",="(0.22)",="(-1.86)"

="stpr_fac29",="0.130",="0.0908",="0.126",="0.0731",="0.0159",="0.0262",="0.0415",="0.0121"
="",="(1.13)",="(0.98)",="(1.90)",="(1.27)",="(0.25)",="(0.49)",="(0.65)",="(0.23)"

="stpr_fac30",="-0.0277",="-0.0220",="0.0472",="-0.0485",="-0.0233",="-0.0831",="-0.0153",="-0.0453"
="",="(-0.24)",="(-0.24)",="(0.72)",="(-0.85)",="(-0.37)",="(-1.57)",="(-0.24)",="(-0.87)"

="stpr_fac31",="0.0947",="-0.00220",="0.117*",="-0.0107",="0.144**",="-0.00569",="0.00460",="-0.0556"
="",="(0.96)",="(-0.03)",="(2.06)",="(-0.22)",="(2.67)",="(-0.12)",="(0.08)",="(-1.22)"

="stpr_fac32",="0.0195",="-0.0992",="0.0174",="-0.0386",="0.103*",="-0.00600",="0.0498",="-0.0689"
="",="(0.25)",="(-1.59)",="(0.39)",="(-0.99)",="(2.43)",="(-0.17)",="(1.16)",="(-1.94)"

