
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lnfrng04difference",="0.0357",="0.0930",="-0.0326",="-0.0509",="0.0132",="0.0470",="-0.0362",="-0.0424"
="",="(0.54)",="(1.43)",="(-0.57)",="(-0.98)",="(0.09)",="(0.32)",="(-0.32)",="(-0.38)"

="stpr_fac1",="-0.114**",="-0.00942",="-0.0538",="0.0274",="-0.226*",="0.0314",="-0.156*",="0.0349"
="",="(-2.75)",="(-0.23)",="(-1.50)",="(0.84)",="(-2.56)",="(0.34)",="(-2.21)",="(0.50)"

="stpr_fac2",="-0.0776",="-0.0784",="0.00970",="0.0657",="-0.0916",="-0.0516",="-0.0217",="0.0225"
="",="(-1.71)",="(-1.74)",="(0.25)",="(1.82)",="(-0.94)",="(-0.51)",="(-0.28)",="(0.29)"

="stpr_fac3",="-0.0541",="-0.0514",="-0.0138",="0.00892",="-0.162*",="0.0133",="-0.131*",="0.0322"
="",="(-1.43)",="(-1.37)",="(-0.42)",="(0.30)",="(-1.99)",="(0.16)",="(-2.02)",="(0.51)"

="stpr_fac4",="-0.0682",="-0.0645",="0.0416",="0.100**",="-0.0350",="0.0960",="0.0310",="0.157*"
="",="(-1.55)",="(-1.48)",="(1.09)",="(2.87)",="(-0.37)",="(0.98)",="(0.41)",="(2.12)"

="stpr_fac5",="-0.100*",="0.0214",="-0.0332",="-0.0101",="-0.206*",="0.00205",="-0.120",="-0.00782"
="",="(-2.08)",="(0.45)",="(-0.79)",="(-0.26)",="(-1.99)",="(0.02)",="(-1.45)",="(-0.10)"

="stpr_fac6",="0.0510",="-0.0104",="0.0594",="-0.0105",="-0.183",="-0.0913",="-0.167",="0.0230"
="",="(0.78)",="(-0.16)",="(1.04)",="(-0.20)",="(-1.30)",="(-0.62)",="(-1.49)",="(0.21)"

="stpr_fac7",="-0.0105",="0.00740",="0.00634",="0.0842*",="-0.0269",="-0.151",="0.0493",="0.00217"
="",="(-0.24)",="(0.17)",="(0.16)",="(2.38)",="(-0.28)",="(-1.52)",="(0.65)",="(0.03)"

="stpr_fac8",="-0.0289",="-0.0515",="0.0831*",="-0.000537",="-0.108",="-0.0798",="-0.117",="0.00751"
="",="(-0.63)",="(-1.13)",="(2.08)",="(-0.01)",="(-1.10)",="(-0.78)",="(-1.50)",="(0.10)"

="stpr_fac9",="-0.0623",="-0.106*",="-0.00624",="0.0198",="0.0203",="0.110",="0.0768",="0.184*"
="",="(-1.37)",="(-2.36)",="(-0.16)",="(0.55)",="(0.21)",="(1.09)",="(0.99)",="(2.41)"

="stpr_fac10",="-0.0199",="0.00211",="-0.0539",="-0.00441",="-0.00000666",="0.175",="0.00474",="0.168*"
="",="(-0.48)",="(0.05)",="(-1.50)",="(-0.14)",="(-0.00)",="(1.90)",="(0.07)",="(2.42)"

="stpr_fac11",="-0.0273",="-0.00903",="0.0205",="0.0414",="-0.00453",="0.0753",="0.0176",="0.115"
="",="(-0.73)",="(-0.24)",="(0.63)",="(1.39)",="(-0.06)",="(0.90)",="(0.27)",="(1.82)"

="stpr_fac12",="-0.0291",="-0.0212",="0.0587",="0.0880**",="-0.102",="0.0426",="-0.0455",="0.0171"
="",="(-0.73)",="(-0.53)",="(1.68)",="(2.77)",="(-1.19)",="(0.48)",="(-0.66)",="(0.25)"

="stpr_fac13",="0.0111",="-0.0266",="-0.0690",="-0.00526",="-0.0264",="0.124",="-0.0340",="0.145"
="",="(0.21)",="(-0.51)",="(-1.52)",="(-0.13)",="(-0.24)",="(1.06)",="(-0.38)",="(1.65)"

="stpr_fac14",="-0.00590",="-0.102",="0.0403",="0.0505",="-0.0130",="0.0284",="0.0281",="0.127"
="",="(-0.10)",="(-1.80)",="(0.81)",="(1.11)",="(-0.11)",="(0.22)",="(0.29)",="(1.32)"

="stpr_fac15",="0.0454",="-0.00241",="-0.00265",="0.0396",="0.158",="-0.0175",="0.128",="0.0487"
="",="(0.96)",="(-0.05)",="(-0.06)",="(1.06)",="(1.56)",="(-0.17)",="(1.59)",="(0.61)"

="stpr_fac16",="0.0330",="0.0322",="-0.0230",="0.0219",="0.00124",="0.135",="-0.0759",="0.0931"
="",="(0.75)",="(0.74)",="(-0.60)",="(0.63)",="(0.01)",="(1.38)",="(-1.01)",="(1.25)"

="stpr_fac17",="0.0228",="-0.0463",="0.0244",="0.0469",="0.0216",="0.0477",="-0.00440",="0.0824"
="",="(0.48)",="(-0.97)",="(0.59)",="(1.24)",="(0.21)",="(0.45)",="(-0.05)",="(1.02)"

="stpr_fac18",="-0.0513",="0.00524",="0.0496",="0.0526",="0.0127",="0.0785",="-0.0248",="0.0482"
