
="",="(1)",="(2)",="(3)",="(4)"
="",="avwage_predict",="output_predict",="wagebill_predict",="wageemp_predict"

="avwage_backward",="-0.0217",="",="",=""
="",="(-0.33)",="",="",=""

="lnfrsg04difference",="0.0409",="0.0509*",="-0.0419",="-0.0439"
="",="(1.81)",="(2.08)",="(-1.09)",="(-1.87)"

="output_backward",="",="0.0191",="",=""
="",="",="(0.28)",="",=""

="wagebill_backward",="",="",="0.277***",=""
="",="",="",="(5.56)",=""

="wageemp_backward",="",="",="",="0.331***"
="",="",="",="",="(7.21)"

="_cons",="-0.00252",="0.000196",="-0.000277",="-0.00160"
="",="(-0.60)",="(0.04)",="(-0.03)",="(-0.29)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.012",="0.011",="0.071",="0.123"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
