
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lnft75difference",="-0.0188",="0.0472",="-0.0485",="-0.0509*",="0.0841",="-0.0672",="0.0995",="-0.0126"
="",="(-0.67)",="(1.78)",="(-1.85)",="(-2.18)",="(1.09)",="(-0.96)",="(1.68)",="(-0.24)"

="stpr_fac1",="0.0248",="0.143",="-0.249***",="-0.198**",="0.178",="-0.203",="0.218",="-0.138"
="",="(0.31)",="(1.93)",="(-3.40)",="(-3.03)",="(0.83)",="(-1.04)",="(1.33)",="(-0.95)"

="stpr_fac2",="-0.0357",="0.0959",="-0.171*",="-0.185*",="0.287",="-0.127",="0.356",="0.0500"
="",="(-0.40)",="(1.14)",="(-2.06)",="(-2.50)",="(1.16)",="(-0.56)",="(1.87)",="(0.30)"

="stpr_fac3",="0.0143",="-0.0187",="-0.223**",="-0.217**",="0.307",="-0.226",="0.292",="-0.0531"
="",="(0.16)",="(-0.23)",="(-2.73)",="(-2.97)",="(1.26)",="(-1.02)",="(1.57)",="(-0.32)"

="stpr_fac4",="-0.0639",="0.0749",="-0.220*",="-0.189*",="0.314",="-0.136",="0.398*",="0.0573"
="",="(-0.66)",="(0.83)",="(-2.46)",="(-2.38)",="(1.19)",="(-0.57)",="(1.97)",="(0.32)"

="o.stpr_fac5",="0",="0",="0",="0",="0.0359",="-0.295",="0.0170",="-0.185"
="",="(.)",="(.)",="(.)",="(.)",="(0.17)",="(-1.49)",="(0.10)",="(-1.27)"

="stpr_fac6",="-0.0870",="-0.0818",="0.0692",="-0.0701",="",="",="",=""
="",="(-0.94)",="(-0.95)",="(0.81)",="(-0.92)",="",="",="",=""

="stpr_fac7",="-0.103",="0.0230",="-0.0970",="-0.149**",="0.0617",="-0.0505",="0.0862",="-0.0191"
="",="(-1.56)",="(0.37)",="(-1.58)",="(-2.73)",="(0.36)",="(-0.33)",="(0.67)",="(-0.17)"

="stpr_fac8",="-0.000607",="-0.200***",="-0.00832",="-0.0343",="0.00753",="-0.237",="0.0371",="-0.133"
="",="(-0.01)",="(-3.57)",="(-0.15)",="(-0.69)",="(0.05)",="(-1.77)",="(0.33)",="(-1.33)"

="stpr_fac9",="-0.0226",="0.0446",="-0.199**",="-0.179**",="0.281",="-0.149",="0.344*",="0.0434"
="",="(-0.30)",="(0.63)",="(-2.83)",="(-2.86)",="(1.36)",="(-0.79)",="(2.17)",="(0.31)"

="stpr_fac10",="-0.0836",="0.0687",="-0.150*",="-0.112*",="0.166",="-0.338*",="0.189",="-0.114"
="",="(-1.31)",="(1.15)",="(-2.55)",="(-2.14)",="(0.99)",="(-2.23)",="(1.48)",="(-1.01)"

="stpr_fac11",="-0.0146",="-0.00324",="-0.148*",="-0.0972",="0.175",="-0.190",="0.269",="-0.0461"
="",="(-0.22)",="(-0.05)",="(-2.36)",="(-1.74)",="(0.95)",="(-1.14)",="(1.91)",="(-0.37)"

="stpr_fac12",="0.0631",="-0.0416",="-0.140*",="-0.141*",="0.225",="-0.400*",="0.205",="-0.187"
="",="(0.87)",="(-0.61)",="(-2.09)",="(-2.36)",="(1.15)",="(-2.25)",="(1.37)",="(-1.41)"

="stpr_fac13",="-0.0260",="-0.0149",="-0.239***",="-0.208***",="-0.0683",="-0.213",="0.0679",="-0.0474"
="",="(-0.35)",="(-0.21)",="(-3.48)",="(-3.40)",="(-0.35)",="(-1.21)",="(0.46)",="(-0.36)"

="o.stpr_fac14",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac15",="0.0265",="-0.0958*",="-0.137**",="-0.171***",="0.0453",="-0.0414",="0.179",="0.0892"
="",="(0.52)",="(-2.00)",="(-2.89)",="(-4.06)",="(0.35)",="(-0.36)",="(1.83)",="(1.04)"

="stpr_fac16",="-0.0395",="-0.0860",="-0.208***",="-0.113*",="-0.00806",="-0.264",="0.0742",="-0.129"
="",="(-0.66)",="(-1.53)",="(-3.74)",="(-2.28)",="(-0.05)",="(-1.93)",="(0.64)",="(-1.26)"

="stpr_fac17",="0.0367",="-0.0194",="-0.133*",="-0.0902",="0.148",="-0.146",="0.153",="-0.0414"
="",="(0.63)",="(-0.36)",="(-2.48)",="(-1.88)",="(0.98)",="(-1.07)",="(1.33)",="(-0.41)"

="stpr_fac18",="0.0338",="-0.0930",="-0.0721",="-0.0544",="0.153",="-0.241",="0.177",="-0.121"
="",="(0.59)",="(-1.72)",="(-1.35)",="(-1.14)",="(1.04)",="(-1.81)",="(1.58)",="(-1.22)"

