
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lngt81difference",="0.132***",="-0.00607",="-0.0220",="0.0317",="0.197*",="0.223*",="0.0831",="0.173*"
="",="(3.57)",="(-0.16)",="(-0.73)",="(1.22)",="(2.26)",="(2.20)",="(1.30)",="(2.23)"

="stpr_fac1",="0.338***",="0.0757",="-0.0137",="-0.00844",="0.188",="0.0917",="-0.151",="0.0281"
="",="(5.14)",="(1.09)",="(-0.26)",="(-0.18)",="(1.21)",="(0.51)",="(-1.32)",="(0.20)"

="stpr_fac2",="0.325***",="0.0458",="0.0461",="0.0447",="0.393**",="0.0931",="0.0667",="0.0655"
="",="(5.92)",="(0.79)",="(1.03)",="(1.16)",="(3.03)",="(0.62)",="(0.70)",="(0.57)"

="stpr_fac3",="0.190***",="0.180**",="0.0113",="0.0780*",="0.247",="0.244",="-0.0502",="0.112"
="",="(3.38)",="(3.05)",="(0.25)",="(1.98)",="(1.86)",="(1.58)",="(-0.51)",="(0.94)"

="stpr_fac4",="0.280***",="0.0646",="0.0439",="0.0726",="0.380**",="0.180",="0.0800",="0.131"
="",="(4.73)",="(1.04)",="(0.91)",="(1.74)",="(2.71)",="(1.10)",="(0.78)",="(1.05)"

="stpr_fac5",="0.167*",="0.00576",="0.133*",="0.0593",="0.104",="0.267",="-0.203*",="0.158"
="",="(2.20)",="(0.07)",="(2.14)",="(1.11)",="(0.78)",="(1.73)",="(-2.08)",="(1.34)"

="stpr_fac6",="0.0426",="0.0212",="0.0853",="0.289***",="0.388*",="-0.0990",="0.0260",="-0.0801"
="",="(0.54)",="(0.26)",="(1.34)",="(5.26)",="(2.10)",="(-0.46)",="(0.19)",="(-0.49)"

="stpr_fac7",="0.249***",="0.0586",="0.0342",="-0.0342",="0.325*",="0.100",="-0.0179",="0.0863"
="",="(4.42)",="(0.99)",="(0.74)",="(-0.86)",="(2.50)",="(0.66)",="(-0.19)",="(0.75)"

="stpr_fac8",="0.0475",="0.151**",="0.0872",="0.110**",="-0.00934",="0.0333",="-0.175",="-0.105"
="",="(0.86)",="(2.60)",="(1.93)",="(2.84)",="(-0.07)",="(0.22)",="(-1.83)",="(-0.91)"

="stpr_fac9",="0.264***",="0.0558",="0.0191",="0.0380",="0.180",="0.192",="-0.0507",="0.189"
="",="(4.93)",="(0.99)",="(0.44)",="(1.01)",="(1.42)",="(1.30)",="(-0.55)",="(1.68)"

="stpr_fac10",="0.304***",="-0.0488",="0.0577",="0.0691",="0.0499",="0.0137",="-0.126",="-0.00884"
="",="(5.40)",="(-0.83)",="(1.26)",="(1.75)",="(0.38)",="(0.09)",="(-1.29)",="(-0.07)"

="stpr_fac11",="0.227***",="0.101*",="0.0583",="0.0766*",="0.153",="0.149",="-0.0783",="0.112"
="",="(4.67)",="(1.97)",="(1.46)",="(2.24)",="(1.33)",="(1.11)",="(-0.92)",="(1.09)"

="stpr_fac12",="0.175***",="0.0583",="0.0631",="0.0740*",="0.0489",="-0.0687",="-0.150",="-0.0281"
="",="(3.33)",="(1.06)",="(1.47)",="(2.01)",="(0.39)",="(-0.47)",="(-1.62)",="(-0.25)"

="stpr_fac13",="0.207**",="0.0167",="-0.00733",="0.0527",="0.0818",="0.263",="-0.0852",="0.227"
="",="(3.30)",="(0.25)",="(-0.14)",="(1.19)",="(0.55)",="(1.53)",="(-0.78)",="(1.72)"

="stpr_fac14",="0.353***",="0.0811",="0.0284",="0.0443",="0.198",="-0.122",="-0.0514",="-0.0267"
="",="(4.70)",="(1.03)",="(0.46)",="(0.84)",="(1.12)",="(-0.59)",="(-0.39)",="(-0.17)"

="stpr_fac15",="0.189***",="0.117*",="-0.0739",="-0.0184",="0.301*",="0.215",="0.0789",="0.153"
="",="(3.52)",="(2.07)",="(-1.68)",="(-0.49)",="(2.37)",="(1.46)",="(0.85)",="(1.35)"

="stpr_fac16",="0.152**",="0.0895",="0.0540",="0.0930**",="0.0315",="-0.0746",="-0.147",="-0.119"
="",="(3.08)",="(1.72)",="(1.34)",="(2.68)",="(0.27)",="(-0.55)",="(-1.71)",="(-1.14)"

="stpr_fac17",="0.332***",="-0.0544",="0.0881*",="0.0673",="0.267*",="0.0962",="-0.0802",="0.159"
="",="(6.61)",="(-1.03)",="(2.15)",="(1.91)",="(2.25)",="(0.70)",="(-0.92)",="(1.50)"

="stpr_fac18",="0.136**",="0.0632",="0.0721",="0.0633",="0.0668",="-0.210",="-0.136",="-0.0980"
="",="(2.77)",="(1.23)",="(1.80)",="(1.84)",="(0.58)",="(-1.56)",="(-1.60)",="(-0.95)"

