
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lnne99difference",="-0.00738",="-0.0567",="-0.00622",="-0.0184",="-0.230",="-0.0553",="-0.157",="-0.0654"
="",="(-0.15)",="(-1.06)",="(-0.13)",="(-0.40)",="(-1.84)",="(-0.48)",="(-1.56)",="(-0.72)"

="stpr_fac1",="0.0227",="-0.104*",="-0.0323",="-0.0807*",="-0.127",="-0.204*",="-0.146",="-0.158*"
="",="(0.56)",="(-2.43)",="(-0.84)",="(-2.16)",="(-1.26)",="(-2.22)",="(-1.81)",="(-2.16)"

="stpr_fac2",="-0.0159",="-0.0477",="0.0171",="-0.0298",="-0.0345",="-0.0586",="-0.0257",="-0.0345"
="",="(-0.46)",="(-1.30)",="(0.52)",="(-0.94)",="(-0.40)",="(-0.75)",="(-0.37)",="(-0.55)"

="stpr_fac3",="0.0134",="-0.000886",="-0.0202",="-0.0238",="0.0228",="-0.0952",="-0.00141",="-0.0782"
="",="(0.33)",="(-0.02)",="(-0.53)",="(-0.64)",="(0.23)",="(-1.03)",="(-0.02)",="(-1.07)"

="stpr_fac4",="-0.0265",="-0.0427",="0.0116",="0.00833",="-0.0463",="-0.00255",="-0.0213",="0.0267"
="",="(-0.69)",="(-1.05)",="(0.32)",="(0.24)",="(-0.49)",="(-0.03)",="(-0.28)",="(0.38)"

="stpr_fac5",="0.00782",="-0.0816",="0.142***",="-0.0526",="-0.0926",="-0.173",="-0.174*",="-0.104"
="",="(0.18)",="(-1.78)",="(3.45)",="(-1.32)",="(-0.86)",="(-1.75)",="(-2.01)",="(-1.32)"

="stpr_fac6",="0.00731",="0.108",="0.0256",="0.0341",="0.0821",="-0.121",="0.0107",="-0.139"
="",="(0.12)",="(1.70)",="(0.45)",="(0.62)",="(0.55)",="(-0.89)",="(0.09)",="(-1.28)"

="stpr_fac7",="0.0392",="0.0270",="-0.0564",="-0.00440",="0.120",="0.0264",="0.101",="0.0914"
="",="(0.96)",="(0.63)",="(-1.47)",="(-0.12)",="(1.20)",="(0.29)",="(1.25)",="(1.25)"

="stpr_fac8",="-0.0138",="0.000102",="0.0516",="0.0648",="-0.0108",="-0.0652",="-0.0451",="-0.0932"
="",="(-0.33)",="(0.00)",="(1.32)",="(1.71)",="(-0.11)",="(-0.70)",="(-0.55)",="(-1.26)"

="stpr_fac9",="0.0257",="-0.0179",="-0.0208",="-0.0383",="0.0881",="0.0688",="0.0461",="0.0855"
="",="(0.73)",="(-0.49)",="(-0.63)",="(-1.20)",="(1.02)",="(0.87)",="(0.66)",="(1.36)"

="stpr_fac10",="0.0322",="0.0248",="-0.0572",="-0.0708*",="0.0575",="0.0561",="0.0262",="0.0403"
="",="(0.82)",="(0.60)",="(-1.54)",="(-1.97)",="(0.60)",="(0.63)",="(0.34)",="(0.57)"

="stpr_fac11",="-0.00699",="-0.0180",="0.0273",="-0.0111",="-0.0288",="0.0155",="-0.0460",="0.00659"
="",="(-0.18)",="(-0.44)",="(0.74)",="(-0.31)",="(-0.30)",="(0.18)",="(-0.60)",="(0.09)"

="stpr_fac12",="0.0723",="-0.0143",="0.0532",="0.0315",="0.0508",="-0.0757",="0.000452",="-0.0454"
="",="(1.88)",="(-0.35)",="(1.47)",="(0.90)",="(0.54)",="(-0.87)",="(0.01)",="(-0.66)"

="stpr_fac13",="-0.00714",="0.0281",="-0.0713",="-0.109*",="-0.205",="-0.00417",="-0.118",="-0.0553"
="",="(-0.15)",="(0.55)",="(-1.56)",="(-2.46)",="(-1.72)",="(-0.04)",="(-1.23)",="(-0.64)"

="o.stpr_fac14",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac15",="-0.0504",="0.120**",="-0.0453",="-0.0280",="0.209",="0.234*",="0.186*",="0.166*"
="",="(-1.16)",="(2.64)",="(-1.11)",="(-0.71)",="(1.96)",="(2.39)",="(2.17)",="(2.13)"

="stpr_fac16",="-0.101*",="0.0852",="-0.0467",="-0.0374",="0.0216",="0.0647",="0.0935",="-0.0316"
="",="(-2.25)",="(1.82)",="(-1.11)",="(-0.92)",="(0.20)",="(0.64)",="(1.06)",="(-0.39)"

="stpr_fac17",="0.0518",="0.0706",="0.0699",="0.0264",="0.274*",="0.0895",="0.163",="0.0661"
="",="(1.12)",="(1.46)",="(1.61)",="(0.63)",="(2.42)",="(0.86)",="(1.78)",="(0.80)"

="stpr_fac18",="0.0183",="0.00109",="0.0901",="0.0539",="0.145",="0.0853",="0.105",="0.0523"
