
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="aginc_backward",="aginc_predict",="nfincome_backward",="nfincome_predict",="output_backward",="output_predict",="percapinc_backward",="percapinc_predict"

="lnpri99difference",="-0.150",="-0.0118",="-0.0981",="-0.0264",="-0.0773",="-0.0980",="-0.0255",="0.0204"
="",="(-1.13)",="(-0.09)",="(-1.11)",="(-0.34)",="(-0.78)",="(-1.09)",="(-0.33)",="(0.25)"

="stpr_fac1",="-0.0904",="-0.108",="-0.0878",="-0.106*",="0.0197",="-0.0633",="-0.0323",="-0.0367"
="",="(-1.20)",="(-1.41)",="(-1.75)",="(-2.42)",="(0.35)",="(-1.24)",="(-0.75)",="(-0.78)"

="stpr_fac2",="-0.0843",="0.00864",="-0.0411",="-0.00497",="-0.00684",="-0.0268",="-0.0454",="0.0173"
="",="(-1.45)",="(0.15)",="(-1.06)",="(-0.15)",="(-0.16)",="(-0.68)",="(-1.36)",="(0.48)"

="stpr_fac3",="-0.0757",="-0.0575",="-0.0535",="-0.0233",="0.000506",="-0.0545",="-0.0129",="-0.0174"
="",="(-1.28)",="(-0.96)",="(-1.37)",="(-0.68)",="(0.01)",="(-1.37)",="(-0.38)",="(-0.47)"

="stpr_fac4",="-0.0365",="0.0810",="-0.0452",="0.0460",="-0.0909",="-0.0303",="-0.0210",="0.0255"
="",="(-0.53)",="(1.16)",="(-0.99)",="(1.16)",="(-1.78)",="(-0.65)",="(-0.53)",="(0.59)"

="stpr_fac5",="0.112",="-0.0392",="0.0734",="0.00535",="0.0289",="-0.164**",="-0.0231",="0.0453"
="",="(1.24)",="(-0.43)",="(1.22)",="(0.10)",="(0.43)",="(-2.68)",="(-0.44)",="(0.80)"

="stpr_fac6",="0.109",="0.0983",="0.0205",="0.0559",="0.0597",="0.0767",="0.0168",="0.00416"
="",="(1.05)",="(0.93)",="(0.30)",="(0.93)",="(0.77)",="(1.09)",="(0.28)",="(0.06)"

="stpr_fac7",="0.106",="0.0482",="0.00252",="0.0851*",="0.0741",="-0.00969",="0.105**",="0.0512"
="",="(1.49)",="(0.67)",="(0.05)",="(2.08)",="(1.41)",="(-0.20)",="(2.60)",="(1.16)"

="stpr_fac8",="0.0735",="0.114",="0.0442",="0.117**",="0.0371",="0.0185",="0.00747",="0.0260"
="",="(1.05)",="(1.61)",="(0.95)",="(2.91)",="(0.72)",="(0.39)",="(0.19)",="(0.60)"

="stpr_fac9",="-0.00916",="-0.0125",="-0.0128",="-0.00751",="0.0109",="-0.0187",="0.0602",="0.0350"
="",="(-0.13)",="(-0.17)",="(-0.27)",="(-0.18)",="(0.21)",="(-0.39)",="(1.48)",="(0.79)"

="stpr_fac10",="-0.00585",="-0.0605",="-0.0406",="-0.0363",="0.0307",="0.0157",="0.0757*",="0.00873"
="",="(-0.09)",="(-0.92)",="(-0.94)",="(-0.97)",="(0.64)",="(0.36)",="(2.03)",="(0.22)"

="stpr_fac11",="-0.00591",="-0.00318",="-0.0115",="-0.00448",="-0.0303",="0.00168",="-0.00917",="-0.0198"
="",="(-0.10)",="(-0.05)",="(-0.30)",="(-0.13)",="(-0.70)",="(0.04)",="(-0.27)",="(-0.54)"

="stpr_fac12",="0.0882",="0.0457",="0.0462",="0.00927",="0.0595",="-0.0359",="0.0347",="-0.0408"
="",="(1.35)",="(0.69)",="(1.07)",="(0.25)",="(1.23)",="(-0.81)",="(0.93)",="(-1.00)"

="stpr_fac13",="-0.168*",="0.0223",="-0.118*",="-0.0129",="-0.0516",="0.0660",="-0.0344",="0.0950"
="",="(-2.13)",="(0.28)",="(-2.25)",="(-0.28)",="(-0.88)",="(1.23)",="(-0.76)",="(1.93)"

="stpr_fac14",="0.00457",="0.102",="0.0123",="0.0460",="-0.0753",="0.106",="0.0228",="0.0243"
="",="(0.05)",="(1.13)",="(0.21)",="(0.89)",="(-1.14)",="(1.74)",="(0.44)",="(0.43)"

="stpr_fac15",="-0.0307",="0.0846",="-0.0245",="0.00393",="-0.0132",="0.178***",="0.0346",="0.0176"
="",="(-0.55)",="(1.49)",="(-0.66)",="(0.12)",="(-0.32)",="(4.71)",="(1.08)",="(0.50)"

="stpr_fac16",="-0.0422",="-0.0693",="-0.0607",="0.0111",="-0.0361",="-0.0106",="0.0108",="0.0199"
="",="(-0.60)",="(-0.98)",="(-1.30)",="(0.27)",="(-0.69)",="(-0.22)",="(0.27)",="(0.45)"

="stpr_fac17",="0.218***",="0.316***",="0.102*",="0.0513",="0.0960*",="0.0163",="0.126***",="0.176***"
="",="(3.43)",="(4.92)",="(2.43)",="(1.40)",="(2.04)",="(0.38)",="(3.47)",="(4.44)"

="stpr_fac18",="0.194**",="-0.0887",="0.0550",="-0.0262",="-0.0456",="-0.0456",="0.0765",="-0.109*"
="",="(2.79)",="(-1.27)",="(1.20)",="(-0.65)",="(-0.89)",="(-0.97)",="(1.92)",="(-2.52)"

="stpr_fac19",="0.0616",="-0.00804",="0.0510",="-0.0295",="0.0188",="-0.0749",="0.0105",="-0.0337"
="",="(0.85)",="(-0.11)",="(1.06)",="(-0.71)",="(0.35)",="(-1.53)",="(0.25)",="(-0.75)"

="stpr_fac20",="0.0837",="0.129*",="0.0822*",="0.0821*",="0.0218",="0.0718",="0.0113",="0.0144"
="",="(1.39)",="(2.12)",="(2.06)",="(2.36)",="(0.49)",="(1.76)",="(0.33)",="(0.38)"

="stpr_fac21",="0.134*",="0.105",="0.0903*",="0.00714",="-0.0180",="-0.0114",="0.00343",="-0.0122"
="",="(2.02)",="(1.57)",="(2.05)",="(0.19)",="(-0.37)",="(-0.25)",="(0.09)",="(-0.29)"

="stpr_fac22",="0.000682",="0.0261",="0.0105",="0.0182",="-0.0170",="-0.0432",="-0.00189",="-0.0269"
="",="(0.01)",="(0.35)",="(0.21)",="(0.42)",="(-0.31)",="(-0.86)",="(-0.04)",="(-0.58)"

="stpr_fac23",="0.0252",="-0.0225",="0.0153",="-0.00788",="0.0427",="-0.00674",="0.0406",="0.00824"
="",="(0.27)",="(-0.24)",="(0.25)",="(-0.15)",="(0.62)",="(-0.11)",="(0.76)",="(0.14)"

="stpr_fac24",="-0.0546",="-0.0305",="-0.0463",="-0.0257",="-0.0359",="-0.0692",="-0.0329",="-0.0466"
="",="(-0.64)",="(-0.35)",="(-0.82)",="(-0.52)",="(-0.57)",="(-1.20)",="(-0.67)",="(-0.88)"

="stpr_fac25",="-0.0220",="0.0322",="0.0134",="0.00734",="-0.00817",="-0.0525",="-0.0160",="-0.0278"
="",="(-0.26)",="(0.38)",="(0.24)",="(0.15)",="(-0.13)",="(-0.92)",="(-0.33)",="(-0.53)"

="o.stpr_fac26",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac27",="-0.129",="0.0605",="-0.0840",="0.0603",="-0.0912",="0.00471",="-0.0755",="0.0631"
="",="(-1.03)",="(0.48)",="(-1.01)",="(0.83)",="(-0.98)",="(0.06)",="(-1.05)",="(0.81)"

="stpr_fac28",="0.0643",="0.0467",="0.0419",="0.0779*",="0.0496",="0.0279",="0.0551",="0.0163"
="",="(1.17)",="(0.84)",="(1.15)",="(2.45)",="(1.22)",="(0.75)",="(1.75)",="(0.48)"

="stpr_fac29",="0.0176",="0.0973",="0.0446",="0.0631",="0.0225",="-0.0482",="-0.0212",="0.0568"
="",="(0.24)",="(1.32)",="(0.92)",="(1.49)",="(0.42)",="(-0.98)",="(-0.51)",="(1.25)"

="stpr_fac30",="-0.0181",="0.0738",="-0.00729",="0.0340",="0.0185",="-0.00485",="-0.0148",="0.0105"
="",="(-0.30)",="(1.21)",="(-0.18)",="(0.98)",="(0.42)",="(-0.12)",="(-0.43)",="(0.28)"

="stpr_fac31",="0.00411",="0.0446",="0.0230",="0.0605",="-0.00785",="-0.0391",="-0.0123",="-0.0137"
="",="(0.06)",="(0.63)",="(0.50)",="(1.50)",="(-0.15)",="(-0.83)",="(-0.31)",="(-0.32)"

="stpr_fac32",="-0.0987",="-0.135",="-0.0500",="-0.0788",="-0.0358",="-0.115*",="-0.0251",="-0.0553"
="",="(-1.17)",="(-1.57)",="(-0.89)",="(-1.61)",="(-0.57)",="(-2.01)",="(-0.52)",="(-1.05)"

