
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="avwage_backward",="avwage_predict",="pop_backward",="pop_predict",="wagebill_backward",="wagebill_predict",="wageemp_backward",="wageemp_predict"

="lnsb04difference",="0.0640",="0.0179",="-0.0393",="-0.0905**",="-0.124",="-0.172",="-0.130",="-0.175*"
="",="(1.59)",="(0.45)",="(-1.12)",="(-2.83)",="(-1.43)",="(-1.91)",="(-1.89)",="(-2.58)"

="stpr_fac1",="-0.0901*",="-0.0397",="-0.0635",="-0.00572",="-0.308***",="-0.0950",="-0.220***",="-0.0538"
="",="(-2.37)",="(-1.05)",="(-1.92)",="(-0.19)",="(-3.79)",="(-1.12)",="(-3.39)",="(-0.84)"

="stpr_fac2",="-0.0221",="-0.0634*",="-0.0243",="-0.0128",="-0.200**",="-0.202**",="-0.135*",="-0.129*"
="",="(-0.69)",="(-2.00)",="(-0.87)",="(-0.50)",="(-2.91)",="(-2.82)",="(-2.47)",="(-2.40)"

="stpr_fac3",="-0.0265",="-0.0854**",="-0.0253",="-0.0299",="-0.256***",="-0.133",="-0.205***",="-0.0709"
="",="(-0.80)",="(-2.60)",="(-0.88)",="(-1.14)",="(-3.61)",="(-1.79)",="(-3.63)",="(-1.27)"

="stpr_fac4",="-0.0229",="-0.0668",="0.0157",="0.0360",="-0.138",="-0.0514",="-0.0679",="0.0232"
="",="(-0.62)",="(-1.82)",="(0.49)",="(1.23)",="(-1.73)",="(-0.62)",="(-1.07)",="(0.37)"

="stpr_fac5",="-0.0501",="-0.00960",="-0.0583",="-0.0811*",="-0.349***",="-0.210*",="-0.242**",="-0.175*"
="",="(-1.10)",="(-0.21)",="(-1.48)",="(-2.25)",="(-3.58)",="(-2.08)",="(-3.12)",="(-2.29)"

="stpr_fac6",="0.0648",="-0.0174",="0.0523",="-0.0299",="-0.220",="-0.147",="-0.200",="-0.0219"
="",="(1.01)",="(-0.27)",="(0.94)",="(-0.59)",="(-1.61)",="(-1.03)",="(-1.83)",="(-0.20)"

="stpr_fac7",="0.0268",="-0.0322",="-0.0101",="0.0318",="-0.149",="-0.337***",="-0.0486",="-0.133*"
="",="(0.68)",="(-0.83)",="(-0.30)",="(1.02)",="(-1.77)",="(-3.85)",="(-0.73)",="(-2.01)"

="stpr_fac8",="0.00755",="-0.0825*",="0.0660",="-0.0518",="-0.219*",="-0.248**",="-0.209**",="-0.119"
="",="(0.18)",="(-1.99)",="(1.81)",="(-1.56)",="(-2.44)",="(-2.66)",="(-2.93)",="(-1.69)"

="stpr_fac9",="-0.00993",="-0.0974**",="-0.0376",="-0.0542",="-0.0866",="-0.0403",="-0.0323",="0.0373"
="",="(-0.28)",="(-2.82)",="(-1.24)",="(-1.96)",="(-1.16)",="(-0.52)",="(-0.54)",="(0.64)"

="stpr_fac10",="0.00256",="-0.0258",="-0.0633",="-0.0360",="-0.0774",="0.0557",="-0.0561",="0.0842"
="",="(0.07)",="(-0.68)",="(-1.90)",="(-1.19)",="(-0.94)",="(0.65)",="(-0.86)",="(1.31)"

="stpr_fac11",="0.00630",="-0.0276",="0.00350",="-0.00601",="-0.0973",="-0.0629",="-0.0631",="0.00496"
="",="(0.19)",="(-0.85)",="(0.12)",="(-0.23)",="(-1.38)",="(-0.86)",="(-1.12)",="(0.09)"

="stpr_fac12",="0.00894",="-0.0436",="0.0396",="0.0343",="-0.209**",="-0.116",="-0.137*",="-0.109"
="",="(0.25)",="(-1.23)",="(1.27)",="(1.21)",="(-2.72)",="(-1.46)",="(-2.25)",="(-1.80)"

="stpr_fac13",="0.0513",="-0.0228",="-0.0928*",="-0.0621",="-0.112",="0.00311",="-0.119",="0.0300"
="",="(1.16)",="(-0.52)",="(-2.40)",="(-1.76)",="(-1.17)",="(0.03)",="(-1.57)",="(0.40)"

="stpr_fac14",="0.0289",="-0.106*",="0.0207",="0.00135",="-0.0942",="-0.0889",="-0.0489",="0.0230"
="",="(0.55)",="(-2.04)",="(0.45)",="(0.03)",="(-0.84)",="(-0.76)",="(-0.55)",="(0.26)"

="stpr_fac15",="0.0424",="-0.00320",="-0.000800",="0.0439",="0.164",="-0.00935",="0.134",="0.0570"
="",="(0.87)",="(-0.07)",="(-0.02)",="(1.14)",="(1.57)",="(-0.09)",="(1.62)",="(0.70)"

="stpr_fac16",="0.0583",="0.00507",="-0.0341",="-0.0137",="-0.0816",="0.00858",="-0.142*",="0.00129"
="",="(1.42)",="(0.12)",="(-0.96)",="(-0.42)",="(-0.93)",="(0.09)",="(-2.04)",="(0.02)"

="stpr_fac17",="0.0545",="-0.105**",="0.0136",="0.00231",="-0.107",="-0.154",="-0.0989",="-0.0493"
="",="(1.51)",="(-2.93)",="(0.43)",="(0.08)",="(-1.38)",="(-1.91)",="(-1.60)",="(-0.81)"

