
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="aginc_backward",="aginc_predict",="nfincome_backward",="nfincome_predict",="output_backward",="output_predict",="percapinc_backward",="percapinc_predict"

="lntf03difference",="-0.169",="0.00397",="-0.121",="0.00744",="-0.150",="0.0896",="-0.0330",="0.0607"
="",="(-0.96)",="(0.02)",="(-1.19)",="(0.07)",="(-1.31)",="(0.76)",="(-0.31)",="(0.52)"

="stpr_fac1",="-0.167*",="0.0442",="-0.158***",="0.0251",="-0.110*",="0.107*",="-0.0988*",="0.0307"
="",="(-2.25)",="(0.56)",="(-3.71)",="(0.52)",="(-2.30)",="(2.15)",="(-2.20)",="(0.63)"

="stpr_fac2",="-0.0730",="0.0877",="-0.0456",="0.0877*",="-0.0284",="0.0707",="-0.0655",="0.0537"
="",="(-1.10)",="(1.23)",="(-1.19)",="(2.05)",="(-0.66)",="(1.59)",="(-1.63)",="(1.23)"

="stpr_fac3",="-0.0583",="0.0685",="-0.0506",="0.0277",="-0.0453",="0.00205",="-0.0464",="0.0288"
="",="(-0.83)",="(0.91)",="(-1.25)",="(0.61)",="(-0.99)",="(0.04)",="(-1.09)",="(0.63)"

="stpr_fac4",="0.0467",="0.174*",="-0.00498",="0.125**",="-0.0205",="0.0342",="-0.0225",="0.0600"
="",="(0.66)",="(2.29)",="(-0.12)",="(2.75)",="(-0.45)",="(0.72)",="(-0.53)",="(1.29)"

="stpr_fac5",="-0.00363",="0.122",="-0.00831",="0.133*",="-0.0913",="0.0973",="-0.00699",="0.140*"
="",="(-0.04)",="(1.21)",="(-0.15)",="(2.20)",="(-1.50)",="(1.55)",="(-0.12)",="(2.28)"

="stpr_fac6",="0.0826",="0.0961",="0.0384",="0.117",="0.0662",="0.155*",="0.0186",="0.136"
="",="(0.72)",="(0.78)",="(0.58)",="(1.58)",="(0.88)",="(2.01)",="(0.27)",="(1.79)"

="stpr_fac7",="0.119",="0.160",="0.0833",="0.153*",="0.0506",="0.101",="0.0822",="0.0521"
="",="(1.29)",="(1.62)",="(1.57)",="(2.57)",="(0.85)",="(1.64)",="(1.47)",="(0.86)"

="stpr_fac8",="0.153",="0.0450",="0.112*",="0.0433",="0.0474",="0.0810",="0.00674",="0.0472"
="",="(1.83)",="(0.50)",="(2.33)",="(0.80)",="(0.87)",="(1.44)",="(0.13)",="(0.86)"

="stpr_fac9",="-0.0875",="0.0468",="-0.0565",="0.0330",="-0.0526",="0.0745",="-0.0270",="0.0603"
="",="(-1.31)",="(0.65)",="(-1.47)",="(0.76)",="(-1.21)",="(1.66)",="(-0.66)",="(1.37)"

="stpr_fac10",="-0.0422",="0.0231",="-0.0590",="-0.00744",="0.00338",="0.146**",="0.0226",="0.0410"
="",="(-0.60)",="(0.30)",="(-1.45)",="(-0.16)",="(0.07)",="(3.09)",="(0.53)",="(0.88)"

="stpr_fac11",="-0.0642",="0.0939",="-0.0675",="0.125**",="-0.0509",="0.109*",="-0.0648",="0.103*"
="",="(-0.95)",="(1.30)",="(-1.74)",="(2.87)",="(-1.16)",="(2.41)",="(-1.58)",="(2.32)"

="stpr_fac12",="-0.0226",="0.150",="-0.0475",="0.127**",="-0.0737",="0.115*",="-0.0976*",="0.0657"
="",="(-0.31)",="(1.93)",="(-1.14)",="(2.71)",="(-1.57)",="(2.37)",="(-2.23)",="(1.38)"

="stpr_fac13",="-0.0424",="0.0651",="-0.117*",="0.0907",="-0.0258",="0.194**",="0.0430",="0.112"
="",="(-0.48)",="(0.69)",="(-2.32)",="(1.60)",="(-0.45)",="(3.29)",="(0.81)",="(1.94)"

="o.stpr_fac14",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="stpr_fac15",="-0.00375",="0.0520",="-0.0518",="0.0297",="0.0568",="0.140*",="-0.00947",="0.0721"
="",="(-0.04)",="(0.54)",="(-1.01)",="(0.51)",="(0.98)",="(2.34)",="(-0.17)",="(1.23)"

="stpr_fac16",="-0.195*",="0.181",="-0.107*",="0.102",="-0.139*",="0.181**",="-0.0524",="0.141*"
="",="(-2.27)",="(1.96)",="(-2.16)",="(1.84)",="(-2.49)",="(3.15)",="(-1.00)",="(2.49)"

="stpr_fac17",="-0.00612",="0.0752",="0.0784",="0.0139",="0.0535",="0.0261",="-0.0596",="-0.0173"
="",="(-0.07)",="(0.77)",="(1.51)",="(0.24)",="(0.91)",="(0.43)",="(-1.09)",="(-0.29)"

="stpr_fac18",="-0.0286",="0.0682",="0.00827",="0.160**",="0.00712",="0.0623",="-0.136*",="0.0418"
="",="(-0.32)",="(0.70)",="(0.16)",="(2.74)",="(0.12)",="(1.03)",="(-2.48)",="(0.70)"

="stpr_fac19",="0.0444",="0.141",="0.0384",="0.0149",="0.00539",="-0.0184",="-0.0278",="0.0241"
="",="(0.42)",="(1.25)",="(0.63)",="(0.22)",="(0.08)",="(-0.26)",="(-0.44)",="(0.35)"

="stpr_fac20",="0.172*",="0.0214",="0.0963",="0.00260",="0.107",="-0.00287",="-0.00557",="-0.0371"
="",="(2.00)",="(0.23)",="(1.94)",="(0.05)",="(1.91)",="(-0.05)",="(-0.11)",="(-0.65)"

="stpr_fac21",="0.0754",="0.0156",="-0.0116",="-0.00699",="-0.0296",="-0.0869",="-0.0806",="0.0260"
="",="(1.02)",="(0.20)",="(-0.27)",="(-0.15)",="(-0.62)",="(-1.76)",="(-1.80)",="(0.54)"

="stpr_fac22",="-0.0210",="0.129",="-0.0192",="0.115*",="-0.0499",="0.0567",="-0.0692",="0.0748"
="",="(-0.27)",="(1.53)",="(-0.42)",="(2.27)",="(-0.97)",="(1.07)",="(-1.45)",="(1.45)"

="stpr_fac23",="-0.0347",="0.0418",="-0.0288",="0.0459",="0.0304",="0.0177",="-0.0478",="0.0181"
="",="(-0.35)",="(0.39)",="(-0.50)",="(0.71)",="(0.47)",="(0.27)",="(-0.79)",="(0.28)"

="stpr_fac24",="-0.0496",="0.118",="-0.0432",="0.117",="-0.0585",="0.0557",="-0.0759",="0.0417"
="",="(-0.52)",="(1.16)",="(-0.79)",="(1.91)",="(-0.95)",="(0.88)",="(-1.32)",="(0.67)"

="stpr_fac25",="-0.0150",="0.108",="-0.0157",="0.0916",="-0.0345",="0.0648",="-0.0770",="0.0138"
="",="(-0.20)",="(1.36)",="(-0.37)",="(1.92)",="(-0.72)",="(1.31)",="(-1.72)",="(0.28)"

="stpr_fac26",="0.0198",="0.0116",="-0.00952",="-0.0142",="0.0696",="0.0291",="-0.0586",="-0.0318"
="",="(0.17)",="(0.09)",="(-0.14)",="(-0.19)",="(0.92)",="(0.37)",="(-0.83)",="(-0.42)"

="stpr_fac27",="0.0384",="0.0381",="0.0298",="0.00564",="0.0448",="0.0613",="-0.00561",="-0.0126"
="",="(0.34)",="(0.31)",="(0.45)",="(0.08)",="(0.60)",="(0.80)",="(-0.08)",="(-0.17)"

="stpr_fac28",="0.0209",="0.0960",="0.0519",="0.104",="0.0564",="0.0302",="-0.0494",="0.0328"
="",="(0.23)",="(1.00)",="(1.01)",="(1.81)",="(0.97)",="(0.50)",="(-0.91)",="(0.56)"

="stpr_fac29",="0.0707",="0.0872",="0.0268",="0.0944",="-0.0594",="0.0964",="-0.0206",="0.0879"
="",="(0.87)",="(1.00)",="(0.57)",="(1.80)",="(-1.13)",="(1.77)",="(-0.42)",="(1.65)"

="stpr_fac30",="0.0386",="0.116",="0.00800",="0.0573",="-0.00232",="0.0610",="-0.0266",="0.0355"
="",="(0.60)",="(1.67)",="(0.22)",="(1.38)",="(-0.06)",="(1.41)",="(-0.68)",="(0.84)"

="stpr_fac31",="-0.0120",="0.0826",="0.0221",="0.0549",="-0.0748",="0.0553",="-0.0594",="0.0160"
="",="(-0.17)",="(1.07)",="(0.53)",="(1.19)",="(-1.60)",="(1.15)",="(-1.36)",="(0.34)"

="stpr_fac32",="-0.228***",="0.135",="-0.136***",="0.0295",="-0.128**",="0.0693",="-0.127**",="0.0634"
="",="(-3.41)",="(1.88)",="(-3.53)",="(0.68)",="(-2.94)",="(1.55)",="(-3.12)",="(1.44)"

="stpr_fac33",="0.141",="0.0161",="0.0913",="-0.0455",="-0.0667",="0.0118",="-0.0205",="0.0710"
