FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               6/7         4/7          0.039       95-00           0.128***                            -0.0169
gt81               6/7         6/7          0.036       95-00           0.0420***                            -0.0126
gt82               6/7         6/7          0.033       95-00           0.0552***                            -0.0114
gt83               7/7         5/7          0.032       90-95           0.0486***                            0.000560
gt84               7/7         3/7          0.035       90-95           0.0423**                            0.00291
gt85               7/7         4/7          0.035       90-95           0.0413**                            0.00499
gt86               6/7         3/7          0.03       85-90           0.0510**                            -0.00719
ft75               0/7         0/7          0.007       95-00           -0.00705                            -0.00550
sb00               0/7         2/7          0.066       85-90           -0.120***                            -0.0106
sb01               0/7         2/7          0.067       85-90           -0.126***                            -0.00433
sb02               0/7         3/7          0.072       85-90           -0.107***                            -0.00288
sb03               0/7         3/7          0.07       85-90           -0.109***                            -0.00415
sb04               0/7         3/7          0.072       85-90           -0.124***                            -0.00111
ne99               4/7         0/7          0.005       95-00           0.0211                            0.0186
ne02               4/7         0/7          0.007       75-80           -0.0444                            0.0152
bh01               4/7         1/7          0.023       95-00           0.0678**                            0.00985
bh02               4/7         1/7          0.012       95-00           0.0493*                            0.0119
bh03               4/7         0/7          0.02       85-90           -0.0834                            0.0209
bh04               4/7         1/7          0.019       95-00           0.0643**                            0.0151
frng04               1/7         2/7          0.05       90-95           -0.103***                            0.0305
frsg04               1/7         4/7          0.075       85-90           -0.158***                            0.0304
pri99               0/7         3/7          0.024       90-95           -0.109***                            -0.0399
pri04               0/7         4/7          0.021       90-95           -0.0703**                            -0.0553**
cedp87               0/7         4/7          0.022       00-05           -0.0137**                            -0.00222
cedp88               0/7         4/7          0.016       75-80           -0.0160**                            -0.00127
cedp89               0/7         5/7          0.035       90-95           -0.0203***                            -0.00607
cedp90               0/7         4/7          0.04       90-95           -0.0211***                            -0.00165
cedp91               0/7         3/7          0.037       90-95           -0.0175***                            -0.00326
cedc87               0/7         1/7          0.036       75-80           -0.0252***                            -0.00921
cedc88               0/7         0/7          0.009       95-00           -0.00807                            -0.00248
cedc89               0/7         0/7          0.006       00-05           -0.00628                            -0.00425
cedc90               0/7         0/7          0.007       00-05           -0.00688                            -0.00605
cedc91               0/7         1/7          0.008       05-10           -0.00714*                            -0.00714*
cedc92               0/7         1/7          0.011       05-10           -0.00806*                            -0.00806*
cedc93               0/7         1/7          0.009       05-10           -0.00741*                            -0.00741*
cedc94               0/7         1/7          0.012       00-05           -0.00867*                            -0.00373
cedc95               0/7         0/7          0.008       00-05           -0.00670                            -0.00286
cedc96               0/7         1/7          0.011       95-00           -0.00882*                            -0.00292
cedpi88               2/7         3/7          0.016       90-95           -0.0638*                            0.0169
cedpi89               2/7         2/7          0.038       85-90           -0.0571***                            0.00444
cedpi90               1/7         2/7          0.039       85-90           -0.0616***                            -0.000132
cedpi91               1/7         2/7          0.039       85-90           -0.0622***                            -0.000365
cedpi92               2/7         2/7          0.037       85-90           -0.0610***                            -0.00296
cedpi93               2/7         1/7          0.039       85-90           -0.0900**                            0.00620
cedpi94               1/7         1/7          0.047       85-90           -0.0964**                            0.00307
cedpi95               2/7         1/7          0.044       85-90           -0.0909**                            0.00643
cedpi96               2/7         1/7          0.034       85-90           -0.0799**                            0.000470
tf03               6/7         2/7          0.057       85-90           0.135***                            -0.0361
tf04               6/7         3/7          0.049       85-90           0.129***                            -0.0344
