FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               4/7         0/7          0.008       85-90           0.145                            0.0404
gt81               4/7         0/7          0.006       05-10           0.0294                            0.0294
gt82               5/7         0/7          0.006       80-85           0.0609                            0.0295
gt83               6/7         0/7          0.006       05-10           0.0337                            0.0337
gt84               4/7         0/7          0.012       85-90           0.0581                            0.0184
gt85               6/7         0/7          0.015       85-90           0.0628                            0.0220
gt86               5/7         1/7          0.028       85-90           0.0977*                            0.00771
ft75               0/7         1/7          0.011       00-05           -0.0164*                            -0.00489
sb00               0/7         0/7          0.009       90-95           -0.0685                            -0.0555
sb01               0/7         1/7          0.011       05-10           -0.0732*                            -0.0732*
sb02               0/7         1/7          0.015       05-10           -0.0682*                            -0.0682*
sb03               0/7         1/7          0.018       05-10           -0.0763**                            -0.0763**
sb04               0/7         1/7          0.013       90-95           -0.0827                            -0.0748*
ne99               5/7         0/7          0.004       00-05           0.0388                            0.0128
ne02               5/7         1/7          0.008       95-00           0.0681*                            -0.00208
bh01               5/7         1/7          0.01       80-85           0.119*                            0.00177
bh02               4/7         0/7          0.008       80-85           0.105                            -0.0252
bh03               5/7         0/7          0.007       80-85           0.104                            0.0496
bh04               5/7         1/7          0.021       80-85           0.176**                            -0.0109
frng04               2/7         1/7          0.01       90-95           -0.0843*                            -0.0444
frsg04               4/7         0/7          0.01       90-95           -0.0886                            -0.0333
pri99               0/7         0/7          0.003       90-95           -0.0653                            -0.0457
pri04               0/7         0/7          0.004       00-05           -0.0557                            -0.0144
cedp87               0/7         0/7          0.009       05-10           -0.0167                            -0.0167
cedp88               0/7         1/7          0.01       80-85           -0.0273                            -0.0177
cedp89               0/7         0/7          0.003       80-85           -0.0137                            -0.00272
cedp90               0/7         0/7          0.007       90-95           -0.0165                            -0.00211
cedp91               0/7         0/7          0.01       90-95           -0.0163                            -0.0123
cedc87               0/7         1/7          0.011       95-00           -0.0207**                            -0.00907
cedc88               0/7         2/7          0.007       95-00           -0.0131*                            -0.00629
cedc89               0/7         2/7          0.007       95-00           -0.0126*                            -0.00824
cedc90               0/7         0/7          0.007       95-00           -0.0137                            -0.000649
cedc91               0/7         0/7          0.004       95-00           -0.0104                            -0.00168
cedc92               0/7         1/7          0.005       95-00           -0.0109                            -0.00157
cedc93               0/7         1/7          0.005       75-80           -0.0139*                            -0.00218
cedc94               0/7         2/7          0.006       95-00           -0.0120*                            -0.00669
cedc95               0/7         1/7          0.007       95-00           -0.0120*                            -0.00600
cedc96               0/7         1/7          0.005       75-80           -0.0137*                            -0.00541
cedpi88               3/7         1/7          0.025       05-10           -0.133**                            -0.133**
cedpi89               3/7         0/7          0.009       90-95           -0.0424                            -0.0357
cedpi90               3/7         0/7          0.01       90-95           -0.0489                            -0.0399
cedpi91               3/7         1/7          0.015       90-95           -0.0594*                            -0.0319
cedpi92               3/7         0/7          0.011       90-95           -0.0523                            -0.0151
cedpi93               3/7         1/7          0.025       05-10           -0.101***                            -0.101***
cedpi94               4/7         1/7          0.015       05-10           -0.0770*                            -0.0770*
cedpi95               3/7         1/7          0.011       05-10           -0.0643*                            -0.0643*
cedpi96               2/7         1/7          0.011       05-10           -0.0649*                            -0.0649*
tf03               5/7         0/7          0.006       05-10           0.0630                            0.0630
tf04               5/7         0/7          0.007       05-10           0.0680                            0.0680
