,aginc,nfincome,percapin,pop,avwage,output,wagebill,wage empt
lngt80diff~e,0.227**,0.0195,0.0643,0.0223,0.0104,-0.0214,0.0277,0.0277
t-score,-2.73,-0.42,-1.6,-0.86,-0.39,(-0.86),-0.28,-0.43
R-sq,0.144,0.02,0.28,0.18,0.051,0.038,0.001,0.049
lngt81diff~e,0.0343,0.0169,-0.00225,0.0159**,-0.00167,-0.0104,0.0104,-0.00546
t-score,-1.82,-1.68,(-0.22),-2.96,(-0.19),(-1.16),-0.26,(-0.21)
R-sq,0.068,0.009,0.145,0.186,0.12,0.088,0.014,0.001
lngt82diff~e,0.124***,0.0704***,0.0632**,0.0141,0.0222*,-0.0066,0.0142,-0.0317
t-score,-5.64,-4.81,-3.08,-1.52,-2.35,(-0.41),-0.31,(-0.95)
R-sq,0.127,0.043,0.175,0.089,0.07,0.078,0.024,0.006
lngt83diff~e,0.0619**,0.0655***,0.021,0.0299***,0.0163,0.0125,0.0334,0.0101
t-score,-2.75,-5.88,-1.58,-3.72,-1.72,-1.33,-0.98,-0.41
R-sq,0.076,0.09,0.079,0.136,0.061,0.078,0.007,0.017
lngt84diff~e,0.0336,0.0495***,0.00196,0.0310***,0.0112,0.00539,0.0554,0.0488
t-score,-1.58,-3.8,-0.16,-3.7,-1.31,-0.66,-1.5,-1.78
R-sq,0.05,0.071,0.084,0.156,0.044,0.036,0.013,0.029
lngt85diff~e,0.0261,0.0362**,-0.00147,0.0297**,0.0163,0.0129,0.0623,0.0506
t-score,-1.56,-2.71,(-0.15),-3.1,-1.77,-1.53,-1.61,-1.83
R-sq,0.037,0.037,0.021,0.155,0.031,0.024,0.017,0.027
lngt86diff~e,0.0593*,0.0665***,0.0124,0.0366**,0.0267**,0.0387***,0.0746**,0.0549*
t-score,-2.22,-4.84,-0.94,-3.29,-2.84,-3.58,-2.65,-2.55
R-sq,0.057,0.102,0.08,0.225,0.035,0.058,0.035,0.04
lnft75diff~e,0.00932,-0.00119,0.00453,-0.00238,-0.00562,-0.00487,0.0000296,0.0099
t-score,-0.67,(-0.25),-0.48,(-1.09),(-1.23),(-0.97),0,-1.05
R-sq,0.039,0.07,0.23,0.215,0.021,0.005,0.003,0.027
lnsb00diff~e,0.0781**,-0.0445,0.0378*,-0.0212**,0.0125,0.0012,0.00079,-0.000748
t-score,-2.84,(-1.79),-2.22,(-2.63),-0.7,-0.05,-0.02,(-0.03)
R-sq,0.023,0.153,0.049,0.394,0.074,0.054,0.024,0.065
lnsb01diff~e,0.0308,-0.0646**,0.0186,-0.0355***,-0.00107,-0.00966,-0.0201,-0.00939
