FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               4/7         2/7          0.017       90-95           0.0700***                            -0.0196
gt81               4/7         2/7          0.012       95-00           0.0200***                            -0.0154
gt82               4/7         3/7          0.01       95-00           0.0247**                            -0.0201
gt83               3/7         1/7          0.011       90-95           0.0219*                            -0.00969
gt84               3/7         2/7          0.018       90-95           0.0237**                            -0.0106
gt85               4/7         2/7          0.017       90-95           0.0219**                            -0.00639
gt86               4/7         2/7          0.015       90-95           0.0237**                            -0.0106
ft75               0/7         3/7          0.018       95-00           -0.00937**                            -0.00810*
sb00               0/7         0/7          0.005       95-00           -0.0217                            -0.00366
sb01               0/7         0/7          0.007       95-00           -0.0269                            -0.0106
sb02               0/7         0/7          0.005       85-90           -0.0212                            -0.0106
sb03               0/7         0/7          0.005       85-90           -0.0214                            -0.00803
sb04               0/7         1/7          0.011       90-95           -0.0313*                            -0.00731
ne99               4/7         0/7          0.007       85-90           0.0248                            -0.0181
ne02               5/7         2/7          0.011       85-90           0.0425*                            -0.0344*
bh01               4/7         1/7          0.014       95-00           0.0433***                            -0.0315
bh02               4/7         1/7          0.01       95-00           0.0360**                            -0.0325
bh03               3/7         1/7          0.01       95-00           0.0398**                            -0.0281
bh04               3/7         1/7          0.01       95-00           0.0375**                            -0.0218
frng04               3/7         1/7          0.01       90-95           -0.0357*                            0.0250
frsg04               4/7         2/7          0.014       90-95           -0.0447**                            0.0437*
pri99               0/7         2/7          0.01       05-10           -0.0518**                            -0.0518**
pri04               0/7         3/7          0.016       90-95           -0.0471**                            -0.0401*
cedp87               0/7         0/7          0.005       90-95           -0.00566                            -0.00502
cedp88               0/7         0/7          0.003       75-80           -0.00531                            -0.00264
cedp89               0/7         2/7          0.014       90-95           -0.00965**                            -0.00699*
cedp90               0/7         1/7          0.015       90-95           -0.0101**                            -0.00417
cedp91               0/7         1/7          0.01       90-95           -0.00699*                            -0.000565
cedc87               0/7         1/7          0.007       85-90           -0.00893*                            -0.00329
cedc88               0/7         1/7          0.009       85-90           -0.00737*                            -0.00389
cedc89               0/7         1/7          0.01       85-90           -0.00786*                            -0.00206
cedc90               0/7         0/7          0.005       00-05           -0.00556                            -0.00419
cedc91               0/7         0/7          0.004       00-05           -0.00447                            -0.000732
cedc92               0/7         0/7          0.002       85-90           -0.00349                            -0.00306
cedc93               0/7         0/7          0.001       75-80           -0.00298                            -0.00194
cedc94               0/7         0/7          0.004       90-95           -0.00451                            -0.00454
cedc95               0/7         1/7          0.009       05-10           -0.00629*                            -0.00629*
cedc96               0/7         0/7          0.004       90-95           -0.00428                            -0.00349
cedpi88               3/7         0/7          0.005       05-10           0.0263                            0.0263
cedpi89               2/7         1/7          0.021       05-10           0.0276*                            0.0276*
cedpi90               2/7         1/7          0.015       05-10           0.0249*                            0.0249*
cedpi91               2/7         0/7          0.013       05-10           0.0235                            0.0235
cedpi92               3/7         1/7          0.015       05-10           0.0254*                            0.0254*
cedpi93               3/7         0/7          0.005       95-00           -0.0220                            0.0164
cedpi94               3/7         1/7          0.009       95-00           -0.0277*                            0.0213
cedpi95               3/7         0/7          0.009       05-10           0.0257                            0.0257
cedpi96               2/7         1/7          0.011       05-10           0.0298                            0.0298
tf03               4/7         2/7          0.026       05-10           -0.0591**                            -0.0591**
tf04               3/7         1/7          0.028       05-10           -0.0630**                            -0.0630**
