FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               2/7         1/7          0.016       90-95           0.0782*                            -0.00865
gt81               5/7         0/7          0.007       90-95           0.0183                            -0.0138
gt82               5/7         1/7          0.026       80-85           0.0717**                            -0.0166
gt83               3/7         2/7          0.014       90-95           0.0284*                            -0.0102
gt84               3/7         1/7          0.011       90-95           0.0212*                            -0.00461
gt85               4/7         0/7          0.01       90-95           0.0196                            0.00330
gt86               5/7         0/7          0.003       80-85           0.0206                            -0.000782
ft75               0/7         1/7          0.016       00-05           -0.00963**                            -0.00225
sb00               0/7         2/7          0.022       90-95           -0.0533                            -0.0280
sb01               0/7         1/7          0.023       90-95           -0.0564                            -0.0352
sb02               0/7         2/7          0.033       90-95           -0.0557*                            -0.0330
sb03               0/7         2/7          0.036       90-95           -0.0601*                            -0.0323
sb04               0/7         2/7          0.046       90-95           -0.0757**                            -0.0399
ne99               3/7         1/7          0.012       95-00           0.0315*                            0.0195
ne02               4/7         1/7          0.014       95-00           0.0474*                            0.0217
bh01               4/7         1/7          0.019       95-00           0.0580**                            0.0174
bh02               5/7         1/7          0.01       95-00           0.0419*                            0.0247
bh03               5/7         1/7          0.011       95-00           0.0479*                            0.0166
bh04               4/7         1/7          0.018       95-00           0.0596**                            0.0395
frng04               4/7         3/7          0.042       90-95           -0.0846**                            0.0639**
frsg04               4/7         3/7          0.038       90-95           -0.0870**                            0.0713*
pri99               0/7         2/7          0.021       90-95           -0.0903**                            -0.0656*
pri04               0/7         2/7          0.014       90-95           -0.0519*                            -0.0456*
cedp87               0/7         3/7          0.021       95-00           -0.0138**                            -0.00494
cedp88               0/7         2/7          0.026       80-85           -0.0253***                            -0.0000927
cedp89               0/7         4/7          0.028       90-95           -0.0161***                            -0.0125**
cedp90               0/7         4/7          0.026       90-95           -0.0153**                            -0.0105*
cedp91               0/7         2/7          0.021       90-95           -0.0118*                            -0.00260
cedc87               0/7         2/7          0.012       05-10           -0.0124*                            -0.0124*
cedc88               0/7         1/7          0.028       95-00           -0.0135***                            -0.000618
cedc89               0/7         1/7          0.025       95-00           -0.0127***                            -0.00349
cedc90               0/7         1/7          0.017       95-00           -0.0112**                            -0.00175
cedc91               0/7         1/7          0.015       95-00           -0.0100**                            -0.00320
cedc92               0/7         1/7          0.014       95-00           -0.00943**                            -0.00661
cedc93               0/7         1/7          0.021       95-00           -0.0117***                            -0.00516
cedc94               0/7         1/7          0.013       95-00           -0.00918*                            -0.00380
cedc95               0/7         1/7          0.014       95-00           -0.00921*                            -0.00280
cedc96               0/7         1/7          0.019       95-00           -0.0111**                            -0.00137
cedpi88               4/7         3/7          0.029       90-95           -0.0776**                            0.0291
cedpi89               4/7         3/7          0.02       90-95           -0.0324*                            0.0306
cedpi90               4/7         2/7          0.027       90-95           -0.0391*                            0.0277
cedpi91               4/7         2/7          0.026       90-95           -0.0388*                            0.0251
cedpi92               4/7         2/7          0.029       95-00           0.0411***                            0.0165
cedpi93               4/7         2/7          0.023       90-95           -0.0533*                            0.0340
cedpi94               4/7         4/7          0.024       90-95           -0.0532*                            0.0346
cedpi95               4/7         4/7          0.026       90-95           -0.0541*                            0.0347
cedpi96               4/7         4/7          0.024       90-95           -0.0520*                            0.0300
tf03               3/7         3/7          0.028       90-95           0.0729*                            -0.0733**
tf04               4/7         3/7          0.034       90-95           0.0816*                            -0.0753**
