FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               7/7         4/7          0.045       95-00           0.108***                            0.0214
gt81               7/7         6/7          0.027       85-90           0.0320***                            0.00912
gt82               7/7         5/7          0.032       85-90           0.0477***                            0.0156
gt83               7/7         5/7          0.031       90-95           0.0341***                            0.0116
gt84               7/7         4/7          0.045       85-90           0.0396***                            0.00590
gt85               7/7         5/7          0.032       85-90           0.0325***                            0.00683
gt86               7/7         4/7          0.033       85-90           0.0378***                            0.00121
ft75               0/7         0/7          0.008       85-90           -0.00669                            -0.00329
sb00               0/7         5/7          0.051       85-90           -0.0741***                            -0.0392***
sb01               0/7         5/7          0.051       85-90           -0.0774***                            -0.0376**
sb02               0/7         5/7          0.057       85-90           -0.0673***                            -0.0320***
sb03               0/7         5/7          0.058       85-90           -0.0699***                            -0.0332***
sb04               0/7         6/7          0.061       85-90           -0.0808***                            -0.0386***
ne99               4/7         0/7          0.002       75-80           -0.0127                            -0.00688
ne02               4/7         0/7          0.008       75-80           -0.0345                            -0.0161
bh01               4/7         0/7          0.002       75-80           -0.0176                            0.00153
bh02               2/7         0/7          0.003       75-80           -0.0209                            -0.000730
bh03               3/7         0/7          0.006       75-80           -0.0330                            0.00500
bh04               2/7         0/7          0.006       75-80           -0.0311                            -0.0168
frng04               0/7         6/7          0.034       95-00           -0.0625***                            -0.0277*
frsg04               0/7         6/7          0.048       90-95           -0.0771***                            -0.0337*
pri99               0/7         3/7          0.023       95-00           -0.0766***                            -0.0360*
pri04               0/7         2/7          0.016       95-00           -0.0442**                            -0.0104
cedp87               0/7         5/7          0.024       90-95           -0.0118***                            -0.00553*
cedp88               0/7         5/7          0.017       75-80           -0.0124***                            -0.00298
cedp89               0/7         6/7          0.035       90-95           -0.0144***                            -0.00509*
cedp90               0/7         6/7          0.036       90-95           -0.0143***                            -0.00516
cedp91               0/7         4/7          0.023       90-95           -0.00996***                            -0.00441
cedc87               0/7         1/7          0.012       75-80           -0.0108*                            -0.00206
cedc88               0/7         0/7          0.001       75-80           -0.00228                            -0.00130
cedc89               0/7         0/7          0.002       80-85           -0.00319                            -0.00181
cedc90               0/7         0/7          0.002       75-80           -0.00331                            -0.000179
cedc91               0/7         0/7          0.002       75-80           -0.00351                            -0.000848
cedc92               0/7         0/7          0.006       80-85           -0.00479                            -0.00143
cedc93               0/7         0/7          0.003       75-80           -0.00423                            -0.00155
cedc94               0/7         0/7          0.006       05-10           -0.00395                            -0.00395
cedc95               0/7         0/7          0.004       95-00           -0.00381                            -0.00262
cedc96               0/7         0/7          0.003       90-95           -0.00354                            -0.00223
cedpi88               0/7         2/7          0.012       85-90           -0.0462*                            -0.00999
cedpi89               0/7         4/7          0.023       90-95           -0.0273***                            -0.0106
cedpi90               0/7         5/7          0.023       90-95           -0.0288***                            -0.0149*
cedpi91               0/7         5/7          0.025       90-95           -0.0302***                            -0.0117
cedpi92               0/7         3/7          0.023       85-90           -0.0338**                            -0.00650
cedpi93               0/7         3/7          0.03       85-90           -0.0554*                            -0.0202
cedpi94               0/7         4/7          0.034       85-90           -0.0581**                            -0.0205*
cedpi95               0/7         4/7          0.028       85-90           -0.0515**                            -0.0198*
cedpi96               0/7         4/7          0.022       85-90           -0.0457*                            -0.0202
tf03               7/7         5/7          0.043       85-90           0.0826***                            0.0310*
tf04               7/7         6/7          0.04       85-90           0.0818***                            0.0325*
