,,aginc, nfincome, percapinc, population, avwage, output, wagebill, wageemp
bh, B > 0, 2/4,1/4,3/4,0/4,0/4,2/4,4/4,4/4
,B>> 0,0/4,1/4,1/4,1/4,0/4,0/4,1/4,0/4
, B<< 0,2/4,3/4,1/4,4/4,4/4,2/4,0/4,0/4
,avg B,0.0069675,-0.013300000000000001,0.01509,-0.0175675,-0.004627249999999999,-0.0016400000000000004,0.0415,0.018035
,avg R2,0.017499999999999998,0.08049999999999999,0.048,0.4225,0.009250000000000001,0.0045000000000000005,0.05625,0.0925
cedc, B > 0, 6/10,8/10,5/10,10/10,6/10,5/10,8/10,10/10
,B>> 0,5/10,3/10,5/10,0/10,0/10,0/10,1/10,2/10
, B<< 0,4/10,2/10,5/10,0/10,4/10,5/10,2/10,0/10
,avg B,0.0021669999999999997,0.0031320999999999996,-4.0900000000000105E-4,0.00155506,0.0011478999999999999,-5.445000000000001E-5,0.0063733999999999996,0.008043
,avg R2,0.023,0.1902,0.0388,0.36400000000000005,0.004000000000000001,0.008,0.0688,0.06969999999999998
cedp, B > 0, 0/5,0/5,0/5,0/5,2/5,2/5,0/5,0/5
,B>> 0,3/5,4/5,3/5,3/5,2/5,4/5,0/5,1/5
, B<< 0,5/5,5/5,5/5,5/5,3/5,3/5,5/5,5/5
,avg B,-0.025154000000000003,-0.010666,-0.012868000000000001,-0.0067599999999999995,-0.0015259999999999996,-0.0046429999999999996,-0.010012000000000002,-0.0076556
,avg R2,0.056400000000000006,0.4950000000000001,0.1106,1.0108,0.027200000000000002,0.042600000000000006,0.17779999999999996,0.18719999999999998
cedpi, B > 0, 2/9,3/9,3/9,3/9,0/9,1/9,3/9,4/9
,B>> 0,3/9,0/9,2/9,0/9,2/9,2/9,2/9,2/9
, B<< 0,7/9,6/9,6/9,6/9,9/9,8/9,6/9,5/9
,avg B,-0.02550333333333334,-0.00487777777777778,-0.00894,-0.006049999999999999,-0.015320111111111109,-0.019727777777777778,-0.026606666666666667,-0.017615777777777775
,avg R2,0.015888888888888886,0.19266666666666665,0.03311111111111111,0.37344444444444447,0.00811111111111111,0.010555555555555556,0.07466666666666666,0.07333333333333332
frng, B > 0, 1/1,1/1,1/1,0/1,1/1,1/1,0/1,0/1
,B>> 0,0/1,0/1,1/1,0/1,0/1,0/1,0/1,1/1
, B<< 0,0/1,0/1,0/1,1/1,0/1,0/1,1/1,1/1
,avg B,0.00711,0.0165,0.0654,-0.0164,0.0289,0.036,-0.0462,-0.0467
,avg R2,0.01,0.04,0.07,0.415,0.007,0.006,0.072,0.124
frsg, B > 0, 1/1,1/1,1/1,0/1,1/1,1/1,0/1,0/1
,B>> 0,0/1,0/1,1/1,0/1,0/1,1/1,0/1,0/1
, B<< 0,0/1,0/1,0/1,1/1,0/1,0/1,1/1,1/1
,avg B,0.0348,0.0277,0.0885,-0.019,0.0409,0.0509,-0.0419,-0.0439
,avg R2,0.012,0.043,0.083,0.415,0.012,0.011,0.071,0.123
gt, B > 0, 7/7,7/7,5/7,7/7,6/7,4/7,7/7,5/7
,B>> 0,4/7,5/7,1/7,5/7,2/7,1/7,1/7,1/7
, B<< 0,0/7,0/7,2/7,0/7,1/7,3/7,0/7,2/7
,avg B,0.0808857142857143,0.04635714285714286,0.02273428571428571,0.02564285714285714,0.01449,0.004441428571428571,0.039714285714285716,0.022134285714285714
,avg R2,0.07985714285714286,0.05314285714285714,0.12342857142857143,0.161,0.058857142857142865,0.05714285714285715,0.015857142857142858,0.024142857142857143
ne, B > 0, 1/2,0/2,1/2,1/2,1/2,0/2,2/2,1/2
,B>> 0,0/2,0/2,0/2,1/2,0/2,0/2,0/2,0/2
, B<< 0,1/2,2/2,1/2,1/2,1/2,2/2,0/2,1/2
,avg B,-0.015845,-0.0256,-0.015775,-0.012915,-0.005135000000000001,-0.015665000000000002,0.01784,0.00545
,avg R2,0.0205,0.1215,0.0345,0.4565,0.0455,0.0315,0.036,0.065
pri, B > 0, 0/2,0/2,0/2,1/2,0/2,0/2,1/2,1/2
,B>> 0,0/2,0/2,0/2,0/2,1/2,0/2,0/2,0/2
, B<< 0,2/2,2/2,2/2,1/2,2/2,2/2,1/2,1/2
,avg B,-0.05155,-0.01938,-0.044,-0.004,-0.030899999999999997,-0.0322,-0.046380000000000005,-0.03125
,avg R2,0.015,0.1,0.0315,0.44399999999999995,0.0435,0.028499999999999998,0.0475,0.0875
sb, B > 0, 2/5,4/5,1/5,5/5,1/5,3/5,4/5,5/5
,B>> 0,1/5,3/5,2/5,5/5,0/5,0/5,2/5,3/5
, B<< 0,3/5,1/5,4/5,0/5,4/5,2/5,1/5,0/5
,avg B,-0.019882,0.04476600000000001,-0.025168199999999995,0.0313,-0.011324,0.00138,0.045202000000000006,0.029967600000000004
,avg R2,0.0186,0.11280000000000001,0.0516,0.42919999999999997,0.024399999999999998,0.0152,0.05500000000000001,0.092
tf, B > 0, 0/2,1/2,0/2,2/2,0/2,0/2,2/2,2/2
,B>> 0,0/2,0/2,2/2,1/2,2/2,1/2,1/2,2/2
, B<< 0,2/2,1/2,2/2,0/2,2/2,2/2,0/2,0/2
,avg B,-0.05745,-0.01115,-0.08175,0.02765,-0.0515,-0.05374999999999999,0.08499999999999999,0.0653
,avg R2,0.0215,0.0495,0.076,0.444,0.02,0.015,0.0635,0.0595
