cofip_sub	cofip_nbr	gt80_avwage_lag	gt81_avwage_lag	gt82_avwage_lag	gt83_avwage_lag	gt84_avwage_lag	gt85_avwage_lag	gt86_avwage_lag	ft75_avwage_lag	sb00_avwage_lag	sb01_avwage_lag	sb02_avwage_lag	sb03_avwage_lag	sb04_avwage_lag	ne99_avwage_lag	ne02_avwage_lag	bh01_avwage_lag	bh02_avwage_lag	bh03_avwage_lag	bh04_avwage_lag	frng04_avwage_lag	frsg04_avwage_lag	PRI99_avwage_lag	PRI04_avwage_lag	CEDp87_avwage_lag	CEDp88_avwage_lag	CEDp89_avwage_lag	CEDp90_avwage_lag	CEDp91_avwage_lag	CEDc87_avwage_lag	CEDc88_avwage_lag	CEDc89_avwage_lag	CEDc90_avwage_lag	CEDc91_avwage_lag	CEDc92_avwage_lag	CEDc93_avwage_lag	CEDc94_avwage_lag	CEDc95_avwage_lag	CEDc96_avwage_lag	CEDpi88_avwage_lag	CEDpi89_avwage_lag	CEDpi90_avwage_lag	CEDpi91_avwage_lag	CEDpi92_avwage_lag	CEDpi93_avwage_lag	CEDpi94_avwage_lag	CEDpi95_avwage_lag	CEDpi96_avwage_lag	TF03_avwage_lag	TF04_avwage_lag	gt80_avwage_lead	gt81_avwage_lead	gt82_avwage_lead	gt83_avwage_lead	gt84_avwage_lead	gt85_avwage_lead	gt86_avwage_lead	ft75_avwage_lead	sb00_avwage_lead	sb01_avwage_lead	sb02_avwage_lead	sb03_avwage_lead	sb04_avwage_lead	ne99_avwage_lead	ne02_avwage_lead	bh01_avwage_lead	bh02_avwage_lead	bh03_avwage_lead	bh04_avwage_lead	frng04_avwage_lead	frsg04_avwage_lead	PRI99_avwage_lead	PRI04_avwage_lead	CEDp87_avwage_lead	CEDp88_avwage_lead	CEDp89_avwage_lead	CEDp90_avwage_lead	CEDp91_avwage_lead	CEDc87_avwage_lead	CEDc88_avwage_lead	CEDc89_avwage_lead	CEDc90_avwage_lead	CEDc91_avwage_lead	CEDc92_avwage_lead	CEDc93_avwage_lead	CEDc94_avwage_lead	CEDc95_avwage_lead	CEDc96_avwage_lead	CEDpi88_avwage_lead	CEDpi89_avwage_lead	CEDpi90_avwage_lead	CEDpi91_avwage_lead	CEDpi92_avwage_lead	CEDpi93_avwage_lead	CEDpi94_avwage_lead	CEDpi95_avwage_lead	CEDpi96_avwage_lead	TF03_avwage_lead	TF04_avwage_lead	outofsample_avwage_lead
1000	1000	0.418327416	0.41424203	0.400927081	0.366002689	0.333483682	0.301522078	0.258409472	0.376185242	0.173711899	0.177929872	0.177570178	0.17785615	0.174386842	0.169437174	0.177570178	0.177929872	0.177570178	0.17785615	0.174386842	0.174386842	0.174386842	0.169437174	0.174386842	0.235909891	0.221055253	0.198830068	0.18968688	0.190011435	0.235909891	0.221055253	0.198830068	0.18968688	0.190011435	0.201364147	0.181687065	0.187772998	0.173294289	0.16330088	0.221055253	0.198830068	0.18968688	0.190011435	0.201364147	0.181687065	0.187772998	0.173294289	0.16330088	0.17785615	0.174386842	0.301522078	0.258409472	0.235909891	0.221055253	0.198830068	0.18968688	0.190011435	0.418327416	0.176626209	0.185926323	0.188070013	0.186821624	0.167328957	0.174386842	0.188070013	0.185926323	0.188070013	0.186821624	0.167328957	0.167328957	0.167328957	0.174386842	0.167328957	0.201364147	0.181687065	0.187772998	0.173294289	0.16330088	0.201364147	0.181687065	0.187772998	0.173294289	0.16330088	0.151929795	0.167287856	0.169437174	0.173711899	0.177929872	0.181687065	0.187772998	0.173294289	0.16330088	0.151929795	0.167287856	0.169437174	0.173711899	0.177929872	0.186821624	0.167328957	0.152615934
1001	1001	0.766269445	0.467995166	0.439038603	0.378285178	0.184587733	0.141247275	0.310950785	0.348963725	0.161025816	0.165080765	0.172071819	0.153026688	0.135476883	0.170300375	0.172071819	0.165080765	0.172071819	0.153026688	0.135476883	0.135476883	0.135476883	0.170300375	0.135476883	0.279424795	0.273164137	0.205976988	0.160472708	0.149047202	0.279424795	0.273164137	0.205976988	0.160472708	0.149047202	0.156602323	0.145259785	0.157800182	0.160844183	0.150058916	0.273164137	0.205976988	0.160472708	0.149047202	0.156602323	0.145259785	0.157800182	0.160844183	0.150058916	0.153026688	0.135476883	0.141247275	0.310950785	0.279424795	0.273164137	0.205976988	0.160472708	0.149047202	0.766269445	0.124563828	0.140757762	0.146365271	0.16060524	0.132742641	0.135476883	0.146365271	0.140757762	0.146365271	0.16060524	0.132742641	0.132742641	0.132742641	0.135476883	0.132742641	0.156602323	0.145259785	0.157800182	0.160844183	0.150058916	0.156602323	0.145259785	0.157800182	0.160844183	0.150058916	0.147567358	0.133855125	0.170300375	0.161025816	0.165080765	0.145259785	0.157800182	0.160844183	0.150058916	0.147567358	0.133855125	0.170300375	0.161025816	0.165080765	0.16060524	0.132742641	0.137482587
1003	1003	0.411041479	0.392999203	0.369160979	0.353040027	0.317848183	0.291804482	0.254130538	0.407544277	0.221661955	0.209132536	0.200661567	0.196533527	0.194128829	0.207916693	0.200661567	0.209132536	0.200661567	0.196533527	0.194128829	0.194128829	0.194128829	0.207916693	0.194128829	0.224490454	0.193670011	0.165201434	0.172383093	0.165999389	0.224490454	0.193670011	0.165201434	0.172383093	0.165999389	0.192822326	0.210936156	0.219012927	0.186772948	0.197037769	0.193670011	0.165201434	0.172383093	0.165999389	0.192822326	0.210936156	0.219012927	0.186772948	0.197037769	0.196533527	0.194128829	0.291804482	0.254130538	0.224490454	0.193670011	0.165201434	0.172383093	0.165999389	0.411041479	0.209794693	0.234173668	0.222551855	0.211806307	0.162305768	0.194128829	0.222551855	0.234173668	0.222551855	0.211806307	0.162305768	0.162305768	0.162305768	0.194128829	0.162305768	0.192822326	0.210936156	0.219012927	0.186772948	0.197037769	0.192822326	0.210936156	0.219012927	0.186772948	0.197037769	0.205563771	0.200002419	0.207916693	0.221661955	0.209132536	0.210936156	0.219012927	0.186772948	0.197037769	0.205563771	0.200002419	0.207916693	0.221661955	0.209132536	0.211806307	0.162305768	0.11958356
1005	1005	0.484706769	0.46236993	0.421928343	0.354864389	0.333955022	0.334516515	0.312673394	0.454715128	0.163734924	0.149744718	0.128720826	0.102673404	0.098854039	0.174662677	0.128720826	0.149744718	0.128720826	0.102673404	0.098854039	0.098854039	0.098854039	0.174662677	0.098854039	0.331945049	0.338282792	0.273748033	0.219635071	0.190756008	0.331945049	0.338282792	0.273748033	0.219635071	0.190756008	0.214245897	0.186664554	0.188057601	0.170340188	0.160485233	0.338282792	0.273748033	0.219635071	0.190756008	0.214245897	0.186664554	0.188057601	0.170340188	0.160485233	0.102673404	0.098854039	0.334516515	0.312673394	0.331945049	0.338282792	0.273748033	0.219635071	0.190756008	0.484706769	0.12743593	0.156963656	0.197890627	0.200979163	0.149560248	0.098854039	0.197890627	0.156963656	0.197890627	0.200979163	0.149560248	0.149560248	0.149560248	0.098854039	0.149560248	0.214245897	0.186664554	0.188057601	0.170340188	0.160485233	0.214245897	0.186664554	0.188057601	0.170340188	0.160485233	0.113802967	0.129539979	0.174662677	0.163734924	0.149744718	0.186664554	0.188057601	0.170340188	0.160485233	0.113802967	0.129539979	0.174662677	0.163734924	0.149744718	0.200979163	0.149560248	0.149196306
1007	1007	0.464652611	0.401453376	0.365587571	0.314959233	0.299442012	0.252236915	0.217562141	0.471934753	0.182529113	0.191152206	0.180345912	0.186434034	0.218708293	0.165871512	0.180345912	0.191152206	0.180345912	0.186434034	0.218708293	0.218708293	0.218708293	0.165871512	0.218708293	0.207799814	0.21709201	0.224339559	0.231118643	0.236716035	0.207799814	0.21709201	0.224339559	0.231118643	0.236716035	0.280597837	0.261823021	0.293037329	0.245567796	0.232406194	0.21709201	0.224339559	0.231118643	0.236716035	0.280597837	0.261823021	0.293037329	0.245567796	0.232406194	0.186434034	0.218708293	0.252236915	0.217562141	0.207799814	0.21709201	0.224339559	0.231118643	0.236716035	0.464652611	0.222484638	0.205612891	0.219089886	0.216488192	0.166122678	0.218708293	0.219089886	0.205612891	0.219089886	0.216488192	0.166122678	0.166122678	0.166122678	0.218708293	0.166122678	0.280597837	0.261823021	0.293037329	0.245567796	0.232406194	0.280597837	0.261823021	0.293037329	0.245567796	0.232406194	0.209527275	0.194635309	0.165871512	0.182529113	0.191152206	0.261823021	0.293037329	0.245567796	0.232406194	0.209527275	0.194635309	0.165871512	0.182529113	0.191152206	0.216488192	0.166122678	0.190128335
1009	1009	0.528368495	0.463942505	0.399808675	0.310555599	0.260427859	0.213285269	0.171487681	0.423152871	0.214295796	0.198012563	0.199679459	0.172683523	0.154609025	0.244461209	0.199679459	0.198012563	0.199679459	0.172683523	0.154609025	0.154609025	0.154609025	0.244461209	0.154609025	0.163853811	0.181663425	0.148487426	0.096505543	0.119243279	0.163853811	0.181663425	0.148487426	0.096505543	0.119243279	0.183343609	0.20236732	0.210191799	0.235273703	0.240745062	0.181663425	0.148487426	0.096505543	0.119243279	0.183343609	0.20236732	0.210191799	0.235273703	0.240745062	0.172683523	0.154609025	0.213285269	0.171487681	0.163853811	0.181663425	0.148487426	0.096505543	0.119243279	0.528368495	0.154958708	0.178409973	0.167011783	0.184547095	0.149163081	0.154609025	0.167011783	0.178409973	0.167011783	0.184547095	0.149163081	0.149163081	0.149163081	0.154609025	0.149163081	0.183343609	0.20236732	0.210191799	0.235273703	0.240745062	0.183343609	0.20236732	0.210191799	0.235273703	0.240745062	0.224552011	0.239946501	0.244461209	0.214295796	0.198012563	0.20236732	0.210191799	0.235273703	0.240745062	0.224552011	0.239946501	0.244461209	0.214295796	0.198012563	0.184547095	0.149163081	0.12621092
1011	1011	0.47574585	0.398875587	0.38423007	0.321472276	0.23865997	0.244019061	0.23213646	0.364586538	0.125699819	0.194132189	0.159933081	0.161765912	0.179769911	0.116141456	0.159933081	0.194132189	0.159933081	0.161765912	0.179769911	0.179769911	0.179769911	0.116141456	0.179769911	0.213122572	0.274053565	0.320387711	0.323956606	0.299166114	0.213122572	0.274053565	0.320387711	0.323956606	0.299166114	0.320447128	0.27246748	0.253324496	0.22737537	0.172957448	0.274053565	0.320387711	0.323956606	0.299166114	0.320447128	0.27246748	0.253324496	0.22737537	0.172957448	0.161765912	0.179769911	0.244019061	0.23213646	0.213122572	0.274053565	0.320387711	0.323956606	0.299166114	0.47574585	0.188302138	0.188370761	0.263953171	0.228708805	0.182591302	0.179769911	0.263953171	0.188370761	0.263953171	0.228708805	0.182591302	0.182591302	0.182591302	0.179769911	0.182591302	0.320447128	0.27246748	0.253324496	0.22737537	0.172957448	0.320447128	0.27246748	0.253324496	0.22737537	0.172957448	0.175545884	0.165341193	0.116141456	0.125699819	0.194132189	0.27246748	0.253324496	0.22737537	0.172957448	0.175545884	0.165341193	0.116141456	0.125699819	0.194132189	0.228708805	0.182591302	0.162175185
1013	1013	0.468415203	0.406336389	0.404028945	0.343817761	0.323329411	0.293278627	0.307288803	0.401953778	0.164473649	0.142825742	0.165028169	0.199283362	0.191850638	0.147730072	0.165028169	0.142825742	0.165028169	0.199283362	0.191850638	0.191850638	0.191850638	0.147730072	0.191850638	0.289548682	0.262260262	0.206464115	0.20060515	0.157771789	0.289548682	0.262260262	0.206464115	0.20060515	0.157771789	0.140055039	0.131874564	0.152716173	0.162004245	0.170084038	0.262260262	0.206464115	0.20060515	0.157771789	0.140055039	0.131874564	0.152716173	0.162004245	0.170084038	0.199283362	0.191850638	0.293278627	0.307288803	0.289548682	0.262260262	0.206464115	0.20060515	0.157771789	0.468415203	0.167024983	0.214674051	0.190750032	0.181966128	0.156934087	0.191850638	0.190750032	0.214674051	0.190750032	0.181966128	0.156934087	0.156934087	0.156934087	0.191850638	0.156934087	0.140055039	0.131874564	0.152716173	0.162004245	0.170084038	0.140055039	0.131874564	0.152716173	0.162004245	0.170084038	0.167686996	0.154957751	0.147730072	0.164473649	0.142825742	0.131874564	0.152716173	0.162004245	0.170084038	0.167686996	0.154957751	0.147730072	0.164473649	0.142825742	0.181966128	0.156934087	0.158087356
1015	1015	0.410144132	0.437487597	0.424196906	0.406221148	0.38346567	0.327129247	0.26036828	0.389077595	0.112710633	0.149105963	0.173834385	0.177848092	0.187937949	0.122779786	0.173834385	0.149105963	0.173834385	0.177848092	0.187937949	0.187937949	0.187937949	0.122779786	0.187937949	0.235033441	0.200926745	0.172634983	0.15622174	0.175589467	0.235033441	0.200926745	0.172634983	0.15622174	0.175589467	0.163861867	0.15810886	0.172029083	0.16432386	0.116113174	0.200926745	0.172634983	0.15622174	0.175589467	0.163861867	0.15810886	0.172029083	0.16432386	0.116113174	0.177848092	0.187937949	0.327129247	0.26036828	0.235033441	0.200926745	0.172634983	0.15622174	0.175589467	0.410144132	0.212435345	0.211775463	0.228597944	0.230983435	0.205758454	0.187937949	0.228597944	0.211775463	0.228597944	0.230983435	0.205758454	0.205758454	0.205758454	0.187937949	0.205758454	0.163861867	0.15810886	0.172029083	0.16432386	0.116113174	0.163861867	0.15810886	0.172029083	0.16432386	0.116113174	0.107760707	0.133681319	0.122779786	0.112710633	0.149105963	0.15810886	0.172029083	0.16432386	0.116113174	0.107760707	0.133681319	0.122779786	0.112710633	0.149105963	0.230983435	0.205758454	0.176259292
1017	1017	0.50115011	0.422457322	0.382527476	0.378456072	0.281767001	0.231739335	0.249644757	0.357164811	0.176417139	0.194412925	0.185826901	0.166550413	0.142441473	0.141481128	0.185826901	0.194412925	0.185826901	0.166550413	0.142441473	0.142441473	0.142441473	0.141481128	0.142441473	0.291700222	0.214511888	0.275328553	0.190027074	0.116615562	0.291700222	0.214511888	0.275328553	0.190027074	0.116615562	0.112491177	0.157132396	0.150048744	0.198050479	0.230556711	0.214511888	0.275328553	0.190027074	0.116615562	0.112491177	0.157132396	0.150048744	0.198050479	0.230556711	0.166550413	0.142441473	0.231739335	0.249644757	0.291700222	0.214511888	0.275328553	0.190027074	0.116615562	0.50115011	0.119731565	0.108927233	0.070153689	0.078066356	0.089503153	0.142441473	0.070153689	0.108927233	0.070153689	0.078066356	0.089503153	0.089503153	0.089503153	0.142441473	0.089503153	0.112491177	0.157132396	0.150048744	0.198050479	0.230556711	0.112491177	0.157132396	0.150048744	0.198050479	0.230556711	0.222589258	0.190051615	0.141481128	0.176417139	0.194412925	0.157132396	0.150048744	0.198050479	0.230556711	0.222589258	0.190051615	0.141481128	0.176417139	0.194412925	0.078066356	0.089503153	0.088831394
