cofip_sub	cofip_nbr	gt80_nfincome_lag	gt81_nfincome_lag	gt82_nfincome_lag	gt83_nfincome_lag	gt84_nfincome_lag	gt85_nfincome_lag	gt86_nfincome_lag	ft75_nfincome_lag	sb00_nfincome_lag	sb01_nfincome_lag	sb02_nfincome_lag	sb03_nfincome_lag	sb04_nfincome_lag	ne99_nfincome_lag	ne02_nfincome_lag	bh01_nfincome_lag	bh02_nfincome_lag	bh03_nfincome_lag	bh04_nfincome_lag	frng04_nfincome_lag	frsg04_nfincome_lag	PRI99_nfincome_lag	PRI04_nfincome_lag	CEDp87_nfincome_lag	CEDp88_nfincome_lag	CEDp89_nfincome_lag	CEDp90_nfincome_lag	CEDp91_nfincome_lag	CEDc87_nfincome_lag	CEDc88_nfincome_lag	CEDc89_nfincome_lag	CEDc90_nfincome_lag	CEDc91_nfincome_lag	CEDc92_nfincome_lag	CEDc93_nfincome_lag	CEDc94_nfincome_lag	CEDc95_nfincome_lag	CEDc96_nfincome_lag	CEDpi88_nfincome_lag	CEDpi89_nfincome_lag	CEDpi90_nfincome_lag	CEDpi91_nfincome_lag	CEDpi92_nfincome_lag	CEDpi93_nfincome_lag	CEDpi94_nfincome_lag	CEDpi95_nfincome_lag	CEDpi96_nfincome_lag	TF03_nfincome_lag	TF04_nfincome_lag	gt80_nfincome_lead	gt81_nfincome_lead	gt82_nfincome_lead	gt83_nfincome_lead	gt84_nfincome_lead	gt85_nfincome_lead	gt86_nfincome_lead	ft75_nfincome_lead	sb00_nfincome_lead	sb01_nfincome_lead	sb02_nfincome_lead	sb03_nfincome_lead	sb04_nfincome_lead	ne99_nfincome_lead	ne02_nfincome_lead	bh01_nfincome_lead	bh02_nfincome_lead	bh03_nfincome_lead	bh04_nfincome_lead	frng04_nfincome_lead	frsg04_nfincome_lead	PRI99_nfincome_lead	PRI04_nfincome_lead	CEDp87_nfincome_lead	CEDp88_nfincome_lead	CEDp89_nfincome_lead	CEDp90_nfincome_lead	CEDp91_nfincome_lead	CEDc87_nfincome_lead	CEDc88_nfincome_lead	CEDc89_nfincome_lead	CEDc90_nfincome_lead	CEDc91_nfincome_lead	CEDc92_nfincome_lead	CEDc93_nfincome_lead	CEDc94_nfincome_lead	CEDc95_nfincome_lead	CEDc96_nfincome_lead	CEDpi88_nfincome_lead	CEDpi89_nfincome_lead	CEDpi90_nfincome_lead	CEDpi91_nfincome_lead	CEDpi92_nfincome_lead	CEDpi93_nfincome_lead	CEDpi94_nfincome_lead	CEDpi95_nfincome_lead	CEDpi96_nfincome_lead	TF03_nfincome_lead	TF04_nfincome_lead	outofsample_nfincome_lead
1000	1000	0.570645916	0.545521191	0.500068154	0.451964389	0.437997851	0.400231846	0.35630773	0.541475351	0.243805651	0.242981178	0.226013183	0.204101001	0.228173072	0.247905056	0.226013183	0.242981178	0.226013183	0.204101001	0.228173072	0.228173072	0.228173072	0.247905056	0.228173072	0.353855985	0.348852844	0.333041693	0.321806909	0.321106382	0.353855985	0.348852844	0.333041693	0.321806909	0.321106382	0.334743107	0.311675568	0.291077074	0.287762742	0.275876142	0.348852844	0.333041693	0.321806909	0.321106382	0.334743107	0.311675568	0.291077074	0.287762742	0.275876142	0.204101001	0.228173072	0.400231846	0.35630773	0.353855985	0.348852844	0.333041693	0.321806909	0.321106382	0.570645916	0.231528296	0.259300888	0.278089929	0.292429624	0.193299894	0.228173072	0.278089929	0.259300888	0.278089929	0.292429624	0.193299894	0.193299894	0.193299894	0.228173072	0.193299894	0.334743107	0.311675568	0.291077074	0.287762742	0.275876142	0.334743107	0.311675568	0.291077074	0.287762742	0.275876142	0.255421685	0.270374254	0.247905056	0.243805651	0.242981178	0.311675568	0.291077074	0.287762742	0.275876142	0.255421685	0.270374254	0.247905056	0.243805651	0.242981178	0.292429624	0.193299894	0.181462085
1001	1001	0.68997199	0.591860127	0.550568653	0.502843758	0.406430843	0.376487978	0.402491099	0.560409675	0.331200894	0.338934765	0.296356636	0.287525197	0.28431432	0.329159736	0.296356636	0.338934765	0.296356636	0.287525197	0.28431432	0.28431432	0.28431432	0.329159736	0.28431432	0.413919072	0.416579868	0.385223441	0.357068967	0.367114385	0.413919072	0.416579868	0.385223441	0.357068967	0.367114385	0.368453643	0.34473844	0.35658487	0.371060516	0.364583696	0.416579868	0.385223441	0.357068967	0.367114385	0.368453643	0.34473844	0.35658487	0.371060516	0.364583696	0.287525197	0.28431432	0.376487978	0.402491099	0.413919072	0.416579868	0.385223441	0.357068967	0.367114385	0.68997199	0.287290109	0.278738995	0.316426918	0.3200106	0.240452255	0.28431432	0.316426918	0.278738995	0.316426918	0.3200106	0.240452255	0.240452255	0.240452255	0.28431432	0.240452255	0.368453643	0.34473844	0.35658487	0.371060516	0.364583696	0.368453643	0.34473844	0.35658487	0.371060516	0.364583696	0.35686277	0.358387822	0.329159736	0.331200894	0.338934765	0.34473844	0.35658487	0.371060516	0.364583696	0.35686277	0.358387822	0.329159736	0.331200894	0.338934765	0.3200106	0.240452255	0.227775556
1003	1003	0.633068675	0.630818723	0.588095028	0.577339813	0.562504101	0.525935828	0.445518352	0.67967604	0.403471394	0.349676505	0.299376865	0.249047784	0.292455267	0.402276277	0.299376865	0.349676505	0.299376865	0.249047784	0.292455267	0.292455267	0.292455267	0.402276277	0.292455267	0.427827034	0.409871563	0.411616719	0.402161656	0.439481704	0.427827034	0.409871563	0.411616719	0.402161656	0.439481704	0.486373121	0.503673803	0.495135222	0.492016507	0.482129566	0.409871563	0.411616719	0.402161656	0.439481704	0.486373121	0.503673803	0.495135222	0.492016507	0.482129566	0.249047784	0.292455267	0.525935828	0.445518352	0.427827034	0.409871563	0.411616719	0.402161656	0.439481704	0.633068675	0.302495161	0.377014827	0.407168363	0.42538408	0.290045388	0.292455267	0.407168363	0.377014827	0.407168363	0.42538408	0.290045388	0.290045388	0.290045388	0.292455267	0.290045388	0.486373121	0.503673803	0.495135222	0.492016507	0.482129566	0.486373121	0.503673803	0.495135222	0.492016507	0.482129566	0.464791069	0.452140527	0.402276277	0.403471394	0.349676505	0.503673803	0.495135222	0.492016507	0.482129566	0.464791069	0.452140527	0.402276277	0.403471394	0.349676505	0.42538408	0.290045388	0.273269125
1005	1005	0.551723171	0.509995453	0.470718064	0.412613836	0.435803342	0.418261636	0.401881704	0.541470701	0.212522446	0.239072404	0.198347099	0.152196901	0.136327372	0.205950805	0.198347099	0.239072404	0.198347099	0.152196901	0.136327372	0.136327372	0.136327372	0.205950805	0.136327372	0.416591041	0.40452465	0.358549408	0.330995454	0.330692188	0.416591041	0.40452465	0.358549408	0.330995454	0.330692188	0.345251582	0.325042677	0.30069622	0.261652923	0.215587643	0.40452465	0.358549408	0.330995454	0.330692188	0.345251582	0.325042677	0.30069622	0.261652923	0.215587643	0.152196901	0.136327372	0.418261636	0.401881704	0.416591041	0.40452465	0.358549408	0.330995454	0.330692188	0.551723171	0.149451156	0.151743858	0.198791455	0.215342902	0.14384385	0.136327372	0.198791455	0.151743858	0.198791455	0.215342902	0.14384385	0.14384385	0.14384385	0.136327372	0.14384385	0.345251582	0.325042677	0.30069622	0.261652923	0.215587643	0.345251582	0.325042677	0.30069622	0.261652923	0.215587643	0.186734722	0.201334708	0.205950805	0.212522446	0.239072404	0.325042677	0.30069622	0.261652923	0.215587643	0.186734722	0.201334708	0.205950805	0.212522446	0.239072404	0.215342902	0.14384385	0.146506615
1007	1007	0.599817405	0.533701596	0.489371829	0.432462688	0.422640021	0.381747045	0.376643604	0.568334461	0.237179657	0.256879125	0.22598564	0.246136857	0.258757266	0.263775794	0.22598564	0.256879125	0.22598564	0.246136857	0.258757266	0.258757266	0.258757266	0.263775794	0.258757266	0.340307938	0.351285595	0.304120681	0.322453794	0.29963851	0.340307938	0.351285595	0.304120681	0.322453794	0.29963851	0.340383671	0.310047861	0.316106896	0.311473325	0.324570063	0.351285595	0.304120681	0.322453794	0.29963851	0.340383671	0.310047861	0.316106896	0.311473325	0.324570063	0.246136857	0.258757266	0.381747045	0.376643604	0.340307938	0.351285595	0.304120681	0.322453794	0.29963851	0.599817405	0.242464713	0.22442605	0.263232586	0.268014879	0.155449155	0.258757266	0.263232586	0.22442605	0.263232586	0.268014879	0.155449155	0.155449155	0.155449155	0.258757266	0.155449155	0.340383671	0.310047861	0.316106896	0.311473325	0.324570063	0.340383671	0.310047861	0.316106896	0.311473325	0.324570063	0.310568375	0.27660449	0.263775794	0.237179657	0.256879125	0.310047861	0.316106896	0.311473325	0.324570063	0.310568375	0.27660449	0.263775794	0.237179657	0.256879125	0.268014879	0.155449155	0.1660288
1009	1009	0.675779819	0.617003701	0.542130251	0.421852003	0.371622165	0.337731369	0.311460536	0.663551452	0.395440177	0.364408289	0.305995883	0.251683599	0.238020555	0.398821922	0.305995883	0.364408289	0.305995883	0.251683599	0.238020555	0.238020555	0.238020555	0.398821922	0.238020555	0.329352823	0.395586124	0.379527559	0.362405973	0.359335352	0.329352823	0.395586124	0.379527559	0.362405973	0.359335352	0.384587917	0.350030332	0.34505058	0.337963939	0.384420012	0.395586124	0.379527559	0.362405973	0.359335352	0.384587917	0.350030332	0.34505058	0.337963939	0.384420012	0.251683599	0.238020555	0.337731369	0.311460536	0.329352823	0.395586124	0.379527559	0.362405973	0.359335352	0.675779819	0.223439305	0.209377709	0.266076834	0.28422774	0.201784051	0.238020555	0.266076834	0.209377709	0.266076834	0.28422774	0.201784051	0.201784051	0.201784051	0.238020555	0.201784051	0.384587917	0.350030332	0.34505058	0.337963939	0.384420012	0.384587917	0.350030332	0.34505058	0.337963939	0.384420012	0.385651236	0.420908922	0.398821922	0.395440177	0.364408289	0.350030332	0.34505058	0.337963939	0.384420012	0.385651236	0.420908922	0.398821922	0.395440177	0.364408289	0.28422774	0.201784051	0.179593365
1011	1011	0.404541647	0.374434998	0.38763818	0.430916857	0.428276922	0.412191401	0.369927302	0.44838085	0.169330273	0.228297251	0.182692732	0.143706672	0.171008555	0.205893671	0.182692732	0.228297251	0.182692732	0.143706672	0.171008555	0.171008555	0.171008555	0.205893671	0.171008555	0.371682249	0.341167267	0.344373877	0.331642467	0.347595166	0.371682249	0.341167267	0.344373877	0.331642467	0.347595166	0.365731449	0.306831744	0.284820869	0.273454993	0.224445155	0.341167267	0.344373877	0.331642467	0.347595166	0.365731449	0.306831744	0.284820869	0.273454993	0.224445155	0.143706672	0.171008555	0.412191401	0.369927302	0.371682249	0.341167267	0.344373877	0.331642467	0.347595166	0.404541647	0.165361468	0.122982081	0.18097357	0.222821066	0.162599569	0.171008555	0.18097357	0.122982081	0.18097357	0.222821066	0.162599569	0.162599569	0.162599569	0.171008555	0.162599569	0.365731449	0.306831744	0.284820869	0.273454993	0.224445155	0.365731449	0.306831744	0.284820869	0.273454993	0.224445155	0.218535474	0.264961117	0.205893671	0.169330273	0.228297251	0.306831744	0.284820869	0.273454993	0.224445155	0.218535474	0.264961117	0.205893671	0.169330273	0.228297251	0.222821066	0.162599569	0.193394642
1013	1013	0.576533366	0.555822572	0.502329768	0.433633238	0.386000248	0.325948719	0.274721653	0.521828026	0.179265053	0.199870412	0.225255325	0.184237947	0.188138698	0.218092862	0.225255325	0.199870412	0.225255325	0.184237947	0.188138698	0.188138698	0.188138698	0.218092862	0.188138698	0.290740656	0.256780045	0.204081276	0.213948995	0.20300447	0.290740656	0.256780045	0.204081276	0.213948995	0.20300447	0.229393843	0.258557514	0.309424357	0.340326716	0.333829343	0.256780045	0.204081276	0.213948995	0.20300447	0.229393843	0.258557514	0.309424357	0.340326716	0.333829343	0.184237947	0.188138698	0.325948719	0.274721653	0.290740656	0.256780045	0.204081276	0.213948995	0.20300447	0.576533366	0.18631932	0.198865395	0.206873745	0.242226853	0.178460839	0.188138698	0.206873745	0.198865395	0.206873745	0.242226853	0.178460839	0.178460839	0.178460839	0.188138698	0.178460839	0.229393843	0.258557514	0.309424357	0.340326716	0.333829343	0.229393843	0.258557514	0.309424357	0.340326716	0.333829343	0.270601718	0.268122318	0.218092862	0.179265053	0.199870412	0.258557514	0.309424357	0.340326716	0.333829343	0.270601718	0.268122318	0.218092862	0.179265053	0.199870412	0.242226853	0.178460839	0.189508701
1015	1015	0.583676111	0.557477183	0.506592792	0.480819277	0.49699887	0.402009145	0.345127622	0.570117141	0.132600175	0.143313867	0.153562718	0.158761982	0.210106052	0.181157189	0.153562718	0.143313867	0.153562718	0.158761982	0.210106052	0.210106052	0.210106052	0.181157189	0.210106052	0.319494402	0.299202377	0.235719354	0.217510733	0.226156841	0.319494402	0.299202377	0.235719354	0.217510733	0.226156841	0.236551615	0.212425005	0.198638844	0.218955003	0.196292402	0.299202377	0.235719354	0.217510733	0.226156841	0.236551615	0.212425005	0.198638844	0.218955003	0.196292402	0.158761982	0.210106052	0.402009145	0.345127622	0.319494402	0.299202377	0.235719354	0.217510733	0.226156841	0.583676111	0.249470957	0.270691112	0.290794928	0.286176017	0.186778226	0.210106052	0.290794928	0.270691112	0.290794928	0.286176017	0.186778226	0.186778226	0.186778226	0.210106052	0.186778226	0.236551615	0.212425005	0.198638844	0.218955003	0.196292402	0.236551615	0.212425005	0.198638844	0.218955003	0.196292402	0.18181853	0.208935975	0.181157189	0.132600175	0.143313867	0.212425005	0.198638844	0.218955003	0.196292402	0.18181853	0.208935975	0.181157189	0.132600175	0.143313867	0.286176017	0.186778226	0.169853237
1017	1017	0.520673917	0.447605017	0.403443234	0.416118659	0.39411518	0.336335384	0.319583732	0.496185571	0.186453185	0.22167924	0.176598719	0.138522493	0.140521126	0.207004985	0.176598719	0.22167924	0.176598719	0.138522493	0.140521126	0.140521126	0.140521126	0.207004985	0.140521126	0.344617195	0.284474863	0.301441391	0.255727381	0.198906259	0.344617195	0.284474863	0.301441391	0.255727381	0.198906259	0.196502649	0.19423773	0.163697415	0.205633118	0.235458934	0.284474863	0.301441391	0.255727381	0.198906259	0.196502649	0.19423773	0.163697415	0.205633118	0.235458934	0.138522493	0.140521126	0.336335384	0.319583732	0.344617195	0.284474863	0.301441391	0.255727381	0.198906259	0.520673917	0.137966019	0.1049089	0.14250044	0.127514032	0.069120781	0.140521126	0.14250044	0.1049089	0.14250044	0.127514032	0.069120781	0.069120781	0.069120781	0.140521126	0.069120781	0.196502649	0.19423773	0.163697415	0.205633118	0.235458934	0.196502649	0.19423773	0.163697415	0.205633118	0.235458934	0.215354647	0.216462084	0.207004985	0.186453185	0.22167924	0.19423773	0.163697415	0.205633118	0.235458934	0.215354647	0.216462084	0.207004985	0.186453185	0.22167924	0.127514032	0.069120781	0.101026399
