cofip_sub	cofip_nbr	gt80_wageemp_lag	gt81_wageemp_lag	gt82_wageemp_lag	gt83_wageemp_lag	gt84_wageemp_lag	gt85_wageemp_lag	gt86_wageemp_lag	ft75_wageemp_lag	sb00_wageemp_lag	sb01_wageemp_lag	sb02_wageemp_lag	sb03_wageemp_lag	sb04_wageemp_lag	ne99_wageemp_lag	ne02_wageemp_lag	bh01_wageemp_lag	bh02_wageemp_lag	bh03_wageemp_lag	bh04_wageemp_lag	frng04_wageemp_lag	frsg04_wageemp_lag	PRI99_wageemp_lag	PRI04_wageemp_lag	CEDp87_wageemp_lag	CEDp88_wageemp_lag	CEDp89_wageemp_lag	CEDp90_wageemp_lag	CEDp91_wageemp_lag	CEDc87_wageemp_lag	CEDc88_wageemp_lag	CEDc89_wageemp_lag	CEDc90_wageemp_lag	CEDc91_wageemp_lag	CEDc92_wageemp_lag	CEDc93_wageemp_lag	CEDc94_wageemp_lag	CEDc95_wageemp_lag	CEDc96_wageemp_lag	CEDpi88_wageemp_lag	CEDpi89_wageemp_lag	CEDpi90_wageemp_lag	CEDpi91_wageemp_lag	CEDpi92_wageemp_lag	CEDpi93_wageemp_lag	CEDpi94_wageemp_lag	CEDpi95_wageemp_lag	CEDpi96_wageemp_lag	TF03_wageemp_lag	TF04_wageemp_lag	gt80_wageemp_lead	gt81_wageemp_lead	gt82_wageemp_lead	gt83_wageemp_lead	gt84_wageemp_lead	gt85_wageemp_lead	gt86_wageemp_lead	ft75_wageemp_lead	sb00_wageemp_lead	sb01_wageemp_lead	sb02_wageemp_lead	sb03_wageemp_lead	sb04_wageemp_lead	ne99_wageemp_lead	ne02_wageemp_lead	bh01_wageemp_lead	bh02_wageemp_lead	bh03_wageemp_lead	bh04_wageemp_lead	frng04_wageemp_lead	frsg04_wageemp_lead	PRI99_wageemp_lead	PRI04_wageemp_lead	CEDp87_wageemp_lead	CEDp88_wageemp_lead	CEDp89_wageemp_lead	CEDp90_wageemp_lead	CEDp91_wageemp_lead	CEDc87_wageemp_lead	CEDc88_wageemp_lead	CEDc89_wageemp_lead	CEDc90_wageemp_lead	CEDc91_wageemp_lead	CEDc92_wageemp_lead	CEDc93_wageemp_lead	CEDc94_wageemp_lead	CEDc95_wageemp_lead	CEDc96_wageemp_lead	CEDpi88_wageemp_lead	CEDpi89_wageemp_lead	CEDpi90_wageemp_lead	CEDpi91_wageemp_lead	CEDpi92_wageemp_lead	CEDpi93_wageemp_lead	CEDpi94_wageemp_lead	CEDpi95_wageemp_lead	CEDpi96_wageemp_lead	TF03_wageemp_lead	TF04_wageemp_lead	outofsample_wageemp_lead
1000	1000	0.11823091	0.077776552	0.015284901	-0.009377714	0.015112494	0.043489517	0.068831478	0.081004458	0.054144246	0.032986758	0.006070775	-0.012970466	-0.001378545	0.077666379	0.006070775	0.032986758	0.006070775	-0.012970466	-0.001378545	-0.001378545	-0.001378545	0.077666379	-0.001378545	0.123458657	0.141731078	0.125484969	0.119413875	0.104012066	0.123458657	0.141731078	0.125484969	0.119413875	0.104012066	0.092727305	0.08339554	0.076081234	0.083302603	0.090915141	0.141731078	0.125484969	0.119413875	0.104012066	0.092727305	0.08339554	0.076081234	0.083302603	0.090915141	-0.012970466	-0.001378545	0.043489517	0.068831478	0.123458657	0.141731078	0.125484969	0.119413875	0.104012066	0.11823091	0.015901849	0.044603388	0.063785017	0.056262517	-0.013027299	-0.001378545	0.063785017	0.044603388	0.063785017	0.056262517	-0.013027299	-0.013027299	-0.013027299	-0.001378545	-0.013027299	0.092727305	0.08339554	0.076081234	0.083302603	0.090915141	0.092727305	0.08339554	0.076081234	0.083302603	0.090915141	0.089877657	0.086614704	0.077666379	0.054144246	0.032986758	0.08339554	0.076081234	0.083302603	0.090915141	0.089877657	0.086614704	0.077666379	0.054144246	0.032986758	0.056262517	-0.013027299	-0.040034782
1001	1001	0.277259772	0.095233309	-0.00013709	-0.088651892	-0.305079702	-0.254113173	-0.070183293	0.226888742	0.179229741	0.187408672	0.119395639	0.09487465	0.087821586	0.160452154	0.119395639	0.187408672	0.119395639	0.09487465	0.087821586	0.087821586	0.087821586	0.160452154	0.087821586	0.088255918	0.184681161	0.17931239	0.192947192	0.21685665	0.088255918	0.184681161	0.17931239	0.192947192	0.21685665	0.159319389	0.113820972	0.113002474	0.121325138	0.139598368	0.184681161	0.17931239	0.192947192	0.21685665	0.159319389	0.113820972	0.113002474	0.121325138	0.139598368	0.09487465	0.087821586	-0.254113173	-0.070183293	0.088255918	0.184681161	0.17931239	0.192947192	0.21685665	0.277259772	0.052773182	-0.011958889	0.05247422	0.017195609	-0.015713006	0.087821586	0.05247422	-0.011958889	0.05247422	0.017195609	-0.015713006	-0.015713006	-0.015713006	0.087821586	-0.015713006	0.159319389	0.113820972	0.113002474	0.121325138	0.139598368	0.159319389	0.113820972	0.113002474	0.121325138	0.139598368	0.139347689	0.170260471	0.160452154	0.179229741	0.187408672	0.113820972	0.113002474	0.121325138	0.139598368	0.139347689	0.170260471	0.160452154	0.179229741	0.187408672	0.017195609	-0.015713006	-0.037491685
1003	1003	0.102348093	0.098625429	0.058219527	0.114915239	0.16929126	0.219824334	0.194544213	0.215543206	0.247503666	0.215898924	0.16681229	0.128465985	0.12020819	0.298824249	0.16681229	0.215898924	0.16681229	0.128465985	0.12020819	0.12020819	0.12020819	0.298824249	0.12020819	0.239766788	0.219061534	0.188845698	0.198694657	0.218654546	0.239766788	0.219061534	0.188845698	0.198694657	0.218654546	0.20779972	0.236315925	0.269995236	0.302934382	0.299972894	0.219061534	0.188845698	0.198694657	0.218654546	0.20779972	0.236315925	0.269995236	0.302934382	0.299972894	0.128465985	0.12020819	0.219824334	0.194544213	0.239766788	0.219061534	0.188845698	0.198694657	0.218654546	0.102348093	0.142220843	0.189026889	0.226418316	0.196305451	0.103212331	0.12020819	0.226418316	0.189026889	0.226418316	0.196305451	0.103212331	0.103212331	0.103212331	0.12020819	0.103212331	0.20779972	0.236315925	0.269995236	0.302934382	0.299972894	0.20779972	0.236315925	0.269995236	0.302934382	0.299972894	0.317581672	0.325771051	0.298824249	0.247503666	0.215898924	0.236315925	0.269995236	0.302934382	0.299972894	0.317581672	0.325771051	0.298824249	0.247503666	0.215898924	0.196305451	0.103212331	0.043485805
1005	1005	0.040336996	0.008506302	-0.043213387	-0.042945005	0.076665414	0.120281901	0.159672222	0.024815839	0.144377122	0.171007183	0.119921138	0.026672679	-0.062644404	0.091631941	0.119921138	0.171007183	0.119921138	0.026672679	-0.062644404	-0.062644404	-0.062644404	0.091631941	-0.062644404	0.225216421	0.212308719	0.166693005	0.172345701	0.148838645	0.225216421	0.212308719	0.166693005	0.172345701	0.148838645	0.119657318	0.111890559	0.123274381	0.05985484	0.035559302	0.212308719	0.166693005	0.172345701	0.148838645	0.119657318	0.111890559	0.123274381	0.05985484	0.035559302	0.026672679	-0.062644404	0.120281901	0.159672222	0.225216421	0.212308719	0.166693005	0.172345701	0.148838645	0.040336996	-0.064299824	-0.079608308	-0.078930714	-0.088055483	-0.128124168	-0.062644404	-0.078930714	-0.079608308	-0.078930714	-0.088055483	-0.128124168	-0.128124168	-0.128124168	-0.062644404	-0.128124168	0.119657318	0.111890559	0.123274381	0.05985484	0.035559302	0.119657318	0.111890559	0.123274381	0.05985484	0.035559302	0.050251674	0.070919538	0.091631941	0.144377122	0.171007183	0.111890559	0.123274381	0.05985484	0.035559302	0.050251674	0.070919538	0.091631941	0.144377122	0.171007183	-0.088055483	-0.128124168	-0.165658895
1007	1007	0.083317484	0.03991249	0.018023918	0.014648149	0.067247703	0.149335058	0.198766327	-0.043907962	-0.045385227	-0.1054781	-0.11659778	-0.096022774	-0.043266525	0.013564639	-0.11659778	-0.1054781	-0.11659778	-0.096022774	-0.043266525	-0.043266525	-0.043266525	0.013564639	-0.043266525	0.18583824	0.153431342	0.112334063	0.110074995	0.071476111	0.18583824	0.153431342	0.112334063	0.110074995	0.071476111	0.130529363	0.07127698	0.070030851	0.093156167	0.089612159	0.153431342	0.112334063	0.110074995	0.071476111	0.130529363	0.07127698	0.070030851	0.093156167	0.089612159	-0.096022774	-0.043266525	0.149335058	0.198766327	0.18583824	0.153431342	0.112334063	0.110074995	0.071476111	0.083317484	-0.01618583	0.085167408	0.128960431	0.095603662	0.023831666	-0.043266525	0.128960431	0.085167408	0.128960431	0.095603662	0.023831666	0.023831666	0.023831666	-0.043266525	0.023831666	0.130529363	0.07127698	0.070030851	0.093156167	0.089612159	0.130529363	0.07127698	0.070030851	0.093156167	0.089612159	0.028658933	0.064021859	0.013564639	-0.045385227	-0.1054781	0.07127698	0.070030851	0.093156167	0.089612159	0.028658933	0.064021859	0.013564639	-0.045385227	-0.1054781	0.095603662	0.023831666	0.009873915
1009	1009	0.119740448	0.066031635	-0.037816117	-0.146196821	-0.122053288	-0.001976435	0.03458558	0.177505234	0.059505134	0.053518214	-0.027776768	-0.055393188	-0.077792556	0.088350329	-0.027776768	0.053518214	-0.027776768	-0.055393188	-0.077792556	-0.077792556	-0.077792556	0.088350329	-0.077792556	0.181781393	0.295256179	0.329026626	0.235755813	0.206333906	0.181781393	0.295256179	0.329026626	0.235755813	0.206333906	0.200799948	0.17161195	0.163335226	0.172495447	0.180723159	0.295256179	0.329026626	0.235755813	0.206333906	0.200799948	0.17161195	0.163335226	0.172495447	0.180723159	-0.055393188	-0.077792556	-0.001976435	0.03458558	0.181781393	0.295256179	0.329026626	0.235755813	0.206333906	0.119740448	-0.035019826	-0.011097822	0.076212385	0.090782312	0.048210665	-0.077792556	0.076212385	-0.011097822	0.076212385	0.090782312	0.048210665	0.048210665	0.048210665	-0.077792556	0.048210665	0.200799948	0.17161195	0.163335226	0.172495447	0.180723159	0.200799948	0.17161195	0.163335226	0.172495447	0.180723159	0.158643803	0.133363142	0.088350329	0.059505134	0.053518214	0.17161195	0.163335226	0.172495447	0.180723159	0.158643803	0.133363142	0.088350329	0.059505134	0.053518214	0.090782312	0.048210665	-0.04451459
1011	1011	-0.084238385	-0.154196218	-0.135190043	-0.044200895	-0.040539722	-0.057852846	-0.03470431	0.04167877	0.039550801	-0.004510862	-0.017425417	-0.040115269	-0.034125491	0.093823191	-0.017425417	-0.004510862	-0.017425417	-0.040115269	-0.034125491	-0.034125491	-0.034125491	0.093823191	-0.034125491	0.039386702	0.061830531	0.055821193	0.089339475	0.129521714	0.039386702	0.061830531	0.055821193	0.089339475	0.129521714	0.086186481	0.010191935	0.020414999	0.050465386	0.030270729	0.061830531	0.055821193	0.089339475	0.129521714	0.086186481	0.010191935	0.020414999	0.050465386	0.030270729	-0.040115269	-0.034125491	-0.057852846	-0.03470431	0.039386702	0.061830531	0.055821193	0.089339475	0.129521714	-0.084238385	-0.057740995	-0.057274771	-0.097209303	-0.095842982	-0.096626836	-0.034125491	-0.097209303	-0.057274771	-0.097209303	-0.095842982	-0.096626836	-0.096626836	-0.096626836	-0.034125491	-0.096626836	0.086186481	0.010191935	0.020414999	0.050465386	0.030270729	0.086186481	0.010191935	0.020414999	0.050465386	0.030270729	0.065727419	0.101984708	0.093823191	0.039550801	-0.004510862	0.010191935	0.020414999	0.050465386	0.030270729	0.065727419	0.101984708	0.093823191	0.039550801	-0.004510862	-0.095842982	-0.096626836	-0.077205826
1013	1013	0.084787869	0.124484079	0.015304948	-0.00790518	-0.002272083	-0.0276633	-0.074701023	-0.043365209	-0.09142229	-0.062785672	-0.027133193	-0.071378493	-0.043997141	-0.001709739	-0.027133193	-0.062785672	-0.027133193	-0.071378493	-0.043997141	-0.043997141	-0.043997141	-0.001709739	-0.043997141	0.060464465	0.054067221	-0.031482745	-0.023136718	-0.047861541	0.060464465	0.054067221	-0.031482745	-0.023136718	-0.047861541	-0.060464465	-0.00246373	0.110190382	0.167914329	0.154572496	0.054067221	-0.031482745	-0.023136718	-0.047861541	-0.060464465	-0.00246373	0.110190382	0.167914329	0.154572496	-0.071378493	-0.043997141	-0.0276633	-0.074701023	0.060464465	0.054067221	-0.031482745	-0.023136718	-0.047861541	0.084787869	0.0127373	0.025011281	-0.001329611	0.004929491	-0.071402926	-0.043997141	-0.001329611	0.025011281	-0.001329611	0.004929491	-0.071402926	-0.071402926	-0.071402926	-0.043997141	-0.071402926	-0.060464465	-0.00246373	0.110190382	0.167914329	0.154572496	-0.060464465	-0.00246373	0.110190382	0.167914329	0.154572496	0.102591246	0.069732628	-0.001709739	-0.09142229	-0.062785672	-0.00246373	0.110190382	0.167914329	0.154572496	0.102591246	0.069732628	-0.001709739	-0.09142229	-0.062785672	0.004929491	-0.071402926	-0.043479128
1015	1015	0.123442913	0.0534725	-0.004361421	-0.011872176	0.026588304	0.007522768	0.035372677	0.068763275	-0.030849109	-0.057708503	-0.080076069	-0.078521713	-0.021403465	0.03206022	-0.080076069	-0.057708503	-0.080076069	-0.078521713	-0.021403465	-0.021403465	-0.021403465	0.03206022	-0.021403465	0.059337036	0.077659917	0.03400847	0.030868233	0.013036402	0.059337036	0.077659917	0.03400847	0.030868233	0.013036402	0.010780503	-0.012293899	-0.026469063	-0.002475249	0.012082063	0.077659917	0.03400847	0.030868233	0.013036402	0.010780503	-0.012293899	-0.026469063	-0.002475249	0.012082063	-0.078521713	-0.021403465	0.007522768	0.035372677	0.059337036	0.077659917	0.03400847	0.030868233	0.013036402	0.123442913	0.031149466	0.066011177	0.085773573	0.060068618	-0.029088507	-0.021403465	0.085773573	0.066011177	0.085773573	0.060068618	-0.029088507	-0.029088507	-0.029088507	-0.021403465	-0.029088507	0.010780503	-0.012293899	-0.026469063	-0.002475249	0.012082063	0.010780503	-0.012293899	-0.026469063	-0.002475249	0.012082063	0.031479306	0.039184615	0.03206022	-0.030849109	-0.057708503	-0.012293899	-0.026469063	-0.002475249	0.012082063	0.031479306	0.039184615	0.03206022	-0.030849109	-0.057708503	0.060068618	-0.029088507	-0.052679244
1017	1017	-0.071502283	-0.128785842	-0.158868255	-0.107652342	-0.051630687	-0.045988398	-0.014368063	0.045530376	-0.052024295	-0.044238611	-0.081942845	-0.132796894	-0.14326154	0.009771711	-0.081942845	-0.044238611	-0.081942845	-0.132796894	-0.14326154	-0.14326154	-0.14326154	0.009771711	-0.14326154	0.051772274	0.055307604	0.03089349	0.064725766	0.014439387	0.051772274	0.055307604	0.03089349	0.064725766	0.014439387	-0.028596349	-0.062129204	-0.043901333	-0.038686573	0.003701862	0.055307604	0.03089349	0.064725766	0.014439387	-0.028596349	-0.062129204	-0.043901333	-0.038686573	0.003701862	-0.132796894	-0.14326154	-0.045988398	-0.014368063	0.051772274	0.055307604	0.03089349	0.064725766	0.014439387	-0.071502283	-0.107087048	-0.18482022	-0.186175126	-0.315972502	-0.38461174	-0.14326154	-0.186175126	-0.18482022	-0.186175126	-0.315972502	-0.38461174	-0.38461174	-0.38461174	-0.14326154	-0.38461174	-0.028596349	-0.062129204	-0.043901333	-0.038686573	0.003701862	-0.028596349	-0.062129204	-0.043901333	-0.038686573	0.003701862	0.0087565	0.011907434	0.009771711	-0.052024295	-0.044238611	-0.062129204	-0.043901333	-0.038686573	0.003701862	0.0087565	0.011907434	0.009771711	-0.052024295	-0.044238611	-0.315972502	-0.38461174	-0.353971483
