cofip_sub,cofip_nbr
04027,06025
04015,06071
04012,06071
04012,06025
04012,06065
04001,08083
01003,12033
01061,12131
01039,12131
01053,12091
01069,12063
01061,12063
01039,12091
01053,12033
01061,12059
01053,12113
12065,13027
12039,13087
01113,13053
01017,13145
12065,13275
12089,13049
12073,13131
01019,13055
12003,13065
01113,13259
01081,13145
01081,13215
12047,13101
01005,13061
01071,13083
01019,13115
01069,13099
12039,13131
01017,13285
12079,13185
01067,13099
01113,13215
01111,13285
01029,13233
01111,13149
12063,13253
01005,13259
12003,13049
12073,13275
01069,13253
01049,13083
12023,13065
01029,13143
12003,13299
12047,13185
01005,13239
01111,13045
01029,13045
01049,13055
01019,13233
12079,13027
12089,13039
12023,13101
01067,13061
01049,13295
12039,13253
17075,18111
17023,18167
17185,18051
17059,18129
17185,18083
17091,18111
17031,18089
17033,18153
17101,18083
17033,18083
17091,18089
17183,18007
17075,18007
17183,18171
17193,18129
17045,18165
17023,18153
17183,18165
17193,18051
17045,18167
17197,18089
17071,19057
17085,19097
17071,19111
17067,19111
17015,19097
17161,19115
17015,19045
17085,19061
17131,19115
17131,19057
17161,19139
17161,19163
17195,19045
17161,19045
08009,20129
08063,20181
08125,20023
08061,20071
08017,20071
08099,20075
08099,20071
08017,20199
08099,20187
08009,20187
08063,20023
08063,20199
18163,21101
17069,21055
17003,21007
18019,21111
18019,21223
18019,21185
17059,21225
18173,21101
18025,21163
18029,21015
18147,21059
17153,21007
18061,21093
18061,21163
18155,21015
18077,21041
17153,21145
17127,21145
18061,21111
17069,21225
18123,21163
18129,21101
18123,21091
18147,21091
18123,21027
18043,21111
18155,21077
17127,21139
18115,21015
17151,21139
17069,21139
18155,21041
18129,21225
18173,21059
18077,21223
05139,22027
05003,22111
05091,22017
05139,22111
05027,22119
05073,22119
05017,22035
05091,22015
05139,22067
05003,22067
05017,22067
05027,22027
05017,22123
05073,22015
10005,24045
10005,24019
10005,24011
10001,24035
10001,24011
10003,24029
10003,24015
10001,24029
10005,24047
09005,25013
09013,25027
09003,25013
09013,25013
09015,25027
09005,25003
18087,26023
18141,26021
18039,26149
18151,26023
18087,26149
18151,26059
18141,26027
18091,26021
18039,26027
19191,27055
19143,27063
19109,27043
19131,27099
19063,27091
19143,27105
19109,27091
19119,27133
19005,27055
19191,27045
19119,27105
19089,27099
19189,27043
19195,27047
19189,27047
19195,27099
19089,27045
19059,27063
19063,27063
01023,28153
22107,28021
01107,28087
01129,28041
01075,28095
22117,28113
05077,28143
01077,28141
05017,28011
22117,28109
05107,28143
01093,28057
01129,28153
22107,28063
22037,28005
01119,28103
22037,28157
01093,28095
22117,28147
22029,28001
01119,28075
01107,28103
01023,28075
05017,28055
22065,28149
22105,28113
22035,28149
22107,28001
22035,28055
01059,28141
01097,28041
22125,28157
22117,28091
01119,28069
22103,28045
05035,28143
01075,28087
05107,28011
22091,28005
01023,28023
22029,28157
01097,28059
05035,28033
01033,28141
01059,28057
22107,28149
01097,28039
22065,28149
05107,28027
05041,28011
22105,28005
05017,28151
22103,28109
17157,29157
20121,29013
21075,29143
17119,29183
19051,29197
19177,29045
17149,29127
20209,29095
17149,29163
05015,29209
20091,29037
20091,29095
20209,29047
20037,29011
19185,29129
17083,29183
19071,29005
05009,29213
20107,29013
20121,29037
17133,29099
05021,29023
05015,29009
17067,29045
19051,29199
17013,29163
19145,29005
19177,29199
17003,29133
21039,29133
19053,29129
20037,29217
19145,29147
05135,29149
17067,29111
19111,29045
20043,29087
17181,29031
17149,29173
20021,29145
17003,29201
19159,29227
19053,29081
17181,29157
21075,29133
05021,29069
05093,29155
17119,29510
05007,29009
20043,29003
05049,29153
20005,29021
19173,29227
20043,29021
19185,29171
19159,29081
20011,29217
17157,29186
17003,29031
21007,29133
20005,29165
20209,29165
21075,29143
05031,29069
05121,29149
19007,29171
20037,29097
05089,29153
20103,29165
05055,29069
05121,29181
05049,29149
05089,29213
17013,29183
05005,29153
19007,29197
05021,29181
20021,29097
17163,29510
17013,29113
17133,29189
05093,29069
19173,29147
05007,29119
21105,29133
17119,29189
17133,29186
05049,29091
17077,29157
17001,29127
17001,29111
20107,29217
17163,29189
05015,29213
16049,30081
16021,30053
16017,30053
16079,30089
16033,30001
16059,30001
16049,30063
16035,30063
16043,30031
16035,30061
16043,30001
16079,30061
16017,30089
16043,30057
16059,30081
29087,31127
20201,31095
08095,31029
20153,31057
20157,31095
20183,31181
19085,31177
20117,31133
20039,31145
19085,31021
08095,31135
20043,31147
20131,31147
08125,31057
20147,31061
19193,31173
08075,31105
29005,31131
20089,31181
20157,31129
20013,31147
29005,31127
08115,31033
29087,31147
19155,31055
20089,31129
08115,31135
19133,31173
19129,31153
20147,31083
20137,31083
19133,31021
19193,31043
19155,31153
20153,31145
20039,31065
20183,31061
19071,31025
20137,31065
08123,31105
20153,31087
08075,31033
20201,31169
20023,31057
20157,31169
20131,31133
19155,31177
08125,31029
19071,31131
08115,31049
20201,31067
20117,31067
19129,31025
06049,32031
04015,32017
06071,32003
06051,32009
16073,32007
06051,32005
06003,32005
06091,32031
16031,32007
06057,32031
06027,32023
06027,32003
06027,32009
06061,32510
04015,32003
16073,32013
06051,32021
06061,32031
06017,32005
06035,32031
06051,32019
16083,32007
06061,32005
23031,33003
25009,33015
25027,33011
23031,33017
25017,33011
25027,33005
23017,33003
23031,33015
25009,33011
23017,33007
25011,33005
10003,34033
10003,34015
10003,34033
04001,35031
04011,35023
08007,35045
04011,35017
08067,35045
08071,35059
08023,35007
04011,35003
08071,35007
04003,35023
08021,35039
08023,35055
04001,35003
08009,35059
08007,35039
04001,35006
04001,35045
08083,35045
08021,35055
34003,36119
34003,36061
34037,36071
34031,36071
25003,36021
25003,36027
34031,36087
09001,36079
34017,36061
34003,36005
09001,36119
25003,36083
09005,36027
09001,36027
34003,36087
13241,37113
13241,37099
13291,37043
13241,37043
13111,37039
13291,37039
13281,37043
27027,38077
27089,38099
30085,38105
27027,38017
27089,38035
27155,38077
27069,38067
27107,38097
30025,38033
30025,38087
30091,38105
27107,38017
27119,38097
30109,38053
30083,38105
30109,38033
27167,38077
27119,38035
30083,38053
27089,38067
30025,38011
30085,38053
30091,38023
26115,39095
21161,39001
26059,39171
18001,39161
26059,39051
21191,39025
18075,39037
21089,39145
26091,39051
18177,39135
18033,39171
21019,39087
21037,39061
18029,39017
18161,39017
21089,39087
18075,39107
18047,39061
18161,39135
18151,39171
21037,39025
21023,39025
21023,39015
18003,39125
18135,39037
21161,39015
21015,39061
21117,39061
21135,39145
18177,39037
21135,39001
18047,39017
18001,39107
18003,39039
18033,39039
18029,39061
26091,39095
18003,39161
05033,40135
20191,40053
05127,40079
20007,40003
20129,40139
20119,40007
05033,40001
20025,40007
20099,40035
20021,40035
20007,40151
20025,40059
20129,40025
05007,40001
20077,40003
20125,40105
20175,40139
20035,40113
35059,40025
05113,40079
20035,40071
20175,40007
20099,40105
20077,40053
05081,40089
05113,40089
20021,40115
05007,40041
20125,40147
05133,40089
20033,40059
05131,40135
08009,40025
29119,40115
20019,40113
05143,40001
29145,40115
29119,40041
20033,40151
20019,40147
20189,40139
20191,40071
05131,40079
32031,41037
06093,41035
06015,41033
16049,41063
32031,41025
06049,41037
16087,41045
16087,41001
32013,41025
06093,41033
16003,41063
16069,41063
06015,41015
06093,41029
16075,41045
16003,41001
16073,41045
06049,41035
32013,41045
16027,41045
34041,42017
24021,42001
36025,42127
34037,42103
24025,42071
24001,42009
34015,42045
36007,42115
36107,42115
24001,42111
24013,42133
36105,42127
34037,42089
39007,42049
36013,42123
36015,42015
39099,42073
39029,42007
24015,42029
24023,42111
36003,42083
24043,42057
36009,42123
34041,42089
34021,42017
39029,42073
24021,42055
36007,42127
39155,42085
34019,42017
39007,42039
36015,42117
