stfip_nbr,stfip_sub,cofip_sub,cofip_nbr,sub_pop,copr_id,stpr_id,copr_id2,sub_perim,nbr_pop,nbr_area,river,bridge,corner,brd_len,brd_sttot,brd_stpct,brd_cotot,brd_copct,sub_area,areaname,state,gt80_nbr,gt81_nbr,gt82_nbr,gt83_nbr,gt84_nbr,gt85_nbr,gt86_nbr,ft75_nbr,sb00_nbr,sb01_nbr,sb02_nbr,sb03_nbr,sb04_nbr,ne99_nbr,ne02_nbr,bh01_nbr,bh02_nbr,bh03_nbr,bh04_nbr,frng04_nbr,frsg04_nbr,pri99_nbr,pri04_nbr,cedp87_nbr,cedp88_nbr,cedp89_nbr,cedp90_nbr,cedp91_nbr,cedc87_nbr,cedc88_nbr,cedc89_nbr,cedc90_nbr,cedc91_nbr,cedc92_nbr,cedc93_nbr,cedc94_nbr,cedc95_nbr,cedc96_nbr,cedpi88_nbr,cedpi89_nbr,cedpi90_nbr,cedpi91_nbr,cedpi92_nbr,cedpi93_nbr,cedpi94_nbr,cedpi95_nbr,cedpi96_nbr,tf03_nbr,tf04_nbr,gt80_sub,gt81_sub,gt82_sub,gt83_sub,gt84_sub,gt85_sub,gt86_sub,ft75_sub,sb00_sub,sb01_sub,sb02_sub,sb03_sub,sb04_sub,ne99_sub,ne02_sub,bh01_sub,bh02_sub,bh03_sub,bh04_sub,frng04_sub,frsg04_sub,pri99_sub,pri04_sub,cedp87_sub,cedp88_sub,cedp89_sub,cedp90_sub,cedp91_sub,cedc87_sub,cedc88_sub,cedc89_sub,cedc90_sub,cedc91_sub,cedc92_sub,cedc93_sub,cedc94_sub,cedc95_sub,cedc96_sub,cedpi88_sub,cedpi89_sub,cedpi90_sub,cedpi91_sub,cedpi92_sub,cedpi93_sub,cedpi94_sub,cedpi95_sub,cedpi96_sub,tf03_sub,tf04_sub,v1,_merge
1,1,,,,,,,,,,,,,,,,,,,,,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
4,4,,,,,,,,,,,,,,,,,,,,,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
5,5,,,,,,,,,,,,,,,,,,,,,76.989998,59,60,65.900002,70.199997,60.799999,56.700001,8,45.415001,45.419998,41.610001,43.001999,44.962002,26.219999,41.700001,3.4200001,3.22,3.55,3.6900001,6.9000001,7.1999998,4.8299999,25.139999,30,15,30,31,35,47,48,49,48,48,49,47,47,47,47,171.64999,153.8,160.49001,174,173.64,161.46001,155.74001,159.42999,158.77,4.5760002,4.441,76.989998,59,60,65.900002,70.199997,60.799999,56.700001,8,45.415001,45.419998,41.610001,43.001999,44.962002,26.219999,41.700001,3.4200001,3.22,3.55,3.6900001,6.9000001,7.1999998,4.8299999,25.139999,30,15,30,31,35,47,48,49,48,48,49,47,47,47,47,171.64999,153.8,160.49001,174,173.64,161.46001,155.74001,159.42999,158.77,4.5760002,4.441,Arkansas,matched (3)
6,4,4027,6025,160026,4027006025,4006,4027006,5.4911199,142361,4174.7324,0,0,0,.57341999,3.5984499,.15935194,.57341999,1,5514.0889,Yuma,AZ,49.490002,53,51,42.900002,48.799999,50.900002,44.900002,47,48.25,54.860001,52.25,54.363998,59.91,74.25,85.5,5.8299999,5.5100002,5.27,5.1399999,6.5,7.5,6.3899999,38.790001,8,11,4,12,7,3,7,6,12,7,8,9,20,20,22,269.28,226.7,237.98,240.89999,224.52,193.25999,199.33,203.62,207.66,4.6209998,4.6069999,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
6,4,4015,6071,155032,4015006071,4006,4015006,10.19047,1709434,20052.496,0,0,0,.98448002,3.5984499,.27358446,.98448002,1,13311.642,Mohave,AZ,49.490002,53,51,42.900002,48.799999,50.900002,44.900002,47,48.25,54.860001,52.25,54.363998,59.91,74.25,85.5,5.8299999,5.5100002,5.27,5.1399999,6.5,7.5,6.3899999,38.790001,8,11,4,12,7,3,7,6,12,7,8,9,20,20,22,269.28,226.7,237.98,240.89999,224.52,193.25999,199.33,203.62,207.66,4.6209998,4.6069999,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
6,4,4012,6071,19715,4012006071,4006,4012006,5.6575098,1709434,20052.496,0,0,0,.42295,3.5984499,.11753672,2.04055,.20727254,4499.9541,La Paz,AZ,49.490002,53,51,42.900002,48.799999,50.900002,44.900002,47,48.25,54.860001,52.25,54.363998,59.91,74.25,85.5,5.8299999,5.5100002,5.27,5.1399999,6.5,7.5,6.3899999,38.790001,8,11,4,12,7,3,7,6,12,7,8,9,20,20,22,269.28,226.7,237.98,240.89999,224.52,193.25999,199.33,203.62,207.66,4.6209998,4.6069999,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
6,4,4012,6025,19715,4012006025,4006,4012006,5.6575098,142361,4174.7324,0,0,0,.76075,3.5984499,.21141046,2.04055,.37281615,4499.9541,La Paz,AZ,49.490002,53,51,42.900002,48.799999,50.900002,44.900002,47,48.25,54.860001,52.25,54.363998,59.91,74.25,85.5,5.8299999,5.5100002,5.27,5.1399999,6.5,7.5,6.3899999,38.790001,8,11,4,12,7,3,7,6,12,7,8,9,20,20,22,269.28,226.7,237.98,240.89999,224.52,193.25999,199.33,203.62,207.66,4.6209998,4.6069999,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
6,4,4012,6065,19715,4012006065,4006,4012006,5.6575098,1545387,7207.3691,0,0,0,.85685003,3.5984499,.23811641,2.04055,.4199113,4499.9541,La Paz,AZ,49.490002,53,51,42.900002,48.799999,50.900002,44.900002,47,48.25,54.860001,52.25,54.363998,59.91,74.25,85.5,5.8299999,5.5100002,5.27,5.1399999,6.5,7.5,6.3899999,38.790001,8,11,4,12,7,3,7,6,12,7,8,9,20,20,22,269.28,226.7,237.98,240.89999,224.52,193.25999,199.33,203.62,207.66,4.6209998,4.6069999,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
8,4,4001,8083,69423,4001008083,4008,4001008,9.1819496,23830,2036.6333,0,0,1,0,0,0,0,0,11204.879,Apache,AZ,70.07,73,62,58.200001,61.599998,63.200001,66.300003,18,38.880001,39.869999,36.68,37.650002,39.860001,72.32,84.300003,6.4099998,6.4699998,5.7399998,6.27,4.1999998,4.5999999,4.77,18.809999,30,26,34,46,32,11,2,2,5,5,5,4,2,2,2,205.92,149.8,160.73,177.8,188.22,159.32001,165.14,160.53,159.99001,6.2940001,6.3520002,64.639999,67,66,70.800003,65.599998,71.800003,66.099998,16,41.048,44.178001,39.740002,41.268002,42.807999,59.23,67.199997,4.1700001,4.02,3.7,4.5999999,5.6999998,6.3000002,5.1900001,21.889999,24,38,49,47,44,12,17,12,21,20,20,13,18,17,16,211.7,141.7,159.89999,176,174.32001,173.92,175.23,180.06,184.33,5.5029998,5.4910002,Arizona,matched (3)
9,9,,,,,,,,,,,,,,,,,,,,,45.119999,31,34,38.599998,36.599998,40.700001,39,43,46.220001,48.830002,46.279999,48.181,50.080002,64.889999,74.199997,6.1799998,6.3299999,5.8499999,5.5700002,5.9000001,6.6999998,6.6599998,35.209999,12,12,15,14,9,2,4,8,2,5,12,8,9,9,6,178.63,109.2,120.23,145.60001,176.28999,142.89,153.75,153.53999,154.58,4.7480001,4.6989999,45.119999,31,34,38.599998,36.599998,40.700001,39,43,46.220001,48.830002,46.279999,48.181,50.080002,64.889999,74.199997,6.1799998,6.3299999,5.8499999,5.5700002,5.9000001,6.6999998,6.6599998,35.209999,12,12,15,14,9,2,4,8,2,5,12,8,9,9,6,178.63,109.2,120.23,145.60001,176.28999,142.89,153.75,153.53999,154.58,4.7480001,4.6989999,Connecticut,matched (3)
10,10,,,,,,,,,,,,,,,,,,,,,51.549999,37,33,37.700001,42.400002,44,60.5,44,41.700001,46.950001,41.07,41.650002,44.529999,59.869999,70.5,7.2199998,7.3699999,7.8099999,5.4299998,3.5,4.6999998,4.5599999,20.9,30,31,27,27,30,8,8,7,7,7,15,7,11,10,6,208.14999,160.2,171.64,197.5,178.59,166.03,134.82001,131.78,130.8,5.4050002,5.5700002,51.549999,37,33,37.700001,42.400002,44,60.5,44,41.700001,46.950001,41.07,41.650002,44.529999,59.869999,70.5,7.2199998,7.3699999,7.8099999,5.4299998,3.5,4.6999998,4.5599999,20.9,30,31,27,27,30,8,8,7,7,7,15,7,11,10,6,208.14999,160.2,171.64,197.5,178.59,166.03,134.82001,131.78,130.8,5.4050002,5.5700002,Delaware,matched (3)
12,1,1003,12033,140415,1003012033,1012,1003012,4.2439599,294410,662.35327,1,1,0,1.16527,3.7626901,.30969068,1.16527,1,1596.3467,Baldwin,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1061,12131,25764,1061012131,1012,1061012,1.83328,40601,1057.5614,0,0,0,.15222,3.7626901,.040455099,.69922,.21769972,576.28046,Geneva,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1039,12131,37631,1039012131,1012,1039012,2.28282,40601,1057.5614,0,0,0,.20141,3.7626901,.053528193,.50116003,.40188763,1033.816,Covington,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1053,12091,38440,1053012091,1012,1053012,2.4579101,170498,935.62616,0,0,0,.097750001,3.7626901,.025978755,.91106999,.10729143,947.38287,Escambia,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1069,12063,88787,1069012063,1012,1069012,2.06025,46755,915.64441,1,0,0,.48596999,3.7626901,.12915494,.48596999,1,580.35968,Houston,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1061,12063,25764,1061012063,1012,1061012,1.83328,46755,915.64441,0,0,0,.0099799996,3.7626901,.002652358,.69922,.014273047,576.28046,Geneva,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1039,12091,37631,1039012091,1012,1039012,2.28282,170498,935.62616,0,0,0,.29975,3.7626901,.079663754,.50116003,.5981124,1033.816,Covington,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1053,12033,38440,1053012033,1012,1053012,2.4579101,294410,662.35327,0,0,0,.43651,3.7626901,.11601009,.91106999,.47911796,947.38287,Escambia,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
12,1,1061,12059,25764,1061012059,1012,1061012,1.83328,18564,482.44885,0,0,0,.53702003,3.7626901,.14272237,.69922,.76802725,576.28046,Geneva,AL,73.769997,82,85,79.400002,75,70.800003,62.099998,7,30.950001,33.18,30.110001,31.662001,34.333,50.75,62.700001,4.4499998,4.4699998,4.5900002,4.8099999,6.5,6.3000002,5.4499998,25.120001,13,18,27,23,35,23,30,40,41,39,40,36,36,35,36,184.3,122.4,112.61,127,111.92,121.08,122.6,120.7,114.85,7.0029998,6.9250002,68.25,51,57,57.400002,56,49,45.799999,2,32.360001,36.830002,33.775002,36.755001,39.435001,32.279999,45.299999,3.8199999,4.02,3.76,3.6600001,6.3000002,6.5,4.73,25.870001,44,44,47,24,39,48,45,45,45,45,43,39,41,38,41,172.57001,142,137.35001,147.5,128.71001,135.03999,142.52,147.74001,146.11,5.6669998,5.664,Alabama,matched (3)
