cofip_nbr,cofip_sub,sub_pop,copr_id,stpr_id,copr_id2,stfip_sub,sub_perim,stfip_nbr,nbr_pop,nbr_area,river,bridge,corner,brd_len,brd_sttot,brd_stpct,brd_cotot,brd_copct,sub_area,areaname,state,bh01_nbr,bh01_sub,bh01_aginc_lag_sub,bh01_aginc_lead_sub,bh01_aginc_lag_nbr,bh01_aginc_lead_nbr,bh01_avwage_lag_sub,bh01_avwage_lead_sub,bh01_avwage_lag_nbr,bh01_avwage_lead_nbr,bh01_nfincome_lag_sub,bh01_nfincome_lead_sub,bh01_nfincome_lag_nbr,bh01_nfincome_lead_nbr,bh01_nfpropnum_lag_sub,bh01_nfpropnum_lead_sub,bh01_nfpropnum_lag_nbr,bh01_nfpropnum_lead_nbr,bh01_nfpropincome_lag_sub,bh01_nfpropincome_lead_sub,bh01_nfpropincome_lag_nbr,bh01_nfpropincome_lead_nbr,bh01_output_lag_sub,bh01_output_lead_sub,bh01_output_lag_nbr,bh01_output_lead_nbr,bh01_percapinc_lag_sub,bh01_percapinc_lead_sub,bh01_percapinc_lag_nbr,bh01_percapinc_lead_nbr,bh01_pop_lag_sub,bh01_pop_lead_sub,bh01_pop_lag_nbr,bh01_pop_lead_nbr,bh01_wagebill_lag_sub,bh01_wagebill_lead_sub,bh01_wagebill_lag_nbr,bh01_wagebill_lead_nbr,bh01_wageemp_lag_sub,bh01_wageemp_lead_sub,bh01_wageemp_lag_nbr,bh01_wageemp_lead_nbr,lnbh01_nbr,lnbh01_sub,lnbh01difference,aginc_backward,aginc_predict,avwage_backward,avwage_predict,nfincome_backward,nfincome_predict,nfpropnum_backward,nfpropnum_predict,nfpropincome_backward,nfpropincome_predict,output_backward,output_predict,percapinc_backward,percapinc_predict,pop_backward,pop_predict,wagebill_backward,wagebill_predict,wageemp_backward,wageemp_predict
6025,4012,19715,4012006025,4006,4012006,4,5.6575098,6,142361,4174.7324,0,0,0,.76075,3.5984499,.21141046,2.04055,.37281615,4499.9541,La Paz,AZ,5.8299999,4.1700001,.28403246,.29782957,.27994943,.33530742,.13088503,.17214286,.24824117,.16834584,.34284738,.33786675,.30418354,.32083029,.065867424,.18431161,.10880423,.11975881,.027041981,.36559549,.40406984,.21968301,.11333981,.2082184,.26173568,.19872408,.20801893,.24987686,.22448148,.19921999,.10962564,.049470898,.040617026,.11054859,.27824143,.18105613,.29233968,.34459591,.089462556,-.019946264,.03473679,.13183163,1.7630169,1.427916,-.33510089,.0040830374,-.037477851,-.11735614,.0037970245,.038663834,.017036468,-.042936809,.064552806,-.37702787,.14591248,-.14839587,.0094943196,-.01646255,.05065687,.069008619,-.061077695,-.014098257,-.16353978,.054725766,-.15177789
6025,4027,160026,4027006025,4006,4027006,4,5.4911199,6,142361,4174.7324,0,0,0,.57341999,3.5984499,.15935194,.57341999,1,5514.0889,Yuma,AZ,5.8299999,4.1700001,.315732,.37800691,.27994943,.33530742,.20395291,.22872591,.24824117,.16834584,.33082017,.39555585,.30418354,.32083029,.11672301,.25849175,.10880423,.11975881,.38977548,.43202212,.40406984,.21968301,.21157451,.24855614,.26173568,.19872408,.15319556,.24068673,.22448148,.19921999,.17118125,.12113857,.040617026,.11054859,.096091121,.19515288,.29233968,.34459591,-.070312135,.061705656,.03473679,.13183163,1.7630169,1.427916,-.33510089,.035782576,.042699486,-.044288263,.060380071,.02663663,.074725568,.0079187751,.13873294,-.014294356,.21233912,-.050161168,.049832061,-.071285918,.041466743,.13056421,.01058998,-.19624856,-.14944303,-.10504892,-.070125975
6065,4012,19715,4012006065,4006,4012006,4,5.6575098,6,1545387,7207.3691,0,0,0,.85685003,3.5984499,.23811641,2.04055,.4199113,4499.9541,La Paz,AZ,5.8299999,4.1700001,.28403246,.29782957,.41455087,.4157556,.13088503,.17214286,.20648374,.21122572,.34284738,.33786675,.39047876,.3822771,.065867424,.18431161,.23481467,.20093875,.027041981,.36559549,.43809015,.38803887,.11333981,.2082184,.21021757,.23282292,.20801893,.24987686,.23651125,.1604512,.10962564,.049470898,.14836118,.21896692,.27824143,.18105613,.49234051,.48394835,.089462556,-.019946264,.2842916,.24553172,1.7630169,1.427916,-.33510089,-.13051841,-.11792603,-.075598702,-.039082855,-.047631383,-.044410348,-.16894725,-.016627133,-.41104817,-.022443384,-.096877754,-.024604529,-.028492317,.089425653,-.038735531,-.16949601,-.21409908,-.30289221,-.19482905,-.26547799
6071,4015,155032,4015006071,4006,4015006,4,10.19047,6,1709434,20052.496,0,0,0,.98448002,3.5984499,.27358446,.98448002,1,13311.642,Mohave,AZ,5.8299999,4.1700001,.44317415,.42153656,.36118165,.32536909,.21914674,.19106036,.18333285,.20029788,.39732856,.39525601,.34168804,.29556686,.16090406,.37214988,.19175595,.12276947,.61576343,.27979404,.57273817,.1906022,.26089308,.14792579,.21122356,.20685036,.23706412,.19228165,.24106719,.17755787,.16126628,.20184952,.09786272,.1144038,.14193532,.076704875,.37446573,.3958734,-.035747103,-.16412583,.19218287,.16766348,1.7630169,1.427916,-.33510089,.081992507,.096167475,.035813898,-.0092375129,.055640519,.099689156,-.030851886,.24938041,.043025255,.089191839,.049669519,-.058924571,-.0040030628,.014723778,.063403562,.087445721,-.23253042,-.31916851,-.22792998,-.33178931
6071,4012,19715,4012006071,4006,4012006,4,5.6575098,6,1709434,20052.496,0,0,0,.42295,3.5984499,.11753672,2.04055,.20727254,4499.9541,La Paz,AZ,5.8299999,4.1700001,.28403246,.29782957,.36118165,.32536909,.13088503,.17214286,.18333285,.20029788,.34284738,.33786675,.34168804,.29556686,.065867424,.18431161,.19175595,.12276947,.027041981,.36559549,.57273817,.1906022,.11333981,.2082184,.21122356,.20685036,.20801893,.24987686,.24106719,.17755787,.10962564,.049470898,.09786272,.1144038,.27824143,.18105613,.37446573,.3958734,.089462556,-.019946264,.19218287,.16766348,1.7630169,1.427916,-.33510089,-.077149183,-.027539521,-.052447811,-.028155014,.0011593401,.042299896,-.12588853,.061542138,-.5456962,.17499329,-.097883746,.0013680309,-.033048257,.072318986,.011762924,-.064932898,-.096224308,-.21481727,-.10272031,-.18760975
8083,4001,69423,4001008083,4008,4001008,4,9.1819496,8,23830,2036.6333,0,0,1,0,0,0,0,0,11204.879,Apache,AZ,6.4099998,4.1700001,.32431731,.24870886,.29603514,.28312129,.035836358,.18706128,.17239502,.17141639,.33358938,.27181432,.3014493,.25931433,.58774257,.23585466,.1115566,.23039712,.77219099,.49007395,.19500586,.39592698,.033116233,.20327406,.15912056,.16937375,.37152365,.23372993,.25290614,.21138711,-.023950888,.022251798,.047718648,.052457567,.2152572,.24066116,.24666275,.2268969,.010614491,.047643535,.070138052,.032954272,1.8578593,1.427916,-.4299432,.028282166,-.034412429,-.13655867,.015644893,.032140076,.012499988,.47618598,.0054575354,.57718515,.094146967,-.12600432,.033900306,.1186175,.022342816,-.071669534,-.030205769,-.031405553,.013764262,-.05952356,.014689263
12033,1053,38440,1053012033,1012,1053012,1,2.4579101,12,294410,662.35327,0,0,0,.43651,3.7626901,.11601009,.91106999,.47911796,947.38287,Escambia,AL,4.4499998,3.8199999,.2212747,.15256096,.24720123,.26339895,.16778922,.16109529,.18816656,.18574131,.20604806,.21493779,.26572293,.26287767,.14074817,.24865429,.17687279,.23000295,.34293643,.36786965,.24237403,.33074865,.17744966,.16397093,.17152259,.17675912,.19653787,.21806611,.21280204,.25443307,.019483281,-.013813321,.052287824,.0087567493,.18963896,.09433607,.25719327,.23930974,.01055558,-.090321988,.070685394,.039461136,1.4929041,1.3402504,-.15265369,-.02592653,-.11083798,-.020377338,-.024646014,-.059674874,-.047939882,-.036124617,.018651336,.10056239,.037120998,.005927071,-.012788191,-.01626417,-.036366954,-.032804541,-.02257007,-.06755431,-.14497367,-.060129814,-.12978312
12033,1003,140415,1003012033,1012,1003012,1,4.2439599,12,294410,662.35327,1,1,0,1.16527,3.7626901,.30969068,1.16527,1,1596.3467,Baldwin,AL,4.4499998,3.8199999,.33892781,.33871233,.24720123,.26339895,.20913254,.23417367,.18816656,.18574131,.34967652,.37701482,.26572293,.26287767,.23574719,.31027314,.17687279,.23000295,.42217129,.26482692,.24237403,.33074865,.20287204,.18919048,.17152259,.17675912,.19934769,.22877979,.21280204,.25443307,.14426698,.14881265,.052287824,.0087567493,.42346221,.43340996,.25719327,.23930974,.21589893,.18902689,.070685394,.039461136,1.4929041,1.3402504,-.15265369,.091726571,.075313389,.020965979,.048432365,.083953589,.11413714,.058874398,.080270186,.17979726,-.065921724,.03134945,.012431353,-.013454348,-.025653273,.091979153,.14005589,.16626894,.19410022,.14521354,.14956576
12059,1061,25764,1061012059,1012,1061012,1,1.83328,12,18564,482.44885,0,0,0,.53702003,3.7626901,.14272237,.69922,.76802725,576.28046,Geneva,AL,4.4499998,3.8199999,.23756561,.18957558,.30306217,.22681455,.18116777,.17235298,.21434367,.1510815,.250236,.22483109,.32072738,.28424931,-.056197509,.17726648,.68853247,.21029541,.437408,.26875728,.86760587,.16319135,.24152902,.17270425,.13257712,.10379652,.22961004,.15050498,.26260653,.18782984,.016923146,.02724144,.044924427,.055326309,.034106497,.29496589,.20522328,.31250086,-.15626673,.097721837,.005896409,.14587787,1.4929041,1.3402504,-.15265369,-.065496564,-.03723897,-.033175901,.021271482,-.070491374,-.059418216,-.74473,-.03302893,-.43019786,.10556594,.1089519,.06890773,-.032996491,-.037324861,-.028001281,-.028084869,-.17111678,-.017534971,-.16216314,-.04815603
12063,1069,88787,1069012063,1012,1069012,1,2.06025,12,46755,915.64441,1,0,0,.48596999,3.7626901,.12915494,.48596999,1,580.35968,Houston,AL,4.4499998,3.8199999,.2634196,.28864723,.15838514,.27494031,.18564351,.16640909,.20762056,.17152858,.28009048,.29409337,.23880519,.21742944,.041723844,.31330502,-.04480885,.20525867,.19645008,.52628493,.27817243,.16509898,.18915208,.17255746,.20796739,.15558387,.2460143,.21873549,.21634403,.18154199,.038269103,.068615846,.016066266,.042818185,.21935892,.23989801,.12992372,.29256627,.026792612,.057795059,-.068328574,.11209161,1.4929041,1.3402504,-.15265369,.10503446,.013706923,-.021977052,-.0051194876,.041285291,.076663926,.086532697,.10804635,-.081722349,.36118597,-.018815309,.016973585,.029670268,.037193492,.022202836,.025797661,.089435205,-.052668259,.09512119,-.054296549
