FIPS,gt_end_emp,sb_end_emp,pri_end_emp,ne_end_emp,cedp_emp,cedc_emp,cedpi_emp,tf_end_emp,gt_end_pop,sb_end_pop,pri_end_pop,ne_end_pop,cedp_pop,cedc_pop,cedpi_pop,tf_end_pop,gt_end_output,sb_end_output,pri_end_output,ne_end_output,cedp_output,cedc_output,cedpi_output,tf_end_output,gt_end_nfinc,sb_end_nfinc,pri_end_nfinc,ne_end_nfinc,cedp_nfinc,cedc_nfinc,cedpi_nfinc,tf_end_nfinc
1000,0.068831478,0.00811423,-0.001378545,-0.017678456,0.104012066,0.090915141,0.090915141,0.017960053,0.018467038,0.014023892,0.022451442,0.0112115,0.026596712,0.055040914,0.055040914,0.00602998,0.254449104,0.103835229,0.196356583,0.130648122,0.1963674,0.159265317,0.159265317,0.030895677,0.35630773,0.131880042,0.228173072,0.130133208,0.321106382,0.275876142,0.275876142,0.061508178
1001,-0.070183293,0.003027167,0.087821586,0.049720195,0.21685665,0.139598368,0.139598368,0.014098279,0.027992826,0.074604312,0.118457807,0.066321896,0.062373866,0.138407375,0.138407375,0.032913885,0.262722959,0.068185835,0.208146803,0.151454229,0.161456926,0.143050383,0.143050383,0.011408292,0.402491099,0.140794195,0.28431432,0.168087795,0.367114385,0.364583696,0.364583696,0.056883168
1003,0.194544213,0.087600822,0.12020819,0.047448192,0.218654546,0.299972894,0.299972894,0.042120656,0.128663547,0.075688382,0.127535846,0.072897854,0.114810744,0.202522311,0.202522311,0.030914654,0.258547433,0.098867735,0.177275211,0.107628864,0.17780646,0.237189139,0.237189139,0.037919063,0.445518352,0.167492772,0.292455267,0.16016876,0.439481704,0.482129566,0.482129566,0.098852194
1005,0.159672222,-0.106451605,-0.062644404,0.007978978,0.148838645,0.035559302,0.035559302,-0.039384715,0.007768358,-0.020158163,-0.020262097,-0.007406282,0.060858087,0.065420008,0.065420008,-0.01079457,0.31144366,0.091851869,0.124512529,0.041436153,0.204464112,0.150639876,0.150639876,0.058004404,0.401881704,0.06353483,0.136327372,0.078833034,0.330692188,0.215587643,0.215587643,0.033038166
1007,0.198766327,0.051787058,-0.043266525,-0.102370977,0.071476111,0.089612159,0.089612159,0.032224254,0.005164715,0.032424652,0.054932094,0.03060657,0.069930573,0.100986839,0.100986839,0.014935343,0.222216925,0.102186154,0.20063295,0.118828646,0.205937819,0.20341033,0.20341033,0.050936571,0.376643604,0.136772959,0.258757266,0.146337645,0.29963851,0.324570063,0.324570063,0.071462623
1009,0.03458558,-0.080194671,-0.077792556,-0.059044582,0.206333906,0.180723159,0.180723159,-0.002285003,0.03628674,0.043019212,0.074525903,0.04503232,0.056163636,0.120659655,0.120659655,0.012400118,0.119573415,0.077222181,0.093589201,0.060070764,0.181738735,0.182297753,0.182297753,0.019774128,0.311460536,0.104553173,0.238020555,0.150640155,0.359335352,0.384420012,0.384420012,0.046069754
1011,-0.03470431,0.009281462,-0.034125491,-0.030771659,0.129521714,0.030270729,0.030270729,0.001400757,-0.020816344,-0.026949074,-0.061305415,-0.043377362,0.067378924,0.033919428,0.033919428,-0.023244386,0.251928611,0.073017346,0.171830896,0.115365953,0.27532015,0.154617023,0.154617023,0.033150978,0.369927302,0.07093119,0.171008555,0.110390353,0.347595166,0.224445155,0.224445155,0.04186331
1013,-0.074701023,-0.020826997,-0.043997141,-0.00938974,-0.047861541,0.154572496,0.154572496,-0.002061148,0.006917334,-0.012806955,-0.034612048,-0.037827562,-0.026535177,0.004952094,0.004952094,0.001774453,0.306416446,0.131192106,0.20338396,0.12726067,0.167656451,0.157014954,0.157014954,0.032718063,0.274721653,0.091420845,0.188138698,0.139487826,0.20300447,0.333829343,0.333829343,0.031999801
1015,0.035372677,0.05099751,-0.021403465,-0.065596344,0.013036402,0.012082063,0.012082063,0.034501398,-0.026113159,0.019544248,-0.012681234,-0.029004174,-0.021061363,0.012391775,0.012391775,0.006694193,0.274248045,0.135520425,0.181423651,0.092149355,0.157954595,0.096887684,0.096887684,0.042923187,0.345127622,0.167929825,0.210106052,0.092817901,0.226156841,0.196292402,0.196292402,0.061425335
1017,-0.014368063,-0.112615927,-0.14326154,-0.057747543,0.014439387,0.003701862,0.003701862,-0.032548462,-0.036196496,-0.022611332,-0.029561814,-0.01550547,-0.028548571,-0.000162558,-0.000162558,-0.006100408,0.251778872,0.038349526,0.153184494,0.146974542,0.126115124,0.210460727,0.210460727,0.004172783,0.319583732,0.048059008,0.140521126,0.094742536,0.198906259,0.235458934,0.235458934,0.040662161
