cofip_sub	cofip_nbr	gt80_aginc_lag	gt81_aginc_lag	gt82_aginc_lag	gt83_aginc_lag	gt84_aginc_lag	gt85_aginc_lag	gt86_aginc_lag	ft75_aginc_lag	sb00_aginc_lag	sb01_aginc_lag	sb02_aginc_lag	sb03_aginc_lag	sb04_aginc_lag	ne99_aginc_lag	ne02_aginc_lag	bh01_aginc_lag	bh02_aginc_lag	bh03_aginc_lag	bh04_aginc_lag	frng04_aginc_lag	frsg04_aginc_lag	PRI99_aginc_lag	PRI04_aginc_lag	CEDp87_aginc_lag	CEDp88_aginc_lag	CEDp89_aginc_lag	CEDp90_aginc_lag	CEDp91_aginc_lag	CEDc87_aginc_lag	CEDc88_aginc_lag	CEDc89_aginc_lag	CEDc90_aginc_lag	CEDc91_aginc_lag	CEDc92_aginc_lag	CEDc93_aginc_lag	CEDc94_aginc_lag	CEDc95_aginc_lag	CEDc96_aginc_lag	CEDpi88_aginc_lag	CEDpi89_aginc_lag	CEDpi90_aginc_lag	CEDpi91_aginc_lag	CEDpi92_aginc_lag	CEDpi93_aginc_lag	CEDpi94_aginc_lag	CEDpi95_aginc_lag	CEDpi96_aginc_lag	TF03_aginc_lag	TF04_aginc_lag	gt80_aginc_lead	gt81_aginc_lead	gt82_aginc_lead	gt83_aginc_lead	gt84_aginc_lead	gt85_aginc_lead	gt86_aginc_lead	ft75_aginc_lead	sb00_aginc_lead	sb01_aginc_lead	sb02_aginc_lead	sb03_aginc_lead	sb04_aginc_lead	ne99_aginc_lead	ne02_aginc_lead	bh01_aginc_lead	bh02_aginc_lead	bh03_aginc_lead	bh04_aginc_lead	frng04_aginc_lead	frsg04_aginc_lead	PRI99_aginc_lead	PRI04_aginc_lead	CEDp87_aginc_lead	CEDp88_aginc_lead	CEDp89_aginc_lead	CEDp90_aginc_lead	CEDp91_aginc_lead	CEDc87_aginc_lead	CEDc88_aginc_lead	CEDc89_aginc_lead	CEDc90_aginc_lead	CEDc91_aginc_lead	CEDc92_aginc_lead	CEDc93_aginc_lead	CEDc94_aginc_lead	CEDc95_aginc_lead	CEDc96_aginc_lead	CEDpi88_aginc_lead	CEDpi89_aginc_lead	CEDpi90_aginc_lead	CEDpi91_aginc_lead	CEDpi92_aginc_lead	CEDpi93_aginc_lead	CEDpi94_aginc_lead	CEDpi95_aginc_lead	CEDpi96_aginc_lead	TF03_aginc_lead	TF04_aginc_lead	outofsample_aginc_lead
1000	1000	0.527891039	0.473632931	0.397164745	0.333269711	0.33961722	0.345134458	0.321580546	0.480687057	0.239936355	0.245725843	0.235067346	0.220372424	0.231327712	0.24292669	0.235067346	0.245725843	0.235067346	0.220372424	0.231327712	0.231327712	0.231327712	0.24292669	0.231327712	0.359641319	0.366480572	0.321501633	0.307204131	0.305016063	0.359641319	0.366480572	0.321501633	0.307204131	0.305016063	0.30737916	0.279735912	0.276228202	0.263318321	0.25046542	0.366480572	0.321501633	0.307204131	0.305016063	0.30737916	0.279735912	0.276228202	0.263318321	0.25046542	0.220372424	0.231327712	0.345134458	0.321580546	0.359641319	0.366480572	0.321501633	0.307204131	0.305016063	0.527891039	0.243897119	0.248774426	0.246698005	0.229029059	0.132512285	0.231327712	0.246698005	0.248774426	0.246698005	0.229029059	0.132512285	0.132512285	0.132512285	0.231327712	0.132512285	0.30737916	0.279735912	0.276228202	0.263318321	0.25046542	0.30737916	0.279735912	0.276228202	0.263318321	0.25046542	0.227102657	0.243626443	0.24292669	0.239936355	0.245725843	0.279735912	0.276228202	0.263318321	0.25046542	0.227102657	0.243626443	0.24292669	0.239936355	0.245725843	0.229029059	0.132512285	0.106513346
1001	1001	0.668655054	0.510815075	0.482258009	0.387668924	0.311400241	0.315151621	0.386861142	0.47394223	0.328714795	0.341244823	0.316644598	0.32513015	0.300071865	0.315145424	0.316644598	0.341244823	0.316644598	0.32513015	0.300071865	0.300071865	0.300071865	0.315145424	0.300071865	0.441011973	0.468534522	0.388116082	0.363756511	0.368612506	0.441011973	0.468534522	0.388116082	0.363756511	0.368612506	0.330058015	0.308510007	0.346699338	0.33939691	0.336884884	0.468534522	0.388116082	0.363756511	0.368612506	0.330058015	0.308510007	0.346699338	0.33939691	0.336884884	0.32513015	0.300071865	0.315151621	0.386861142	0.441011973	0.468534522	0.388116082	0.363756511	0.368612506	0.668655054	0.306330406	0.285804839	0.282489457	0.246295681	0.183433439	0.300071865	0.282489457	0.285804839	0.282489457	0.246295681	0.183433439	0.183433439	0.183433439	0.300071865	0.183433439	0.330058015	0.308510007	0.346699338	0.33939691	0.336884884	0.330058015	0.308510007	0.346699338	0.33939691	0.336884884	0.341139337	0.334800379	0.315145424	0.328714795	0.341244823	0.308510007	0.346699338	0.33939691	0.336884884	0.341139337	0.334800379	0.315145424	0.328714795	0.341244823	0.246295681	0.183433439	0.16570126
1003	1003	0.526804178	0.467480118	0.440537516	0.415120722	0.464506822	0.484026553	0.411405318	0.639932809	0.408229629	0.33892781	0.284414186	0.266870674	0.265132714	0.411550726	0.284414186	0.33892781	0.284414186	0.266870674	0.265132714	0.265132714	0.265132714	0.411550726	0.265132714	0.458836492	0.413200312	0.387365471	0.370219155	0.428640377	0.458836492	0.413200312	0.387365471	0.370219155	0.428640377	0.469708153	0.516638029	0.521673854	0.506273824	0.48177759	0.413200312	0.387365471	0.370219155	0.428640377	0.469708153	0.516638029	0.521673854	0.506273824	0.48177759	0.266870674	0.265132714	0.484026553	0.411405318	0.458836492	0.413200312	0.387365471	0.370219155	0.428640377	0.526804178	0.271806818	0.33871232	0.361835875	0.347008231	0.25438504	0.265132714	0.361835875	0.33871232	0.361835875	0.347008231	0.25438504	0.25438504	0.25438504	0.265132714	0.25438504	0.469708153	0.516638029	0.521673854	0.506273824	0.48177759	0.469708153	0.516638029	0.521673854	0.506273824	0.48177759	0.456018493	0.421577008	0.411550726	0.408229629	0.33892781	0.516638029	0.521673854	0.506273824	0.48177759	0.456018493	0.421577008	0.411550726	0.408229629	0.33892781	0.347008231	0.25438504	0.236411378
1005	1005	0.448850969	0.362394676	0.269247703	0.211523172	0.323675315	0.390545793	0.398321313	0.470114625	0.212198761	0.262165341	0.241097716	0.157731017	0.095094869	0.209747114	0.241097716	0.262165341	0.241097716	0.157731017	0.095094869	0.095094869	0.095094869	0.209747114	0.095094869	0.481036824	0.491945835	0.363550016	0.327237019	0.312842736	0.481036824	0.491945835	0.363550016	0.327237019	0.312842736	0.290940847	0.237964903	0.246650519	0.185827813	0.123339116	0.491945835	0.363550016	0.327237019	0.312842736	0.290940847	0.237964903	0.246650519	0.185827813	0.123339116	0.157731017	0.095094869	0.390545793	0.398321313	0.481036824	0.491945835	0.363550016	0.327237019	0.312842736	0.448850969	0.179021129	0.112618861	0.089321001	0.110851308	0.002109758	0.095094869	0.089321001	0.112618861	0.089321001	0.110851308	0.002109758	0.002109758	0.002109758	0.095094869	0.002109758	0.290940847	0.237964903	0.246650519	0.185827813	0.123339116	0.290940847	0.237964903	0.246650519	0.185827813	0.123339116	0.098408379	0.137567849	0.209747114	0.212198761	0.262165341	0.237964903	0.246650519	0.185827813	0.123339116	0.098408379	0.137567849	0.209747114	0.212198761	0.262165341	0.110851308	0.002109758	-0.024517813
1007	1007	0.603945222	0.492839346	0.406785223	0.313588246	0.314845392	0.331238724	0.338915005	0.494680976	0.226808671	0.241924644	0.20880852	0.249016135	0.236999783	0.253747266	0.20880852	0.241924644	0.20880852	0.249016135	0.236999783	0.236999783	0.236999783	0.253747266	0.236999783	0.35991054	0.375438467	0.315231341	0.327093291	0.299308426	0.35991054	0.375438467	0.315231341	0.327093291	0.299308426	0.295858854	0.25335216	0.27374056	0.254654052	0.290346933	0.375438467	0.315231341	0.327093291	0.299308426	0.295858854	0.25335216	0.27374056	0.254654052	0.290346933	0.249016135	0.236999783	0.331238724	0.338915005	0.35991054	0.375438467	0.315231341	0.327093291	0.299308426	0.603945222	0.256915176	0.234463712	0.236995717	0.195821686	0.053198954	0.236999783	0.236995717	0.234463712	0.236995717	0.195821686	0.053198954	0.053198954	0.053198954	0.236999783	0.053198954	0.295858854	0.25335216	0.27374056	0.254654052	0.290346933	0.295858854	0.25335216	0.27374056	0.254654052	0.290346933	0.298921952	0.259719664	0.253747266	0.226808671	0.241924644	0.25335216	0.27374056	0.254654052	0.290346933	0.298921952	0.259719664	0.253747266	0.226808671	0.241924644	0.195821686	0.053198954	0.025474973
1009	1009	0.552023335	0.492633643	0.369935697	0.275533933	0.308268496	0.331946466	0.303500878	0.66589478	0.367880757	0.357705337	0.304796891	0.249947969	0.234170022	0.392846262	0.304796891	0.357705337	0.304796891	0.249947969	0.234170022	0.234170022	0.234170022	0.392846262	0.234170022	0.39143109	0.491750421	0.467306001	0.396030287	0.421407881	0.39143109	0.491750421	0.467306001	0.396030287	0.421407881	0.382977005	0.291112691	0.232095817	0.248667839	0.294997179	0.491750421	0.467306001	0.396030287	0.421407881	0.382977005	0.291112691	0.232095817	0.248667839	0.294997179	0.249947969	0.234170022	0.331946466	0.303500878	0.39143109	0.491750421	0.467306001	0.396030287	0.421407881	0.552023335	0.220383794	0.144413869	0.188108583	0.162434989	0.05403345	0.234170022	0.188108583	0.144413869	0.188108583	0.162434989	0.05403345	0.05403345	0.05403345	0.234170022	0.05403345	0.382977005	0.291112691	0.232095817	0.248667839	0.294997179	0.382977005	0.291112691	0.232095817	0.248667839	0.294997179	0.312631598	0.368053474	0.392846262	0.367880757	0.357705337	0.291112691	0.232095817	0.248667839	0.294997179	0.312631598	0.368053474	0.392846262	0.367880757	0.357705337	0.162434989	0.05403345	0.026411966
1011	1011	0.333570283	0.215766018	0.117369122	0.197892103	0.066530067	0.223469762	0.174056876	0.274929702	0.208842909	0.384158142	0.289145155	0.167395331	0.145057027	0.325396053	0.289145155	0.384158142	0.289145155	0.167395331	0.145057027	0.145057027	0.145057027	0.325396053	0.145057027	0.214792609	0.234930973	0.396176889	0.400500035	0.440822307	0.214792609	0.234930973	0.396176889	0.400500035	0.440822307	0.473164394	0.382332421	0.272286997	0.263985358	0.13953024	0.234930973	0.396176889	0.400500035	0.440822307	0.473164394	0.382332421	0.272286997	0.263985358	0.13953024	0.167395331	0.145057027	0.223469762	0.174056876	0.214792609	0.234930973	0.396176889	0.400500035	0.440822307	0.333570283	0.21282885	0.103832208	0.051512999	0.041655089	-0.021730762	0.145057027	0.051512999	0.103832208	0.051512999	0.041655089	-0.021730762	-0.021730762	-0.021730762	0.145057027	-0.021730762	0.473164394	0.382332421	0.272286997	0.263985358	0.13953024	0.473164394	0.382332421	0.272286997	0.263985358	0.13953024	0.20512179	0.255247665	0.325396053	0.208842909	0.384158142	0.382332421	0.272286997	0.263985358	0.13953024	0.20512179	0.255247665	0.325396053	0.208842909	0.384158142	0.041655089	-0.021730762	-0.010508724
1013	1013	0.528733203	0.544724563	0.403704236	0.265033102	0.225117443	0.230222074	0.165661772	0.423682281	0.153309649	0.196218593	0.241784225	0.215417318	0.226014882	0.203922319	0.241784225	0.196218593	0.241784225	0.215417318	0.226014882	0.226014882	0.226014882	0.203922319	0.226014882	0.309999837	0.287552016	0.242694581	0.240452743	0.221402404	0.309999837	0.287552016	0.242694581	0.240452743	0.221402404	0.203666007	0.223513814	0.263112526	0.293699873	0.277486163	0.287552016	0.242694581	0.240452743	0.221402404	0.203666007	0.223513814	0.263112526	0.293699873	0.277486163	0.215417318	0.226014882	0.230222074	0.165661772	0.309999837	0.287552016	0.242694581	0.240452743	0.221402404	0.528733203	0.235640643	0.175328498	0.178684785	0.184650196	0.045762364	0.226014882	0.178684785	0.175328498	0.178684785	0.184650196	0.045762364	0.045762364	0.045762364	0.226014882	0.045762364	0.203666007	0.223513814	0.263112526	0.293699873	0.277486163	0.203666007	0.223513814	0.263112526	0.293699873	0.277486163	0.214142423	0.197510743	0.203922319	0.153309649	0.196218593	0.223513814	0.263112526	0.293699873	0.277486163	0.214142423	0.197510743	0.203922319	0.153309649	0.196218593	0.184650196	0.045762364	0.082225792
1015	1015	0.576025287	0.511604115	0.425520432	0.389619755	0.426511299	0.339040779	0.304057098	0.521905671	0.070289939	0.093440768	0.106815715	0.128568222	0.195918747	0.141365836	0.106815715	0.093440768	0.106815715	0.128568222	0.195918747	0.195918747	0.195918747	0.141365836	0.195918747	0.302113327	0.288702091	0.193081849	0.177197514	0.185028229	0.302113327	0.288702091	0.193081849	0.177197514	0.185028229	0.178141197	0.150196672	0.148101468	0.162939929	0.129554046	0.288702091	0.193081849	0.177197514	0.185028229	0.178141197	0.150196672	0.148101468	0.162939929	0.129554046	0.128568222	0.195918747	0.339040779	0.304057098	0.302113327	0.288702091	0.193081849	0.177197514	0.185028229	0.576025287	0.288795043	0.299454915	0.302570075	0.266184972	0.147639761	0.195918747	0.302570075	0.299454915	0.302570075	0.266184972	0.147639761	0.147639761	0.147639761	0.195918747	0.147639761	0.178141197	0.150196672	0.148101468	0.162939929	0.129554046	0.178141197	0.150196672	0.148101468	0.162939929	0.129554046	0.135719116	0.156986507	0.141365836	0.070289939	0.093440768	0.150196672	0.148101468	0.162939929	0.129554046	0.135719116	0.156986507	0.141365836	0.070289939	0.093440768	0.266184972	0.147639761	0.097610385
1017	1017	0.46689555	0.332679465	0.267019896	0.280756753	0.265053812	0.241787246	0.270190249	0.418893574	0.191677306	0.217759576	0.177036195	0.138595448	0.099944764	0.21685796	0.177036195	0.217759576	0.177036195	0.138595448	0.099944764	0.099944764	0.099944764	0.21685796	0.099944764	0.359697333	0.305733592	0.324794034	0.26178872	0.174242733	0.359697333	0.305733592	0.324794034	0.26178872	0.174242733	0.13259322	0.135804878	0.115865048	0.172063166	0.228076763	0.305733592	0.324794034	0.26178872	0.174242733	0.13259322	0.135804878	0.115865048	0.172063166	0.228076763	0.138595448	0.099944764	0.241787246	0.270190249	0.359697333	0.305733592	0.324794034	0.26178872	0.174242733	0.46689555	0.108480839	0.06226564	0.045610077	-0.042279762	-0.121996148	0.099944764	0.045610077	0.06226564	0.045610077	-0.042279762	-0.121996148	-0.121996148	-0.121996148	0.099944764	-0.121996148	0.13259322	0.135804878	0.115865048	0.172063166	0.228076763	0.13259322	0.135804878	0.115865048	0.172063166	0.228076763	0.217538936	0.206035572	0.21685796	0.191677306	0.217759576	0.135804878	0.115865048	0.172063166	0.228076763	0.217538936	0.206035572	0.21685796	0.191677306	0.217759576	-0.042279762	-0.121996148	-0.093646375
