cofip_sub	cofip_nbr	gt80_output_lag	gt81_output_lag	gt82_output_lag	gt83_output_lag	gt84_output_lag	gt85_output_lag	gt86_output_lag	ft75_output_lag	sb00_output_lag	sb01_output_lag	sb02_output_lag	sb03_output_lag	sb04_output_lag	ne99_output_lag	ne02_output_lag	bh01_output_lag	bh02_output_lag	bh03_output_lag	bh04_output_lag	frng04_output_lag	frsg04_output_lag	PRI99_output_lag	PRI04_output_lag	CEDp87_output_lag	CEDp88_output_lag	CEDp89_output_lag	CEDp90_output_lag	CEDp91_output_lag	CEDc87_output_lag	CEDc88_output_lag	CEDc89_output_lag	CEDc90_output_lag	CEDc91_output_lag	CEDc92_output_lag	CEDc93_output_lag	CEDc94_output_lag	CEDc95_output_lag	CEDc96_output_lag	CEDpi88_output_lag	CEDpi89_output_lag	CEDpi90_output_lag	CEDpi91_output_lag	CEDpi92_output_lag	CEDpi93_output_lag	CEDpi94_output_lag	CEDpi95_output_lag	CEDpi96_output_lag	TF03_output_lag	TF04_output_lag	gt80_output_lead	gt81_output_lead	gt82_output_lead	gt83_output_lead	gt84_output_lead	gt85_output_lead	gt86_output_lead	ft75_output_lead	sb00_output_lead	sb01_output_lead	sb02_output_lead	sb03_output_lead	sb04_output_lead	ne99_output_lead	ne02_output_lead	bh01_output_lead	bh02_output_lead	bh03_output_lead	bh04_output_lead	frng04_output_lead	frsg04_output_lead	PRI99_output_lead	PRI04_output_lead	CEDp87_output_lead	CEDp88_output_lead	CEDp89_output_lead	CEDp90_output_lead	CEDp91_output_lead	CEDc87_output_lead	CEDc88_output_lead	CEDc89_output_lead	CEDc90_output_lead	CEDc91_output_lead	CEDc92_output_lead	CEDc93_output_lead	CEDc94_output_lead	CEDc95_output_lead	CEDc96_output_lead	CEDpi88_output_lead	CEDpi89_output_lead	CEDpi90_output_lead	CEDpi91_output_lead	CEDpi92_output_lead	CEDpi93_output_lead	CEDpi94_output_lead	CEDpi95_output_lead	CEDpi96_output_lead	TF03_output_lead	TF04_output_lead	outofsample_output_lead
1000	1000	0.435453649	0.412954513	0.389664231	0.358570627	0.331721856	0.298601332	0.254449104	0.404178048	0.163368717	0.19412861	0.207256268	0.205886559	0.196356583	0.147040165	0.207256268	0.19412861	0.207256268	0.205886559	0.196356583	0.196356583	0.196356583	0.147040165	0.196356583	0.236336632	0.219221825	0.196280763	0.188843257	0.1963674	0.236336632	0.219221825	0.196280763	0.188843257	0.1963674	0.215731342	0.193746906	0.200799444	0.179193526	0.159265317	0.219221825	0.196280763	0.188843257	0.1963674	0.215731342	0.193746906	0.200799444	0.179193526	0.159265317	0.205886559	0.196356583	0.298601332	0.254449104	0.236336632	0.219221825	0.196280763	0.188843257	0.1963674	0.435453649	0.187820624	0.16959016	0.143502638	0.141856806	0.117953908	0.196356583	0.143502638	0.16959016	0.143502638	0.141856806	0.117953908	0.117953908	0.117953908	0.196356583	0.117953908	0.215731342	0.193746906	0.200799444	0.179193526	0.159265317	0.215731342	0.193746906	0.200799444	0.179193526	0.159265317	0.130411334	0.148994883	0.147040165	0.163368717	0.19412861	0.193746906	0.200799444	0.179193526	0.159265317	0.130411334	0.148994883	0.147040165	0.163368717	0.19412861	0.141856806	0.117953908	0.126373966
1001	1001	0.708323167	0.422130263	0.397721809	0.344645877	0.171704715	0.120862133	0.262722959	0.309700335	0.117806035	0.203774969	0.218303858	0.244358781	0.208146803	0.083245487	0.218303858	0.203774969	0.218303858	0.244358781	0.208146803	0.208146803	0.208146803	0.083245487	0.208146803	0.24231546	0.247455316	0.186674743	0.153181932	0.161456926	0.24231546	0.247455316	0.186674743	0.153181932	0.161456926	0.173463235	0.14632047	0.1943037	0.166652842	0.143050383	0.247455316	0.186674743	0.153181932	0.161456926	0.173463235	0.14632047	0.1943037	0.166652842	0.143050383	0.244358781	0.208146803	0.120862133	0.262722959	0.24231546	0.247455316	0.186674743	0.153181932	0.161456926	0.708323167	0.182989547	0.121814527	0.077625835	0.017005339	0.00397927	0.208146803	0.077625835	0.121814527	0.077625835	0.017005339	0.00397927	0.00397927	0.00397927	0.208146803	0.00397927	0.173463235	0.14632047	0.1943037	0.166652842	0.143050383	0.173463235	0.14632047	0.1943037	0.166652842	0.143050383	0.105661543	0.08771116	0.083245487	0.117806035	0.203774969	0.14632047	0.1943037	0.166652842	0.143050383	0.105661543	0.08771116	0.083245487	0.117806035	0.203774969	0.017005339	0.00397927	0.029238044
1003	1003	0.397524183	0.341982681	0.307490267	0.305188385	0.285479148	0.276675445	0.258547433	0.404237392	0.241416228	0.202872037	0.216861719	0.191224261	0.177275211	0.224503146	0.216861719	0.202872037	0.216861719	0.191224261	0.177275211	0.177275211	0.177275211	0.224503146	0.177275211	0.255499679	0.206121512	0.177103108	0.171422082	0.17780646	0.255499679	0.206121512	0.177103108	0.171422082	0.17780646	0.214475312	0.242730786	0.247920602	0.224747072	0.237189139	0.206121512	0.177103108	0.171422082	0.17780646	0.214475312	0.242730786	0.247920602	0.224747072	0.237189139	0.191224261	0.177275211	0.276675445	0.258547433	0.255499679	0.206121512	0.177103108	0.171422082	0.17780646	0.397524183	0.168328698	0.189190472	0.156298635	0.136314357	0.088291359	0.177275211	0.156298635	0.189190472	0.156298635	0.136314357	0.088291359	0.088291359	0.088291359	0.177275211	0.088291359	0.214475312	0.242730786	0.247920602	0.224747072	0.237189139	0.214475312	0.242730786	0.247920602	0.224747072	0.237189139	0.197406582	0.214233841	0.224503146	0.241416228	0.202872037	0.242730786	0.247920602	0.224747072	0.237189139	0.197406582	0.214233841	0.224503146	0.241416228	0.202872037	0.136314357	0.088291359	0.079791482
1005	1005	0.50400589	0.448853483	0.396122631	0.329874039	0.311399586	0.317116548	0.31144366	0.455568369	0.113190013	0.144242521	0.124431492	0.122673107	0.124512529	0.121114571	0.124431492	0.144242521	0.124431492	0.122673107	0.124512529	0.124512529	0.124512529	0.121114571	0.124512529	0.344290994	0.335841808	0.277915952	0.209436923	0.204464112	0.344290994	0.335841808	0.277915952	0.209436923	0.204464112	0.228305517	0.209909738	0.210900361	0.194820271	0.150639876	0.335841808	0.277915952	0.209436923	0.204464112	0.228305517	0.209909738	0.210900361	0.194820271	0.150639876	0.122673107	0.124512529	0.317116548	0.31144366	0.344290994	0.335841808	0.277915952	0.209436923	0.204464112	0.50400589	0.162379535	0.148152274	0.172861277	0.183527741	0.124650498	0.124512529	0.172861277	0.148152274	0.172861277	0.183527741	0.124650498	0.124650498	0.124650498	0.124512529	0.124650498	0.228305517	0.209909738	0.210900361	0.194820271	0.150639876	0.228305517	0.209909738	0.210900361	0.194820271	0.150639876	0.09756933	0.095515316	0.121114571	0.113190013	0.144242521	0.209909738	0.210900361	0.194820271	0.150639876	0.09756933	0.095515316	0.121114571	0.113190013	0.144242521	0.183527741	0.124650498	0.133170005
1007	1007	0.459519185	0.38962934	0.34899264	0.322326489	0.294999261	0.25680768	0.222216925	0.464597186	0.121592488	0.193858467	0.176033738	0.176073133	0.20063295	0.125760666	0.176033738	0.193858467	0.176033738	0.176073133	0.20063295	0.20063295	0.20063295	0.125760666	0.20063295	0.193346945	0.178204495	0.188987941	0.189330984	0.205937819	0.193346945	0.178204495	0.188987941	0.189330984	0.205937819	0.279484063	0.253736524	0.278525667	0.243996921	0.20341033	0.178204495	0.188987941	0.189330984	0.205937819	0.279484063	0.253736524	0.278525667	0.243996921	0.20341033	0.176073133	0.20063295	0.25680768	0.222216925	0.193346945	0.178204495	0.188987941	0.189330984	0.205937819	0.459519185	0.231672583	0.170145819	0.182696738	0.173184113	0.144316779	0.20063295	0.182696738	0.170145819	0.182696738	0.173184113	0.144316779	0.144316779	0.144316779	0.20063295	0.144316779	0.279484063	0.253736524	0.278525667	0.243996921	0.20341033	0.279484063	0.253736524	0.278525667	0.243996921	0.20341033	0.16242995	0.156248559	0.125760666	0.121592488	0.193858467	0.253736524	0.278525667	0.243996921	0.20341033	0.16242995	0.156248559	0.125760666	0.121592488	0.193858467	0.173184113	0.144316779	0.177110651
1009	1009	0.496311754	0.422677056	0.37935838	0.29660715	0.2363643	0.172368581	0.119573415	0.433314945	0.131995182	0.090165176	0.114435217	0.11826508	0.093589201	0.140356812	0.114435217	0.090165176	0.114435217	0.11826508	0.093589201	0.093589201	0.093589201	0.140356812	0.093589201	0.088058487	0.173183814	0.159606811	0.146357255	0.181738735	0.088058487	0.173183814	0.159606811	0.146357255	0.181738735	0.250849095	0.199604616	0.189620481	0.190990562	0.182297753	0.173183814	0.159606811	0.146357255	0.181738735	0.250849095	0.199604616	0.189620481	0.190990562	0.182297753	0.11826508	0.093589201	0.172368581	0.119573415	0.088058487	0.173183814	0.159606811	0.146357255	0.181738735	0.496311754	0.088103728	0.147396064	0.094921458	0.143064867	0.110080507	0.093589201	0.094921458	0.147396064	0.094921458	0.143064867	0.110080507	0.110080507	0.110080507	0.093589201	0.110080507	0.250849095	0.199604616	0.189620481	0.190990562	0.182297753	0.250849095	0.199604616	0.189620481	0.190990562	0.182297753	0.161332052	0.133433069	0.140356812	0.131995182	0.090165176	0.199604616	0.189620481	0.190990562	0.182297753	0.161332052	0.133433069	0.140356812	0.131995182	0.090165176	0.143064867	0.110080507	0.128407557
1011	1011	0.491613121	0.395978145	0.375078015	0.316724661	0.247194955	0.246672583	0.251928611	0.37703189	0.122125687	0.224021202	0.186452432	0.157888494	0.171830896	0.118582992	0.186452432	0.224021202	0.186452432	0.157888494	0.171830896	0.171830896	0.171830896	0.118582992	0.171830896	0.216368516	0.28014721	0.302458286	0.296385322	0.27532015	0.216368516	0.28014721	0.302458286	0.296385322	0.27532015	0.316861695	0.254977988	0.249419667	0.224120272	0.154617023	0.28014721	0.302458286	0.296385322	0.27532015	0.316861695	0.254977988	0.249419667	0.224120272	0.154617023	0.157888494	0.171830896	0.246672583	0.251928611	0.216368516	0.28014721	0.302458286	0.296385322	0.27532015	0.491613121	0.177432526	0.13674917	0.182383063	0.14491474	0.089278541	0.171830896	0.182383063	0.13674917	0.182383063	0.14491474	0.089278541	0.089278541	0.089278541	0.171830896	0.089278541	0.316861695	0.254977988	0.249419667	0.224120272	0.154617023	0.316861695	0.254977988	0.249419667	0.224120272	0.154617023	0.159216484	0.160642885	0.118582992	0.122125687	0.224021202	0.254977988	0.249419667	0.224120272	0.154617023	0.159216484	0.160642885	0.118582992	0.122125687	0.224021202	0.14491474	0.089278541	0.095458231
1013	1013	0.476340014	0.388629513	0.364667207	0.307921001	0.284223205	0.277629245	0.306416446	0.417102251	0.11945832	0.147234111	0.207830153	0.226800714	0.20338396	0.106500074	0.207830153	0.147234111	0.207830153	0.226800714	0.20338396	0.20338396	0.20338396	0.106500074	0.20338396	0.308803783	0.280124087	0.218647967	0.212949804	0.167656451	0.308803783	0.280124087	0.218647967	0.212949804	0.167656451	0.161609252	0.153171424	0.173928491	0.151339119	0.157014954	0.280124087	0.218647967	0.212949804	0.167656451	0.161609252	0.153171424	0.173928491	0.151339119	0.157014954	0.226800714	0.20338396	0.277629245	0.306416446	0.308803783	0.280124087	0.218647967	0.212949804	0.167656451	0.476340014	0.194892816	0.183231905	0.124456022	0.11548207	0.091506991	0.20338396	0.124456022	0.183231905	0.124456022	0.11548207	0.091506991	0.091506991	0.091506991	0.20338396	0.091506991	0.161609252	0.153171424	0.173928491	0.151339119	0.157014954	0.161609252	0.153171424	0.173928491	0.151339119	0.157014954	0.104305013	0.094494737	0.106500074	0.11945832	0.147234111	0.153171424	0.173928491	0.151339119	0.157014954	0.104305013	0.094494737	0.106500074	0.11945832	0.147234111	0.11548207	0.091506991	0.130351389
1015	1015	0.444120947	0.45857824	0.434615764	0.422102869	0.425050298	0.354049398	0.274248045	0.435880449	0.066010428	0.121334393	0.153883032	0.165945474	0.181423651	0.096238432	0.153883032	0.121334393	0.153883032	0.165945474	0.181423651	0.181423651	0.181423651	0.096238432	0.181423651	0.248124775	0.209952216	0.150166702	0.129207702	0.157954595	0.248124775	0.209952216	0.150166702	0.129207702	0.157954595	0.154982625	0.143307207	0.159563922	0.153097317	0.096887684	0.209952216	0.150166702	0.129207702	0.157954595	0.154982625	0.143307207	0.159563922	0.153097317	0.096887684	0.165945474	0.181423651	0.354049398	0.274248045	0.248124775	0.209952216	0.150166702	0.129207702	0.157954595	0.444120947	0.240969646	0.228302906	0.223530608	0.227268555	0.198824241	0.181423651	0.223530608	0.228302906	0.223530608	0.227268555	0.198824241	0.198824241	0.198824241	0.181423651	0.198824241	0.154982625	0.143307207	0.159563922	0.153097317	0.096887684	0.154982625	0.143307207	0.159563922	0.153097317	0.096887684	0.078528371	0.106227266	0.096238432	0.066010428	0.121334393	0.143307207	0.159563922	0.153097317	0.096887684	0.078528371	0.106227266	0.096238432	0.066010428	0.121334393	0.227268555	0.198824241	0.180193121
1017	1017	0.509058703	0.427249474	0.381815063	0.369399308	0.286711689	0.240283448	0.251778872	0.385538114	0.127296766	0.204779682	0.196497394	0.184703371	0.153184494	0.092447018	0.196497394	0.204779682	0.196497394	0.184703371	0.153184494	0.153184494	0.153184494	0.092447018	0.153184494	0.295418196	0.23349978	0.280073523	0.189473982	0.126115124	0.295418196	0.23349978	0.280073523	0.189473982	0.126115124	0.12839021	0.157779032	0.159241817	0.186913939	0.210460727	0.23349978	0.280073523	0.189473982	0.126115124	0.12839021	0.157779032	0.159241817	0.186913939	0.210460727	0.184703371	0.153184494	0.240283448	0.251778872	0.295418196	0.23349978	0.280073523	0.189473982	0.126115124	0.509058703	0.147579235	0.06169537	0.013154282	-0.018519339	-0.017336694	0.153184494	0.013154282	0.06169537	0.013154282	-0.018519339	-0.017336694	-0.017336694	-0.017336694	0.153184494	-0.017336694	0.12839021	0.157779032	0.159241817	0.186913939	0.210460727	0.12839021	0.157779032	0.159241817	0.186913939	0.210460727	0.181056293	0.134739573	0.092447018	0.127296766	0.204779682	0.157779032	0.159241817	0.186913939	0.210460727	0.181056293	0.134739573	0.092447018	0.127296766	0.204779682	-0.018519339	-0.017336694	-0.011355564
