cofip_sub	cofip_nbr	gt80_percapinc_lag	gt81_percapinc_lag	gt82_percapinc_lag	gt83_percapinc_lag	gt84_percapinc_lag	gt85_percapinc_lag	gt86_percapinc_lag	ft75_percapinc_lag	sb00_percapinc_lag	sb01_percapinc_lag	sb02_percapinc_lag	sb03_percapinc_lag	sb04_percapinc_lag	ne99_percapinc_lag	ne02_percapinc_lag	bh01_percapinc_lag	bh02_percapinc_lag	bh03_percapinc_lag	bh04_percapinc_lag	frng04_percapinc_lag	frsg04_percapinc_lag	PRI99_percapinc_lag	PRI04_percapinc_lag	CEDp87_percapinc_lag	CEDp88_percapinc_lag	CEDp89_percapinc_lag	CEDp90_percapinc_lag	CEDp91_percapinc_lag	CEDc87_percapinc_lag	CEDc88_percapinc_lag	CEDc89_percapinc_lag	CEDc90_percapinc_lag	CEDc91_percapinc_lag	CEDc92_percapinc_lag	CEDc93_percapinc_lag	CEDc94_percapinc_lag	CEDc95_percapinc_lag	CEDc96_percapinc_lag	CEDpi88_percapinc_lag	CEDpi89_percapinc_lag	CEDpi90_percapinc_lag	CEDpi91_percapinc_lag	CEDpi92_percapinc_lag	CEDpi93_percapinc_lag	CEDpi94_percapinc_lag	CEDpi95_percapinc_lag	CEDpi96_percapinc_lag	TF03_percapinc_lag	TF04_percapinc_lag	gt80_percapinc_lead	gt81_percapinc_lead	gt82_percapinc_lead	gt83_percapinc_lead	gt84_percapinc_lead	gt85_percapinc_lead	gt86_percapinc_lead	ft75_percapinc_lead	sb00_percapinc_lead	sb01_percapinc_lead	sb02_percapinc_lead	sb03_percapinc_lead	sb04_percapinc_lead	ne99_percapinc_lead	ne02_percapinc_lead	bh01_percapinc_lead	bh02_percapinc_lead	bh03_percapinc_lead	bh04_percapinc_lead	frng04_percapinc_lead	frsg04_percapinc_lead	PRI99_percapinc_lead	PRI04_percapinc_lead	CEDp87_percapinc_lead	CEDp88_percapinc_lead	CEDp89_percapinc_lead	CEDp90_percapinc_lead	CEDp91_percapinc_lead	CEDc87_percapinc_lead	CEDc88_percapinc_lead	CEDc89_percapinc_lead	CEDc90_percapinc_lead	CEDc91_percapinc_lead	CEDc92_percapinc_lead	CEDc93_percapinc_lead	CEDc94_percapinc_lead	CEDc95_percapinc_lead	CEDc96_percapinc_lead	CEDpi88_percapinc_lead	CEDpi89_percapinc_lead	CEDpi90_percapinc_lead	CEDpi91_percapinc_lead	CEDpi92_percapinc_lead	CEDpi93_percapinc_lead	CEDpi94_percapinc_lead	CEDpi95_percapinc_lead	CEDpi96_percapinc_lead	TF03_percapinc_lead	TF04_percapinc_lead	outofsample_percapinc_lead
1000	1000	0.495816358	0.488442595	0.457149535	0.413272832	0.409519073	0.385371065	0.33295195	0.475642663	0.207815172	0.213843836	0.198774781	0.182306553	0.2075087	0.207629314	0.198774781	0.213843836	0.198774781	0.182306553	0.2075087	0.2075087	0.2075087	0.207629314	0.2075087	0.330381674	0.333412183	0.317912459	0.305729294	0.301881282	0.330381674	0.333412183	0.317912459	0.305729294	0.301881282	0.3042693	0.264353182	0.233163567	0.224602341	0.214475375	0.333412183	0.317912459	0.305729294	0.301881282	0.3042693	0.264353182	0.233163567	0.224602341	0.214475375	0.182306553	0.2075087	0.385371065	0.33295195	0.330381674	0.333412183	0.317912459	0.305729294	0.301881282	0.495816358	0.209665503	0.218922787	0.233200719	0.241695084	0.137037766	0.2075087	0.233200719	0.218922787	0.233200719	0.241695084	0.137037766	0.137037766	0.137037766	0.2075087	0.137037766	0.3042693	0.264353182	0.233163567	0.224602341	0.214475375	0.3042693	0.264353182	0.233163567	0.224602341	0.214475375	0.201502349	0.223571243	0.207629314	0.207815172	0.213843836	0.264353182	0.233163567	0.224602341	0.214475375	0.201502349	0.223571243	0.207629314	0.207815172	0.213843836	0.241695084	0.137037766	0.127287419
1001	1001	0.582068944	0.494817907	0.505738962	0.442925199	0.399450273	0.383580037	0.37470929	0.337092954	0.210943371	0.224287155	0.183095125	0.183701174	0.16722676	0.208192126	0.183095125	0.224287155	0.183095125	0.183701174	0.16722676	0.16722676	0.16722676	0.208192126	0.16722676	0.38469427	0.390820844	0.335799346	0.299717488	0.319261275	0.38469427	0.390820844	0.335799346	0.299717488	0.319261275	0.283049953	0.242025997	0.237539501	0.233286537	0.214610892	0.390820844	0.335799346	0.299717488	0.319261275	0.283049953	0.242025997	0.237539501	0.233286537	0.214610892	0.183701174	0.16722676	0.383580037	0.37470929	0.38469427	0.390820844	0.335799346	0.299717488	0.319261275	0.582068944	0.175554893	0.154500501	0.189310764	0.190453943	0.130006804	0.16722676	0.189310764	0.154500501	0.189310764	0.190453943	0.130006804	0.130006804	0.130006804	0.16722676	0.130006804	0.283049953	0.242025997	0.237539501	0.233286537	0.214610892	0.283049953	0.242025997	0.237539501	0.233286537	0.214610892	0.218693545	0.225509695	0.208192126	0.210943371	0.224287155	0.242025997	0.237539501	0.233286537	0.214610892	0.218693545	0.225509695	0.208192126	0.210943371	0.224287155	0.190453943	0.130006804	0.128031895
1003	1003	0.43554356	0.440220093	0.437953408	0.422941676	0.435538646	0.412359444	0.310374302	0.562090599	0.241775593	0.199347687	0.164949601	0.130543219	0.163484762	0.233135809	0.164949601	0.199347687	0.164949601	0.130543219	0.163484762	0.163484762	0.163484762	0.233135809	0.163484762	0.315288492	0.293682367	0.315880164	0.294529202	0.326821981	0.315288492	0.293682367	0.315880164	0.294529202	0.326821981	0.351187478	0.341565499	0.299787039	0.293507098	0.277868096	0.293682367	0.315880164	0.294529202	0.326821981	0.351187478	0.341565499	0.299787039	0.293507098	0.277868096	0.130543219	0.163484762	0.412359444	0.310374302	0.315288492	0.293682367	0.315880164	0.294529202	0.326821981	0.43554356	0.163289429	0.228779796	0.256239462	0.276233311	0.149859453	0.163484762	0.256239462	0.228779796	0.256239462	0.276233311	0.149859453	0.149859453	0.149859453	0.163484762	0.149859453	0.351187478	0.341565499	0.299787039	0.293507098	0.277868096	0.351187478	0.341565499	0.299787039	0.293507098	0.277868096	0.260916415	0.252890407	0.233135809	0.241775593	0.199347687	0.341565499	0.299787039	0.293507098	0.277868096	0.260916415	0.252890407	0.233135809	0.241775593	0.199347687	0.276233311	0.149859453	0.150517436
1005	1005	0.496694784	0.493151434	0.416385338	0.350804697	0.398312666	0.420884773	0.384378924	0.449225385	0.178690619	0.234490796	0.217335637	0.176432578	0.164669184	0.1732134	0.217335637	0.234490796	0.217335637	0.176432578	0.164669184	0.164669184	0.164669184	0.1732134	0.164669184	0.393685985	0.413574441	0.337020032	0.310903403	0.281441243	0.393685985	0.413574441	0.337020032	0.310903403	0.281441243	0.279622365	0.215560198	0.198463456	0.160065757	0.124405181	0.413574441	0.337020032	0.310903403	0.281441243	0.279622365	0.215560198	0.198463456	0.160065757	0.124405181	0.176432578	0.164669184	0.420884773	0.384378924	0.393685985	0.413574441	0.337020032	0.310903403	0.281441243	0.496694784	0.208923248	0.178990556	0.199427654	0.230962139	0.137487363	0.164669184	0.199427654	0.178990556	0.199427654	0.230962139	0.137487363	0.137487363	0.137487363	0.164669184	0.137487363	0.279622365	0.215560198	0.198463456	0.160065757	0.124405181	0.279622365	0.215560198	0.198463456	0.160065757	0.124405181	0.11285476	0.141826884	0.1732134	0.178690619	0.234490796	0.215560198	0.198463456	0.160065757	0.124405181	0.11285476	0.141826884	0.1732134	0.178690619	0.234490796	0.230962139	0.137487363	0.138154564
1007	1007	0.542324291	0.461445031	0.431547767	0.367781674	0.364468135	0.352492484	0.356905664	0.480816849	0.16836606	0.15400458	0.135401664	0.167950189	0.199412236	0.137188684	0.135401664	0.15400458	0.135401664	0.167950189	0.199412236	0.199412236	0.199412236	0.137188684	0.199412236	0.338088032	0.351374181	0.295994196	0.291248294	0.240830379	0.338088032	0.351374181	0.295994196	0.291248294	0.240830379	0.2602872	0.20582482	0.211671941	0.201354486	0.216042402	0.351374181	0.295994196	0.291248294	0.240830379	0.2602872	0.20582482	0.211671941	0.201354486	0.216042402	0.167950189	0.199412236	0.352492484	0.356905664	0.338088032	0.351374181	0.295994196	0.291248294	0.240830379	0.542324291	0.13809083	0.171201199	0.204045464	0.210305348	0.100891473	0.199412236	0.204045464	0.171201199	0.204045464	0.210305348	0.100891473	0.100891473	0.100891473	0.199412236	0.100891473	0.2602872	0.20582482	0.211671941	0.201354486	0.216042402	0.2602872	0.20582482	0.211671941	0.201354486	0.216042402	0.203928397	0.167882872	0.137188684	0.16836606	0.15400458	0.20582482	0.211671941	0.201354486	0.216042402	0.203928397	0.167882872	0.137188684	0.16836606	0.15400458	0.210305348	0.100891473	0.129561355
1009	1009	0.460642084	0.455045883	0.424189397	0.351648954	0.380036001	0.360910269	0.290505444	0.512233084	0.222384482	0.224964347	0.178838446	0.149870801	0.162290662	0.227833473	0.178838446	0.224964347	0.178838446	0.149870801	0.162290662	0.162290662	0.162290662	0.227833473	0.162290662	0.309980118	0.389395932	0.374327061	0.330979097	0.355134984	0.309980118	0.389395932	0.374327061	0.330979097	0.355134984	0.330617217	0.238869587	0.196369705	0.190530411	0.220439319	0.389395932	0.374327061	0.330979097	0.355134984	0.330617217	0.238869587	0.196369705	0.190530411	0.220439319	0.149870801	0.162290662	0.360910269	0.290505444	0.309980118	0.389395932	0.374327061	0.330979097	0.355134984	0.460642084	0.160221073	0.103468654	0.179759543	0.192368524	0.1111008	0.162290662	0.179759543	0.103468654	0.179759543	0.192368524	0.1111008	0.1111008	0.1111008	0.162290662	0.1111008	0.330617217	0.238869587	0.196369705	0.190530411	0.220439319	0.330617217	0.238869587	0.196369705	0.190530411	0.220439319	0.21655888	0.249616521	0.227833473	0.222384482	0.224964347	0.238869587	0.196369705	0.190530411	0.220439319	0.21655888	0.249616521	0.227833473	0.222384482	0.224964347	0.192368524	0.1111008	0.102986984
1011	1011	0.464682028	0.415103141	0.351011397	0.384654779	0.276586456	0.325238391	0.277919869	0.47017934	0.166857168	0.291067002	0.227047663	0.147694376	0.190031436	0.227169105	0.227047663	0.291067002	0.227047663	0.147694376	0.190031436	0.190031436	0.190031436	0.227169105	0.190031436	0.238135195	0.194537198	0.309388461	0.308984653	0.317561514	0.238135195	0.194537198	0.309388461	0.308984653	0.317561514	0.411528647	0.375456438	0.283508907	0.259402458	0.176459096	0.194537198	0.309388461	0.308984653	0.317561514	0.411528647	0.375456438	0.283508907	0.259402458	0.176459096	0.147694376	0.190031436	0.325238391	0.277919869	0.238135195	0.194537198	0.309388461	0.308984653	0.317561514	0.464682028	0.202765288	0.148804657	0.14301949	0.1949079	0.108989999	0.190031436	0.14301949	0.148804657	0.14301949	0.1949079	0.108989999	0.108989999	0.108989999	0.190031436	0.108989999	0.411528647	0.375456438	0.283508907	0.259402458	0.176459096	0.411528647	0.375456438	0.283508907	0.259402458	0.176459096	0.180610764	0.22988141	0.227169105	0.166857168	0.291067002	0.375456438	0.283508907	0.259402458	0.176459096	0.180610764	0.22988141	0.227169105	0.166857168	0.291067002	0.1949079	0.108989999	0.147537052
1013	1013	0.509363559	0.541739554	0.443862273	0.334424516	0.295178848	0.292100889	0.22168021	0.56432291	0.213692833	0.266224391	0.295935043	0.247888866	0.247741171	0.238293339	0.295935043	0.266224391	0.295935043	0.247888866	0.247741171	0.247741171	0.247741171	0.238293339	0.247741171	0.271235709	0.260126322	0.253557945	0.261382322	0.265131974	0.271235709	0.260126322	0.253557945	0.261382322	0.265131974	0.281523815	0.282668525	0.291478486	0.316378574	0.29182777	0.260126322	0.253557945	0.261382322	0.265131974	0.281523815	0.282668525	0.291478486	0.316378574	0.29182777	0.247888866	0.247741171	0.292100889	0.22168021	0.271235709	0.260126322	0.253557945	0.261382322	0.265131974	0.509363559	0.217920663	0.16651646	0.184088935	0.226637895	0.150950558	0.247741171	0.184088935	0.16651646	0.184088935	0.226637895	0.150950558	0.150950558	0.150950558	0.247741171	0.150950558	0.281523815	0.282668525	0.291478486	0.316378574	0.29182777	0.281523815	0.282668525	0.291478486	0.316378574	0.29182777	0.244094885	0.255368991	0.238293339	0.213692833	0.266224391	0.282668525	0.291478486	0.316378574	0.29182777	0.244094885	0.255368991	0.238293339	0.213692833	0.266224391	0.226637895	0.150950558	0.17342296
1015	1015	0.462538162	0.484155266	0.424050346	0.435193559	0.450881445	0.410903241	0.370118817	0.537291929	0.178924616	0.187984663	0.197530486	0.193784453	0.223402871	0.189252006	0.197530486	0.187984663	0.197530486	0.193784453	0.223402871	0.223402871	0.223402871	0.189252006	0.223402871	0.348939722	0.332898569	0.287399227	0.247136129	0.257269977	0.348939722	0.332898569	0.287399227	0.247136129	0.257269977	0.262302773	0.226461304	0.197702427	0.208872634	0.178395061	0.332898569	0.287399227	0.247136129	0.257269977	0.262302773	0.226461304	0.197702427	0.208872634	0.178395061	0.193784453	0.223402871	0.410903241	0.370118817	0.348939722	0.332898569	0.287399227	0.247136129	0.257269977	0.462538162	0.223115736	0.232452542	0.250344402	0.247128059	0.143664072	0.223402871	0.250344402	0.232452542	0.250344402	0.247128059	0.143664072	0.143664072	0.143664072	0.223402871	0.143664072	0.262302773	0.226461304	0.197702427	0.208872634	0.178395061	0.262302773	0.226461304	0.197702427	0.208872634	0.178395061	0.17034092	0.199339433	0.189252006	0.178924616	0.187984663	0.226461304	0.197702427	0.208872634	0.178395061	0.17034092	0.199339433	0.189252006	0.178924616	0.187984663	0.247128059	0.143664072	0.132237116
1017	1017	0.471873477	0.405267733	0.381090255	0.394935435	0.38366142	0.346290044	0.345772192	0.456304785	0.208016006	0.246207679	0.19883088	0.170320416	0.169720359	0.224789225	0.19883088	0.246207679	0.19883088	0.170320416	0.169720359	0.169720359	0.169720359	0.224789225	0.169720359	0.377952474	0.332323324	0.357805816	0.305023332	0.237162905	0.377952474	0.332323324	0.357805816	0.305023332	0.237162905	0.215302401	0.202816548	0.164018029	0.192196639	0.225667545	0.332323324	0.357805816	0.305023332	0.237162905	0.215302401	0.202816548	0.164018029	0.192196639	0.225667545	0.170320416	0.169720359	0.346290044	0.345772192	0.377952474	0.332323324	0.357805816	0.305023332	0.237162905	0.471873477	0.172940136	0.140319711	0.171264573	0.156119184	0.094918069	0.169720359	0.171264573	0.140319711	0.171264573	0.156119184	0.094918069	0.094918069	0.094918069	0.169720359	0.094918069	0.215302401	0.202816548	0.164018029	0.192196639	0.225667545	0.215302401	0.202816548	0.164018029	0.192196639	0.225667545	0.222562067	0.221976071	0.224789225	0.208016006	0.246207679	0.202816548	0.164018029	0.192196639	0.225667545	0.222562067	0.221976071	0.224789225	0.208016006	0.246207679	0.156119184	0.094918069	0.129028946
