cofip_sub	cofip_nbr	gt80_pop_lag	gt81_pop_lag	gt82_pop_lag	gt83_pop_lag	gt84_pop_lag	gt85_pop_lag	gt86_pop_lag	ft75_pop_lag	sb00_pop_lag	sb01_pop_lag	sb02_pop_lag	sb03_pop_lag	sb04_pop_lag	ne99_pop_lag	ne02_pop_lag	bh01_pop_lag	bh02_pop_lag	bh03_pop_lag	bh04_pop_lag	frng04_pop_lag	frsg04_pop_lag	PRI99_pop_lag	PRI04_pop_lag	CEDp87_pop_lag	CEDp88_pop_lag	CEDp89_pop_lag	CEDp90_pop_lag	CEDp91_pop_lag	CEDc87_pop_lag	CEDc88_pop_lag	CEDc89_pop_lag	CEDc90_pop_lag	CEDc91_pop_lag	CEDc92_pop_lag	CEDc93_pop_lag	CEDc94_pop_lag	CEDc95_pop_lag	CEDc96_pop_lag	CEDpi88_pop_lag	CEDpi89_pop_lag	CEDpi90_pop_lag	CEDpi91_pop_lag	CEDpi92_pop_lag	CEDpi93_pop_lag	CEDpi94_pop_lag	CEDpi95_pop_lag	CEDpi96_pop_lag	TF03_pop_lag	TF04_pop_lag	gt80_pop_lead	gt81_pop_lead	gt82_pop_lead	gt83_pop_lead	gt84_pop_lead	gt85_pop_lead	gt86_pop_lead	ft75_pop_lead	sb00_pop_lead	sb01_pop_lead	sb02_pop_lead	sb03_pop_lead	sb04_pop_lead	ne99_pop_lead	ne02_pop_lead	bh01_pop_lead	bh02_pop_lead	bh03_pop_lead	bh04_pop_lead	frng04_pop_lead	frsg04_pop_lead	PRI99_pop_lead	PRI04_pop_lead	CEDp87_pop_lead	CEDp88_pop_lead	CEDp89_pop_lead	CEDp90_pop_lead	CEDp91_pop_lead	CEDc87_pop_lead	CEDc88_pop_lead	CEDc89_pop_lead	CEDc90_pop_lead	CEDc91_pop_lead	CEDc92_pop_lead	CEDc93_pop_lead	CEDc94_pop_lead	CEDc95_pop_lead	CEDc96_pop_lead	CEDpi88_pop_lead	CEDpi89_pop_lead	CEDpi90_pop_lead	CEDpi91_pop_lead	CEDpi92_pop_lead	CEDpi93_pop_lead	CEDpi94_pop_lead	CEDpi95_pop_lead	CEDpi96_pop_lead	TF03_pop_lead	TF04_pop_lead	outofsample_pop_lead
1000	1000	0.058013329	0.047379611	0.036985798	0.025742196	0.021066417	0.018329746	0.018467038	0.064727986	0.035521732	0.031036949	0.025352555	0.022180494	0.022451442	0.039108497	0.025352555	0.031036949	0.025352555	0.022180494	0.022451442	0.022451442	0.022451442	0.039108497	0.022451442	0.022669245	0.022555029	0.019643472	0.019329807	0.026596712	0.022669245	0.022555029	0.019643472	0.019329807	0.026596712	0.033972495	0.046223082	0.055502198	0.059140098	0.055040914	0.022555029	0.019643472	0.019329807	0.026596712	0.033972495	0.046223082	0.055502198	0.059140098	0.055040914	0.022180494	0.022451442	0.018329746	0.018467038	0.022669245	0.022555029	0.019643472	0.019329807	0.026596712	0.058013329	0.026078243	0.035477795	0.042124112	0.046575769	0.048931527	0.022451442	0.042124112	0.035477795	0.042124112	0.046575769	0.048931527	0.048931527	0.048931527	0.022451442	0.048931527	0.033972495	0.046223082	0.055502198	0.059140098	0.055040914	0.033972495	0.046223082	0.055502198	0.059140098	0.055040914	0.050215262	0.04421213	0.039108497	0.035521732	0.031036949	0.046223082	0.055502198	0.059140098	0.055040914	0.050215262	0.04421213	0.039108497	0.035521732	0.031036949	0.046575769	0.048931527	0.046099291
1001	1001	0.08067926	0.067542351	0.050380265	0.037248491	0.002461482	0.00093081	0.027992826	0.188762607	0.118237468	0.110151666	0.107301015	0.105692955	0.118457807	0.117870324	0.107301015	0.110151666	0.107301015	0.105692955	0.118457807	0.118457807	0.118457807	0.117870324	0.118457807	0.037735704	0.048174941	0.056328211	0.063326359	0.062373866	0.037735704	0.048174941	0.056328211	0.063326359	0.062373866	0.078506211	0.094049913	0.116226086	0.129739974	0.138407375	0.048174941	0.056328211	0.063326359	0.062373866	0.078506211	0.094049913	0.116226086	0.129739974	0.138407375	0.105692955	0.118457807	0.00093081	0.027992826	0.037735704	0.048174941	0.056328211	0.063326359	0.062373866	0.08067926	0.120855126	0.134043636	0.13234083	0.129621515	0.112683839	0.118457807	0.13234083	0.134043636	0.13234083	0.129621515	0.112683839	0.112683839	0.112683839	0.118457807	0.112683839	0.078506211	0.094049913	0.116226086	0.129739974	0.138407375	0.078506211	0.094049913	0.116226086	0.129739974	0.138407375	0.136257976	0.130543413	0.117870324	0.118237468	0.110151666	0.094049913	0.116226086	0.129739974	0.138407375	0.136257976	0.130543413	0.117870324	0.118237468	0.110151666	0.129621515	0.112683839	0.09518939
1003	1003	0.151112558	0.13363282	0.12855522	0.119084819	0.124534729	0.124557815	0.128663547	0.131922253	0.156251814	0.144266984	0.128126497	0.119497274	0.127535846	0.16557478	0.128126497	0.144266984	0.128126497	0.119497274	0.127535846	0.127535846	0.127535846	0.16557478	0.127535846	0.124150218	0.119620453	0.103355094	0.101533334	0.114810744	0.124150218	0.119620453	0.103355094	0.101533334	0.114810744	0.134138681	0.163095631	0.19204049	0.200265471	0.202522311	0.119620453	0.103355094	0.101533334	0.114810744	0.134138681	0.163095631	0.19204049	0.200265471	0.202522311	0.119497274	0.127535846	0.124557815	0.128663547	0.124150218	0.119620453	0.103355094	0.101533334	0.114810744	0.151112558	0.137542842	0.148812657	0.152918869	0.148855528	0.138091711	0.127535846	0.152918869	0.148812657	0.152918869	0.148855528	0.138091711	0.138091711	0.138091711	0.127535846	0.138091711	0.134138681	0.163095631	0.19204049	0.200265471	0.202522311	0.134138681	0.163095631	0.19204049	0.200265471	0.202522311	0.199758588	0.187876812	0.16557478	0.156251814	0.144266984	0.163095631	0.19204049	0.200265471	0.202522311	0.199758588	0.187876812	0.16557478	0.156251814	0.144266984	0.148855528	0.138091711	0.122175125
1005	1005	-0.004271444	-0.034199175	0.0035175	0.011110775	0.021183028	0.009605218	0.007768358	0.09324147	0.040836355	0.019769367	0.008340975	-0.00860108	-0.020262097	0.039392556	0.008340975	0.019769367	0.008340975	-0.00860108	-0.020262097	-0.020262097	-0.020262097	0.039392556	-0.020262097	0.013031721	0.017270758	0.01527233	0.01991869	0.060858087	0.013031721	0.017270758	0.01527233	0.01991869	0.060858087	0.070701766	0.081450296	0.091045566	0.088102071	0.065420008	0.017270758	0.01527233	0.01991869	0.060858087	0.070701766	0.081450296	0.091045566	0.088102071	0.065420008	-0.00860108	-0.020262097	0.009605218	0.007768358	0.013031721	0.017270758	0.01527233	0.01991869	0.060858087	-0.004271444	-0.034644606	-0.035332637	-0.031770089	-0.027873157	-0.022523475	-0.020262097	-0.031770089	-0.035332637	-0.031770089	-0.027873157	-0.022523475	-0.022523475	-0.022523475	-0.020262097	-0.022523475	0.070701766	0.081450296	0.091045566	0.088102071	0.065420008	0.070701766	0.081450296	0.091045566	0.088102071	0.065420008	0.053267885	0.052313927	0.039392556	0.040836355	0.019769367	0.081450296	0.091045566	0.088102071	0.065420008	0.053267885	0.052313927	0.039392556	0.040836355	0.019769367	-0.027873157	-0.022523475	-0.022990348
1007	1007	0.063764267	0.070161779	0.048799528	0.041085066	0.03407517	0.025449537	0.005164715	0.068615934	0.073223746	0.107486927	0.089299693	0.075089808	0.054932094	0.130035565	0.089299693	0.107486927	0.089299693	0.075089808	0.054932094	0.054932094	0.054932094	0.130035565	0.054932094	0.00901047	0.00852658	0.016703523	0.03287567	0.069930573	0.00901047	0.00852658	0.016703523	0.03287567	0.069930573	0.073794194	0.095727004	0.098472545	0.102919976	0.100986839	0.00852658	0.016703523	0.03287567	0.069930573	0.073794194	0.095727004	0.098472545	0.102919976	0.100986839	0.075089808	0.054932094	0.025449537	0.005164715	0.00901047	0.00852658	0.016703523	0.03287567	0.069930573	0.063764267	0.101576939	0.049677476	0.056801939	0.059240973	0.054646168	0.054932094	0.056801939	0.049677476	0.056801939	0.059240973	0.054646168	0.054646168	0.054646168	0.054932094	0.054646168	0.073794194	0.095727004	0.098472545	0.102919976	0.100986839	0.073794194	0.095727004	0.098472545	0.102919976	0.100986839	0.108011713	0.111474579	0.130035565	0.073223746	0.107486927	0.095727004	0.098472545	0.102919976	0.100986839	0.108011713	0.111474579	0.130035565	0.073223746	0.107486927	0.059240973	0.054646168	0.037313442
1009	1009	0.124975074	0.103206782	0.060550701	0.044428055	0.022846669	0.024593732	0.03628674	0.176756512	0.148369133	0.133980635	0.110466996	0.090655597	0.074525903	0.166777254	0.110466996	0.133980635	0.110466996	0.090655597	0.074525903	0.074525903	0.074525903	0.166777254	0.074525903	0.044701682	0.048805851	0.052446475	0.053491747	0.056163636	0.044701682	0.048805851	0.052446475	0.053491747	0.056163636	0.071187724	0.090330481	0.092302009	0.109935447	0.120659655	0.048805851	0.052446475	0.053491747	0.056163636	0.071187724	0.090330481	0.092302009	0.109935447	0.120659655	0.090655597	0.074525903	0.024593732	0.03628674	0.044701682	0.048805851	0.052446475	0.053491747	0.056163636	0.124975074	0.066551872	0.067854216	0.067844121	0.065138122	0.05773819	0.074525903	0.067844121	0.067854216	0.067844121	0.065138122	0.05773819	0.05773819	0.05773819	0.074525903	0.05773819	0.071187724	0.090330481	0.092302009	0.109935447	0.120659655	0.071187724	0.090330481	0.092302009	0.109935447	0.120659655	0.142095979	0.153747954	0.166777254	0.148369133	0.133980635	0.090330481	0.092302009	0.109935447	0.120659655	0.142095979	0.153747954	0.166777254	0.148369133	0.133980635	0.065138122	0.05773819	0.04934445
1011	1011	-0.044312504	-0.039746409	-0.034731486	-0.024770213	0.002312354	0.015051937	-0.020816344	-0.057093329	0.013036861	-0.018838862	-0.032170606	-0.029517619	-0.061305415	0.033300374	-0.032170606	-0.018838862	-0.032170606	-0.029517619	-0.061305415	-0.061305415	-0.061305415	0.033300374	-0.061305415	0.023410266	0.045549712	0.031465722	0.023385907	0.067378924	0.023410266	0.045549712	0.031465722	0.023385907	0.067378924	0.021258068	0.003124584	0.017746695	0.035528823	0.033919428	0.045549712	0.031465722	0.023385907	0.067378924	0.021258068	0.003124584	0.017746695	0.035528823	0.033919428	-0.029517619	-0.061305415	0.015051937	-0.020816344	0.023410266	0.045549712	0.031465722	0.023385907	0.067378924	-0.044312504	-0.050471051	-0.052600902	-0.022006547	-0.032604262	-0.006260511	-0.061305415	-0.022006547	-0.052600902	-0.022006547	-0.032604262	-0.006260511	-0.006260511	-0.006260511	-0.061305415	-0.006260511	0.021258068	0.003124584	0.017746695	0.035528823	0.033919428	0.021258068	0.003124584	0.017746695	0.035528823	0.033919428	0.043877098	0.038126503	0.033300374	0.013036861	-0.018838862	0.003124584	0.017746695	0.035528823	0.033919428	0.043877098	0.038126503	0.033300374	0.013036861	-0.018838862	-0.032604262	-0.006260511	-0.010774392
1013	1013	0.028867408	0.038362882	0.070607767	0.068071082	0.056788918	0.028860335	0.006917334	-0.037913522	-0.023130188	-0.033676035	-0.048645944	-0.041603142	-0.034612048	-0.011321918	-0.048645944	-0.033676035	-0.048645944	-0.041603142	-0.034612048	-0.034612048	-0.034612048	-0.011321918	-0.034612048	0.000267833	-0.007938863	-0.018346663	-0.024418427	-0.026535177	0.000267833	-0.007938863	-0.018346663	-0.024418427	-0.026535177	-0.027649446	-0.017901432	-0.008385411	-0.002836881	0.004952094	-0.007938863	-0.018346663	-0.024418427	-0.026535177	-0.027649446	-0.017901432	-0.008385411	-0.002836881	0.004952094	-0.041603142	-0.034612048	0.028860335	0.006917334	0.000267833	-0.007938863	-0.018346663	-0.024418427	-0.026535177	0.028867408	-0.023485838	-0.015445795	0.004364829	0.005552645	-0.000143757	-0.034612048	0.004364829	-0.015445795	0.004364829	0.005552645	-0.000143757	-0.000143757	-0.000143757	-0.034612048	-0.000143757	-0.027649446	-0.017901432	-0.008385411	-0.002836881	0.004952094	-0.027649446	-0.017901432	-0.008385411	-0.002836881	0.004952094	0.002108448	-0.004364713	-0.011321918	-0.023130188	-0.033676035	-0.017901432	-0.008385411	-0.002836881	0.004952094	0.002108448	-0.004364713	-0.011321918	-0.023130188	-0.033676035	0.005552645	-0.000143757	0.005314705
1015	1015	0.114749505	0.068919562	0.079288884	0.04017821	0.041913037	-0.011497655	-0.026113159	0.036933718	-0.050117785	-0.047545695	-0.049197483	-0.038928895	-0.012681234	-0.010827947	-0.049197483	-0.047545695	-0.049197483	-0.038928895	-0.012681234	-0.012681234	-0.012681234	-0.010827947	-0.012681234	-0.033450107	-0.033452591	-0.045010117	-0.021520497	-0.021061363	-0.033450107	-0.033452591	-0.045010117	-0.021520497	-0.021061363	-0.019564875	-0.00801429	-0.001892132	0.005770535	0.012391775	-0.033452591	-0.045010117	-0.021520497	-0.021061363	-0.019564875	-0.00801429	-0.001892132	0.005770535	0.012391775	-0.038928895	-0.012681234	-0.011497655	-0.026113159	-0.033450107	-0.033452591	-0.045010117	-0.021520497	-0.021061363	0.114749505	0.030114265	0.036376632	0.040262465	0.039739292	0.042288195	-0.012681234	0.040262465	0.036376632	0.040262465	0.039739292	0.042288195	0.042288195	0.042288195	-0.012681234	0.042288195	-0.019564875	-0.00801429	-0.001892132	0.005770535	0.012391775	-0.019564875	-0.00801429	-0.001892132	0.005770535	0.012391775	0.012443415	0.007323279	-0.010827947	-0.050117785	-0.047545695	-0.00801429	-0.001892132	0.005770535	0.012391775	0.012443415	0.007323279	-0.010827947	-0.050117785	-0.047545695	0.039739292	0.042288195	0.033914363
1017	1017	0.044445971	0.037223826	0.024916351	0.013437478	-0.00586916	-0.016158179	-0.036196496	0.034225882	-0.016488509	-0.017300004	-0.020176014	-0.031124905	-0.029561814	-0.014648394	-0.020176014	-0.017300004	-0.020176014	-0.031124905	-0.029561814	-0.029561814	-0.029561814	-0.014648394	-0.029561814	-0.041075187	-0.048885691	-0.048907899	-0.045837052	-0.028548571	-0.041075187	-0.048885691	-0.048907899	-0.045837052	-0.028548571	-0.018931553	-0.009649186	-0.003823685	0.007966233	-0.000162558	-0.048885691	-0.048907899	-0.045837052	-0.028548571	-0.018931553	-0.009649186	-0.003823685	0.007966233	-0.000162558	-0.031124905	-0.029561814	-0.016158179	-0.036196496	-0.041075187	-0.048885691	-0.048907899	-0.045837052	-0.028548571	0.044445971	-0.035967691	-0.037325834	-0.031579193	-0.031806562	-0.03089856	-0.029561814	-0.031579193	-0.037325834	-0.031579193	-0.031806562	-0.03089856	-0.03089856	-0.03089856	-0.029561814	-0.03089856	-0.018931553	-0.009649186	-0.003823685	0.007966233	-0.000162558	-0.018931553	-0.009649186	-0.003823685	0.007966233	-0.000162558	-0.009411132	-0.005905156	-0.014648394	-0.016488509	-0.017300004	-0.009649186	-0.003823685	0.007966233	-0.000162558	-0.009411132	-0.005905156	-0.014648394	-0.016488509	-0.017300004	-0.031806562	-0.03089856	-0.032730299
