cofip_sub	cofip_nbr	gt80_wagebill_lag	gt81_wagebill_lag	gt82_wagebill_lag	gt83_wagebill_lag	gt84_wagebill_lag	gt85_wagebill_lag	gt86_wagebill_lag	ft75_wagebill_lag	sb00_wagebill_lag	sb01_wagebill_lag	sb02_wagebill_lag	sb03_wagebill_lag	sb04_wagebill_lag	ne99_wagebill_lag	ne02_wagebill_lag	bh01_wagebill_lag	bh02_wagebill_lag	bh03_wagebill_lag	bh04_wagebill_lag	frng04_wagebill_lag	frsg04_wagebill_lag	PRI99_wagebill_lag	PRI04_wagebill_lag	CEDp87_wagebill_lag	CEDp88_wagebill_lag	CEDp89_wagebill_lag	CEDp90_wagebill_lag	CEDp91_wagebill_lag	CEDc87_wagebill_lag	CEDc88_wagebill_lag	CEDc89_wagebill_lag	CEDc90_wagebill_lag	CEDc91_wagebill_lag	CEDc92_wagebill_lag	CEDc93_wagebill_lag	CEDc94_wagebill_lag	CEDc95_wagebill_lag	CEDc96_wagebill_lag	CEDpi88_wagebill_lag	CEDpi89_wagebill_lag	CEDpi90_wagebill_lag	CEDpi91_wagebill_lag	CEDpi92_wagebill_lag	CEDpi93_wagebill_lag	CEDpi94_wagebill_lag	CEDpi95_wagebill_lag	CEDpi96_wagebill_lag	TF03_wagebill_lag	TF04_wagebill_lag	gt80_wagebill_lead	gt81_wagebill_lead	gt82_wagebill_lead	gt83_wagebill_lead	gt84_wagebill_lead	gt85_wagebill_lead	gt86_wagebill_lead	ft75_wagebill_lead	sb00_wagebill_lead	sb01_wagebill_lead	sb02_wagebill_lead	sb03_wagebill_lead	sb04_wagebill_lead	ne99_wagebill_lead	ne02_wagebill_lead	bh01_wagebill_lead	bh02_wagebill_lead	bh03_wagebill_lead	bh04_wagebill_lead	frng04_wagebill_lead	frsg04_wagebill_lead	PRI99_wagebill_lead	PRI04_wagebill_lead	CEDp87_wagebill_lead	CEDp88_wagebill_lead	CEDp89_wagebill_lead	CEDp90_wagebill_lead	CEDp91_wagebill_lead	CEDc87_wagebill_lead	CEDc88_wagebill_lead	CEDc89_wagebill_lead	CEDc90_wagebill_lead	CEDc91_wagebill_lead	CEDc92_wagebill_lead	CEDc93_wagebill_lead	CEDc94_wagebill_lead	CEDc95_wagebill_lead	CEDc96_wagebill_lead	CEDpi88_wagebill_lead	CEDpi89_wagebill_lead	CEDpi90_wagebill_lead	CEDpi91_wagebill_lead	CEDpi92_wagebill_lead	CEDpi93_wagebill_lead	CEDpi94_wagebill_lead	CEDpi95_wagebill_lead	CEDpi96_wagebill_lead	TF03_wagebill_lead	TF04_wagebill_lead	outofsample_wagebill_lead
1000	1000	0.566860608	0.5159162	0.438566713	0.37928788	0.368785673	0.357552852	0.335446936	0.502262198	0.214865391	0.211941412	0.199024159	0.192905147	0.201155891	0.225964887	0.199024159	0.211941412	0.199024159	0.192905147	0.201155891	0.201155891	0.201155891	0.225964887	0.201155891	0.359614412	0.360651756	0.322746731	0.311416873	0.301155983	0.359614412	0.360651756	0.322746731	0.311416873	0.301155983	0.307371486	0.281817622	0.277884496	0.262209975	0.248278192	0.360651756	0.322746731	0.311416873	0.301155983	0.307371486	0.281817622	0.277884496	0.262209975	0.248278192	0.192905147	0.201155891	0.357552852	0.335446936	0.359614412	0.360651756	0.322746731	0.311416873	0.301155983	0.566860608	0.221209248	0.247067515	0.25595391	0.243996667	0.165461552	0.201155891	0.25595391	0.247067515	0.25595391	0.243996667	0.165461552	0.165461552	0.165461552	0.201155891	0.165461552	0.307371486	0.281817622	0.277884496	0.262209975	0.248278192	0.307371486	0.281817622	0.277884496	0.262209975	0.248278192	0.22645875	0.234633682	0.225964887	0.214865391	0.211941412	0.281817622	0.277884496	0.262209975	0.248278192	0.22645875	0.234633682	0.225964887	0.214865391	0.211941412	0.243996667	0.165461552	0.12575239
1001	1001	1.064576602	0.586066185	0.461107071	0.309486666	-0.099590499	-0.097096439	0.247020807	0.616001996	0.32836687	0.360802509	0.316139874	0.282995939	0.256489855	0.311310344	0.316139874	0.360802509	0.316139874	0.282995939	0.256489855	0.256489855	0.256489855	0.311310344	0.256489855	0.367053689	0.460670702	0.391966098	0.364420001	0.379649537	0.367053689	0.460670702	0.391966098	0.364420001	0.379649537	0.333121457	0.276108449	0.282230752	0.28418415	0.278577065	0.460670702	0.391966098	0.364420001	0.379649537	0.333121457	0.276108449	0.282230752	0.28418415	0.278577065	0.282995939	0.256489855	-0.097096439	0.247020807	0.367053689	0.460670702	0.391966098	0.364420001	0.379649537	1.064576602	0.214365032	0.15287338	0.208654278	0.179369258	0.135792089	0.256489855	0.208654278	0.15287338	0.208654278	0.179369258	0.135792089	0.135792089	0.135792089	0.256489855	0.135792089	0.333121457	0.276108449	0.282230752	0.28418415	0.278577065	0.333121457	0.276108449	0.282230752	0.28418415	0.278577065	0.266675764	0.285053001	0.311310344	0.32836687	0.360802509	0.276108449	0.282230752	0.28418415	0.278577065	0.266675764	0.285053001	0.311310344	0.32836687	0.360802509	0.179369258	0.135792089	0.116551225
1003	1003	0.541643212	0.511935026	0.447370131	0.487565594	0.505296412	0.526204096	0.462013956	0.660435404	0.459190842	0.423462215	0.376523285	0.34391278	0.335462219	0.491785814	0.376523285	0.423462215	0.376523285	0.34391278	0.335462219	0.335462219	0.335462219	0.491785814	0.335462219	0.470356691	0.417428643	0.359776248	0.381178136	0.394571526	0.470356691	0.417428643	0.359776248	0.381178136	0.394571526	0.414290613	0.46212066	0.502242242	0.493526438	0.493219035	0.417428643	0.359776248	0.381178136	0.394571526	0.414290613	0.46212066	0.502242242	0.493526438	0.493219035	0.34391278	0.335462219	0.526204096	0.462013956	0.470356691	0.417428643	0.359776248	0.381178136	0.394571526	0.541643212	0.374936016	0.433409956	0.449494979	0.407646416	0.271680788	0.335462219	0.449494979	0.433409956	0.449494979	0.407646416	0.271680788	0.271680788	0.271680788	0.335462219	0.271680788	0.414290613	0.46212066	0.502242242	0.493526438	0.493219035	0.414290613	0.46212066	0.502242242	0.493526438	0.493219035	0.513028201	0.512039156	0.491785814	0.459190842	0.423462215	0.46212066	0.502242242	0.493526438	0.493219035	0.513028201	0.512039156	0.491785814	0.459190842	0.423462215	0.407646416	0.271680788	0.171242803
1005	1005	0.554730729	0.49061941	0.398663809	0.332166358	0.428012354	0.469243113	0.486837042	0.522402944	0.296358624	0.329344744	0.271356414	0.164732677	0.073810546	0.246624538	0.271356414	0.329344744	0.271356414	0.164732677	0.073810546	0.073810546	0.073810546	0.246624538	0.073810546	0.562484352	0.554856852	0.447328485	0.401048438	0.35001628	0.562484352	0.554856852	0.447328485	0.401048438	0.35001628	0.352021045	0.319969432	0.327589065	0.236419891	0.1907401	0.554856852	0.447328485	0.401048438	0.35001628	0.352021045	0.319969432	0.327589065	0.236419891	0.1907401	0.164732677	0.073810546	0.469243113	0.486837042	0.562484352	0.554856852	0.447328485	0.401048438	0.35001628	0.554730729	0.101164145	0.097726564	0.131776672	0.124824114	0.03578846	0.073810546	0.131776672	0.097726564	0.131776672	0.124824114	0.03578846	0.03578846	0.03578846	0.073810546	0.03578846	0.352021045	0.319969432	0.327589065	0.236419891	0.1907401	0.352021045	0.319969432	0.327589065	0.236419891	0.1907401	0.147120859	0.176327713	0.246624538	0.296358624	0.329344744	0.319969432	0.327589065	0.236419891	0.1907401	0.147120859	0.176327713	0.246624538	0.296358624	0.329344744	0.124824114	0.03578846	0.001220527
1007	1007	0.581190596	0.465119583	0.404860228	0.347937776	0.387200249	0.42339483	0.435130625	0.465696231	0.134036364	0.097653044	0.082572221	0.116759187	0.207135123	0.163087869	0.082572221	0.097653044	0.082572221	0.116759187	0.207135123	0.207135123	0.207135123	0.163087869	0.207135123	0.401293585	0.378213318	0.344242088	0.34688217	0.314936041	0.401293585	0.378213318	0.344242088	0.34688217	0.314936041	0.425171681	0.348219648	0.37359052	0.337655072	0.31240214	0.378213318	0.344242088	0.34688217	0.314936041	0.425171681	0.348219648	0.37359052	0.337655072	0.31240214	0.116759187	0.207135123	0.42339483	0.435130625	0.401293585	0.378213318	0.344242088	0.34688217	0.314936041	0.581190596	0.237763692	0.305786702	0.36069517	0.327913561	0.208817619	0.207135123	0.36069517	0.305786702	0.36069517	0.327913561	0.208817619	0.208817619	0.208817619	0.207135123	0.208817619	0.425171681	0.348219648	0.37359052	0.337655072	0.31240214	0.425171681	0.348219648	0.37359052	0.337655072	0.31240214	0.222615987	0.239271028	0.163087869	0.134036364	0.097653044	0.348219648	0.37359052	0.337655072	0.31240214	0.222615987	0.239271028	0.163087869	0.134036364	0.097653044	0.327913561	0.208817619	0.219862786
1009	1009	0.685640626	0.559764044	0.390059636	0.183880039	0.153165055	0.214105102	0.204237018	0.644640331	0.266122106	0.258057119	0.188611522	0.146014842	0.110114953	0.31742768	0.188611522	0.258057119	0.188611522	0.146014842	0.110114953	0.110114953	0.110114953	0.31742768	0.110114953	0.337364786	0.470393543	0.474240506	0.338654894	0.333165301	0.337364786	0.470393543	0.474240506	0.338654894	0.333165301	0.394904197	0.389475608	0.384510024	0.407208935	0.412896463	0.470393543	0.474240506	0.338654894	0.333165301	0.394904197	0.389475608	0.384510024	0.407208935	0.412896463	0.146014842	0.110114953	0.214105102	0.204237018	0.337364786	0.470393543	0.474240506	0.338654894	0.333165301	0.685640626	0.153514664	0.188170104	0.255080297	0.280879484	0.208869621	0.110114953	0.255080297	0.188170104	0.255080297	0.280879484	0.208869621	0.208869621	0.208869621	0.110114953	0.208869621	0.394904197	0.389475608	0.384510024	0.407208935	0.412896463	0.394904197	0.389475608	0.384510024	0.407208935	0.412896463	0.369740793	0.356815511	0.31742768	0.266122106	0.258057119	0.389475608	0.384510024	0.407208935	0.412896463	0.369740793	0.356815511	0.31742768	0.266122106	0.258057119	0.280879484	0.208869621	0.102869699
1011	1011	0.422925478	0.273263275	0.272713235	0.301149647	0.219318613	0.201941157	0.207952628	0.447509987	0.16083929	0.20164617	0.171432739	0.156586221	0.187476357	0.194522744	0.171432739	0.20164617	0.171432739	0.156586221	0.187476357	0.187476357	0.187476357	0.194522744	0.187476357	0.2613859	0.341987113	0.382419379	0.423528957	0.441035313	0.2613859	0.341987113	0.382419379	0.423528957	0.441035313	0.418237871	0.298480614	0.287606835	0.275461068	0.191496671	0.341987113	0.382419379	0.423528957	0.441035313	0.418237871	0.298480614	0.287606835	0.275461068	0.191496671	0.156586221	0.187476357	0.201941157	0.207952628	0.2613859	0.341987113	0.382419379	0.423528957	0.441035313	0.422925478	0.17155414	0.160885382	0.18196367	0.148116463	0.099363366	0.187476357	0.18196367	0.160885382	0.18196367	0.148116463	0.099363366	0.099363366	0.099363366	0.187476357	0.099363366	0.418237871	0.298480614	0.287606835	0.275461068	0.191496671	0.418237871	0.298480614	0.287606835	0.275461068	0.191496671	0.222220952	0.245091847	0.194522744	0.16083929	0.20164617	0.298480614	0.287606835	0.275461068	0.191496671	0.222220952	0.245091847	0.194522744	0.16083929	0.20164617	0.148116463	0.099363366	0.106089553
1013	1013	0.579864036	0.553718987	0.441460819	0.358758467	0.34496661	0.290149539	0.255822686	0.392074878	0.062263454	0.088540501	0.158361879	0.168655552	0.184169579	0.126711024	0.158361879	0.088540501	0.158361879	0.168655552	0.184169579	0.184169579	0.184169579	0.126711024	0.184169579	0.364407548	0.325473628	0.184404616	0.184656058	0.116254477	0.364407548	0.325473628	0.184404616	0.184656058	0.116254477	0.09215141	0.14689082	0.273922841	0.329573258	0.314899779	0.325473628	0.184404616	0.184656058	0.116254477	0.09215141	0.14689082	0.273922841	0.329573258	0.314899779	0.168655552	0.184169579	0.290149539	0.255822686	0.364407548	0.325473628	0.184404616	0.184656058	0.116254477	0.579864036	0.217732456	0.257486276	0.199712924	0.187293227	0.094654661	0.184169579	0.199712924	0.257486276	0.199712924	0.187293227	0.094654661	0.094654661	0.094654661	0.184169579	0.094654661	0.09215141	0.14689082	0.273922841	0.329573258	0.314899779	0.09215141	0.14689082	0.273922841	0.329573258	0.314899779	0.252017887	0.200204465	0.126711024	0.062263454	0.088540501	0.14689082	0.273922841	0.329573258	0.314899779	0.252017887	0.200204465	0.126711024	0.062263454	0.088540501	0.187293227	0.094654661	0.125404546
1015	1015	0.580282093	0.531900965	0.454351076	0.433844662	0.466225443	0.37375356	0.321849149	0.523940527	0.043748389	0.066217312	0.082151925	0.103383006	0.184195248	0.122663193	0.082151925	0.066217312	0.082151925	0.103383006	0.184195248	0.184195248	0.184195248	0.122663193	0.184195248	0.312504378	0.289167591	0.193109812	0.175576773	0.185015855	0.312504378	0.289167591	0.193109812	0.175576773	0.185015855	0.176125132	0.14853474	0.144094718	0.155782093	0.11472492	0.289167591	0.193109812	0.175576773	0.185015855	0.176125132	0.14853474	0.144094718	0.155782093	0.11472492	0.103383006	0.184195248	0.37375356	0.321849149	0.312504378	0.289167591	0.193109812	0.175576773	0.185015855	0.580282093	0.282598094	0.307506218	0.330793247	0.300581327	0.196419117	0.184195248	0.330793247	0.307506218	0.330793247	0.300581327	0.196419117	0.196419117	0.196419117	0.184195248	0.196419117	0.176125132	0.14853474	0.144094718	0.155782093	0.11472492	0.176125132	0.14853474	0.144094718	0.155782093	0.11472492	0.116818671	0.148606919	0.122663193	0.043748389	0.066217312	0.14853474	0.144094718	0.155782093	0.11472492	0.116818671	0.148606919	0.122663193	0.043748389	0.066217312	0.300581327	0.196419117	0.138849773
1017	1017	0.459368489	0.32085778	0.248174132	0.288823371	0.250841919	0.207448967	0.251058752	0.433722008	0.113529957	0.154584159	0.114301599	0.059722073	0.027910116	0.136020218	0.114301599	0.154584159	0.114301599	0.059722073	0.027910116	0.027910116	0.027910116	0.136020218	0.027910116	0.353162751	0.283363815	0.315372772	0.264555174	0.145009915	0.353162751	0.283363815	0.315372772	0.264555174	0.145009915	0.100179604	0.112494869	0.125138941	0.168675922	0.233818765	0.283363815	0.315372772	0.264555174	0.145009915	0.100179604	0.112494869	0.125138941	0.168675922	0.233818765	0.059722073	0.027910116	0.207448967	0.251058752	0.353162751	0.283363815	0.315372772	0.264555174	0.145009915	0.459368489	0.044545038	-0.061220704	-0.099808629	-0.228947324	-0.281925637	0.027910116	-0.099808629	-0.061220704	-0.099808629	-0.228947324	-0.281925637	-0.281925637	-0.281925637	0.027910116	-0.281925637	0.100179604	0.112494869	0.125138941	0.168675922	0.233818765	0.100179604	0.112494869	0.125138941	0.168675922	0.233818765	0.222395207	0.188319935	0.136020218	0.113529957	0.154584159	0.112494869	0.125138941	0.168675922	0.233818765	0.222395207	0.188319935	0.136020218	0.113529957	0.154584159	-0.228947324	-0.281925637	-0.251456692
