
="",="(1)",="(2)",="(3)",="(4)"
="",="aginc_predict",="nfincome_predict",="percapinc_predict",="pop_predict"

="aginc_backward",="-0.125*",="",="",=""
="",="(-2.41)",="",="",=""

="lnbh03difference",="-0.0183",="-0.0190",="-0.00572",="-0.0176"
="",="(-0.94)",="(-0.73)",="(-0.35)",="(-1.17)"

="nfincome_backward",="",="0.260***",="",=""
="",="",="(5.27)",="",=""

="percapinc_backward",="",="",="-0.178***",=""
="",="",="",="(-4.37)",=""

="pop_backward",="",="",="",="0.657***"
="",="",="",="",="(14.33)"

="_cons",="-0.0000214",="-0.00281",="0.00729*",="-0.00258"
="",="(-0.00)",="(-0.52)",="(2.00)",="(-1.04)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.018",="0.054",="0.033",="0.464"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
