
="",="(1)",="(2)",="(3)",="(4)"
="",="avwage_predict",="output_predict",="wagebill_predict",="wageemp_predict"

="avwage_backward",="-0.0200",="",="",=""
="",="(-0.31)",="",="",=""

="lnfrng04difference",="0.0289",="0.0360",="-0.0462",="-0.0467*"
="",="(1.48)",="(1.72)",="(-1.42)",="(-2.28)"

="output_backward",="",="0.0197",="",=""
="",="",="(0.29)",="",=""

="wagebill_backward",="",="",="0.276***",=""
="",="",="",="(5.53)",=""

="wageemp_backward",="",="",="",="0.329***"
="",="",="",="",="(7.19)"

="_cons",="-0.00173",="0.00117",="-0.000993",="-0.00237"
="",="(-0.41)",="(0.23)",="(-0.11)",="(-0.44)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.007",="0.006",="0.072",="0.124"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
