
="",="(1)",="(2)",="(3)",="(4)"
="",="avwage_predict",="output_predict",="wagebill_predict",="wageemp_predict"

="avwage_backward",="-0.110*",="",="",=""
="",="(-2.31)",="",="",=""

="lnne02difference",="-0.0171",="-0.0256",="0.00578",="-0.0133"
="",="(-1.00)",="(-1.36)",="(0.15)",="(-0.52)"

="output_backward",="",="-0.0608",="",=""
="",="",="(-1.87)",="",=""

="wagebill_backward",="",="",="0.232***",=""
="",="",="",="(5.39)",=""

="wageemp_backward",="",="",="",="0.297***"
="",="",="",="",="(5.15)"

="_cons",="-0.00523",="-0.000401",="-0.00381",="-0.000836"
="",="(-1.52)",="(-0.10)",="(-0.42)",="(-0.12)"

="N",="1222",="1222",="1222",="1222"
="R-sq",="0.018",="0.012",="0.051",="0.080"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
