FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               6/7         2/7          0.041       90-95           0.241***                            0.0589
gt81               7/7         2/7          0.022       90-95           0.0601**                            0.00465
gt82               7/7         3/7          0.032       80-85           0.138***                            0.0265
gt83               5/7         3/7          0.042       90-95           0.0943***                            0.0150
gt84               6/7         1/7          0.04       90-95           0.0765***                            0.00540
gt85               5/7         2/7          0.033       90-95           0.0673**                            0.0232
gt86               7/7         1/7          0.012       90-95           0.0476*                            0.0134
ft75               0/7         2/7          0.023       90-95           -0.0229*                            -0.0000502
sb00               0/7         2/7          0.03       90-95           -0.118*                            -0.0267
sb01               0/7         2/7          0.034       00-05           -0.0978***                            -0.0134
sb02               0/7         2/7          0.043       90-95           -0.120*                            -0.00348
sb03               0/7         2/7          0.047       90-95           -0.129**                            -0.00636
sb04               0/7         2/7          0.056       90-95           -0.159**                            -0.00669
ne99               4/7         1/7          0.017       95-00           0.0661*                            -0.00464
ne02               2/7         1/7          0.019       95-00           0.0971*                            -0.0228
bh01               5/7         0/7          0.011       95-00           0.0754                            0.0152
bh02               5/7         0/7          0.007       95-00           0.0599                            0.0159
bh03               5/7         0/7          0.005       95-00           0.0565                            0.00744
bh04               4/7         1/7          0.012       95-00           0.0832*                            0.0249
frng04               3/7         1/7          0.043       90-95           -0.162***                            0.0214
frsg04               2/7         1/7          0.048       90-95           -0.185***                            0.0363
pri99               0/7         1/7          0.04       90-95           -0.235***                            -0.0182
pri04               0/7         1/7          0.018       90-95           -0.111**                            -0.00124
cedp87               0/7         2/7          0.04       90-95           -0.0370***                            -0.00747
cedp88               0/7         1/7          0.04       80-85           -0.0540***                            -0.0114
cedp89               0/7         2/7          0.058       90-95           -0.0441***                            -0.00528
cedp90               0/7         3/7          0.053       90-95           -0.0411***                            -0.00604
cedp91               0/7         2/7          0.032       90-95           -0.0276**                            -0.00162
cedc87               0/7         1/7          0.015       90-95           -0.0241*                            -0.00396
cedc88               0/7         1/7          0.037       95-00           -0.0267**                            -0.00738
cedc89               0/7         1/7          0.029       95-00           -0.0240**                            -0.00420
cedc90               0/7         1/7          0.023       95-00           -0.0224**                            -0.00441
cedc91               0/7         1/7          0.018       95-00           -0.0192*                            -0.000357
cedc92               0/7         1/7          0.02       95-00           -0.0192*                            -0.000277
cedc93               0/7         1/7          0.026       95-00           -0.0231**                            -0.00157
cedc94               0/7         1/7          0.028       95-00           -0.0234**                            -0.00783
cedc95               0/7         1/7          0.034       95-00           -0.0249**                            -0.00688
cedc96               0/7         1/7          0.035       95-00           -0.0262***                            -0.00683
cedpi88               4/7         3/7          0.031       90-95           -0.153*                            0.0267
cedpi89               4/7         3/7          0.034       90-95           -0.0785**                            0.0392
cedpi90               4/7         2/7          0.04       90-95           -0.0904**                            0.0281
cedpi91               4/7         2/7          0.037       90-95           -0.0885**                            0.0303
cedpi92               4/7         3/7          0.031       90-95           -0.0803*                            0.0283
cedpi93               4/7         3/7          0.024       00-05           0.0781**                            0.00881
cedpi94               4/7         3/7          0.03       90-95           -0.113*                            0.0155
cedpi95               4/7         3/7          0.032       90-95           -0.113*                            0.0195
cedpi96               4/7         2/7          0.032       90-95           -0.113*                            0.0181
tf03               4/7         2/7          0.034       90-95           0.151*                            -0.0464
tf04               4/7         2/7          0.04       90-95           0.169**                            -0.0511
