FT, SB, PRI, CEDp, CEDc are all inversely ranked, but their "fixed" values are recorded here (-1*coeff value).

index            positive   significant     best R2     best year     best coeff                   After 2005
gt80               5/7         1/7          0.014       90-95           0.0670**                            0.0180
gt81               3/7         0/7          0.007       90-95           0.0163                            -0.00685
gt82               3/7         2/7          0.012       90-95           0.0278*                            -0.0221
gt83               5/7         1/7          0.02       90-95           0.0306**                            0.00348
gt84               5/7         2/7          0.02       90-95           0.0259**                            0.00306
gt85               4/7         2/7          0.015       90-95           0.0213*                            0.00549
gt86               4/7         2/7          0.017       90-95           0.0263*                            0.00445
ft75               0/7         2/7          0.013       95-00           -0.00987*                            -0.00657
sb00               0/7         0/7          0.005       80-85           -0.0261                            -0.00553
sb01               0/7         0/7          0.005       90-95           -0.0243                            -0.00486
sb02               0/7         0/7          0.006       90-95           -0.0203                            -0.00768
sb03               0/7         0/7          0.006       90-95           -0.0212                            -0.00243
sb04               0/7         2/7          0.012       90-95           -0.0345*                            -0.0108
ne99               3/7         1/7          0.009       05-10           -0.0360*                            -0.0360*
ne02               4/7         1/7          0.017       05-10           -0.0674**                            -0.0674**
bh01               3/7         1/7          0.015       95-00           0.0567**                            -0.0186
bh02               3/7         1/7          0.011       95-00           0.0485*                            -0.0333
bh03               3/7         1/7          0.008       85-90           -0.0472                            -0.0126
bh04               2/7         1/7          0.008       95-00           0.0437*                            -0.0207
frng04               2/7         1/7          0.01       90-95           -0.0366*                            0.0419
frsg04               3/7         2/7          0.019       90-95           -0.0538**                            0.0667*
pri99               0/7         2/7          0.009       90-95           -0.0525*                            -0.000995
pri04               0/7         2/7          0.018       90-95           -0.0523***                            -0.0191
cedp87               0/7         1/7          0.007       90-95           -0.00708*                            -0.00228
cedp88               0/7         0/7          0.006       85-90           -0.00894                            -0.00695
cedp89               0/7         1/7          0.027       90-95           -0.0141***                            -0.000259
cedp90               0/7         3/7          0.029       90-95           -0.0143***                            -0.00611
cedp91               0/7         1/7          0.016       90-95           -0.00915**                            -0.00485
cedc87               0/7         2/7          0.014       05-10           -0.0157*                            -0.0157*
cedc88               0/7         1/7          0.013       05-10           -0.0119**                            -0.0119**
cedc89               0/7         1/7          0.01       05-10           -0.0106*                            -0.0106*
cedc90               0/7         1/7          0.017       05-10           -0.0144***                            -0.0144***
cedc91               0/7         1/7          0.007       05-10           -0.00880*                            -0.00880*
cedc92               0/7         1/7          0.011       05-10           -0.0104*                            -0.0104*
cedc93               0/7         1/7          0.007       05-10           -0.00867*                            -0.00867*
cedc94               0/7         1/7          0.018       05-10           -0.0141**                            -0.0141**
cedc95               0/7         1/7          0.023       05-10           -0.0152***                            -0.0152***
cedc96               0/7         1/7          0.013       05-10           -0.0118*                            -0.0118*
cedpi88               4/7         0/7          0.004       90-95           -0.0272                            0.0297
cedpi89               3/7         0/7          0.011       05-10           0.0297                            0.0297
cedpi90               2/7         0/7          0.008       05-10           0.0273                            0.0273
cedpi91               2/7         0/7          0.007       05-10           0.0254                            0.0254
cedpi92               3/7         1/7          0.013       05-10           0.0347*                            0.0347*
cedpi93               3/7         0/7          0.003       95-00           -0.0221                            0.0163
cedpi94               3/7         0/7          0.005       95-00           -0.0259                            0.0163
cedpi95               3/7         0/7          0.004       95-00           -0.0221                            0.0260
cedpi96               3/7         0/7          0.005       05-10           0.0309                            0.0309
tf03               4/7         1/7          0.013       05-10           -0.0626                            -0.0626
tf04               4/7         1/7          0.012       05-10           -0.0628                            -0.0628
